city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Aberdeen North (Bridge of Don),914,460,50.3,4,916,373,40.7,4,"1,830",833,45.5,8,,
Aberdeen South (Cove),"1,097",552,50.3,28,"1,100",461,41.9,14,"2,197","1,013",46.1,42,,
Aberfeldy,23,8,34.8,0,17,10,58.8,0,40,18,45.0,0,,
Abergavenny,872,583,66.9,35,824,463,56.2,27,"1,696","1,046",61.7,62,,
Aberystwyth,232,134,57.8,2,233,124,53.2,3,465,258,55.5,5,,
Airdrie,897,410,45.7,2,882,344,39.0,3,"1,779",754,42.4,5,,
Alness,216,134,62.0,1,215,118,54.9,1,431,252,58.5,2,,
Alnwick,147,98,66.7,5,223,135,60.5,4,370,233,63.0,9,,
Arbroath,172,114,66.3,19,226,140,61.9,26,398,254,63.8,45,,
Ashfield,"1,851","1,135",61.3,24,"2,028","1,123",55.4,19,"3,879","2,258",58.2,43,,
Ashford (Kent),752,466,62.0,3,781,420,53.8,7,"1,533",886,57.8,10,,
Ashford (London Middlesex),"1,634",915,56.0,45,"1,576",810,51.4,25,"3,210","1,725",53.7,70,,
Ashton Under Lyne,144,80,55.6,6,133,64,48.1,0,277,144,52.0,6,,
Atherton (Manchester),"1,209",662,54.8,17,"1,258",591,47.0,14,"2,467","1,253",50.8,31,,
Aylesbury,964,463,48.0,6,921,413,44.8,8,"1,885",876,46.5,14,,
Ayr,500,241,48.2,2,519,212,40.8,1,"1,019",453,44.5,3,,
Bala,150,81,54.0,0,164,72,43.9,0,314,153,48.7,0,,
Ballachulish,15,12,80.0,1,13,10,76.9,0,28,22,78.6,1,,
Ballater,52,41,78.8,3,64,41,64.1,1,116,82,70.7,4,,
Banbury,"1,154",637,55.2,13,"1,239",628,50.7,14,"2,393","1,265",52.9,27,,
Banff,83,50,60.2,0,91,58,63.7,0,174,108,62.1,0,,
Bangor,906,497,54.9,4,981,490,49.9,4,"1,887",987,52.3,8,,
Barking (London),"1,983",706,35.6,7,"1,411",369,26.2,4,"3,394","1,075",31.7,11,,
Barnet (London),"1,661",680,40.9,4,"1,425",476,33.4,5,"3,086","1,156",37.5,9,,
Barnsley,"1,080",573,53.1,26,"1,132",451,39.8,8,"2,212","1,024",46.3,34,,
Barnstaple,690,411,59.6,2,717,348,48.5,2,"1,407",759,53.9,4,,
Barrow In Furness,499,361,72.3,16,500,324,64.8,15,999,685,68.6,31,,
Barry,324,184,56.8,6,438,196,44.7,6,762,380,49.9,12,,
Basildon,"1,612",686,42.6,8,"1,558",658,42.2,2,"3,170","1,344",42.4,10,,
Basingstoke,"1,035",538,52.0,6,"1,065",474,44.5,3,"2,100","1,012",48.2,9,,
Bathgate,"1,037",533,51.4,13,"1,092",493,45.1,4,"2,129","1,026",48.2,17,,
Belvedere (London),"1,244",432,34.7,1,"1,223",321,26.2,2,"2,467",753,30.5,3,,
Benbecula Island,19,16,84.2,0,23,8,34.8,0,42,24,57.1,0,,
