city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault
Aberdeen North,954,528,55.3,14,1009,493,48.9,9,1964,1021,52.0,23
Aberdeen South (Cove),720,430,59.7,25,782,416,53.2,25,1502,846,56.3,50
Aberfeldy,38,27,71.1,1,27,12,44.4,1,65,39,60.0,2
Abergavenny,933,559,59.9,41,997,547,54.9,28,1930,1106,57.3,69
Aberystwyth (Park Avenue),223,117,52.5,3,215,98,45.6,0,438,215,49.1,3
Airdrie,829,366,44.1,4,850,321,37.8,6,1679,687,40.9,10
Alness,222,123,55.4,2,249,139,55.8,2,471,262,55.6,4
Alnwick,217,156,71.9,8,204,112,54.9,2,421,268,63.7,10
Arbroath,201,142,70.6,15,222,162,73.0,14,423,304,71.9,29
Ashfield,1932,1206,62.4,50,1946,1056,54.3,34,3878,2262,58.3,84
Ashford (Kent),812,366,45.1,9,893,362,40.5,5,1705,728,42.7,14
Ashford (London Middlesex),1363,698,51.2,31,1301,625,48.0,14,2664,1323,49.7,45
Atherton (Manchester),1466,713,48.6,11,1611,712,44.2,4,3077,1425,46.3,15
Aylesbury,1065,503,47.2,14,1034,456,44.1,10,2099,959,45.7,24
Ayr,462,208,45.0,2,488,210,43.0,1,951,418,44.0,3
Bala,148,75,50.7,2,143,64,44.8,0,291,139,47.8,2
Ballater,41,33,80.5,4,42,32,76.2,2,83,65,78.3,6
Banbury,1277,654,51.2,59,1256,658,52.4,38,2533,1312,51.8,97
Banff,82,55,67.1,2,64,42,65.6,1,146,97,66.4,3
Bangor,983,517,52.6,13,1049,508,48.4,8,2033,1026,50.5,21
Barking (Tanner Street),2107,865,41.1,18,1286,389,30.2,6,3393,1254,37.0,24
Barnet (London),1221,529,43.3,11,996,341,34.2,3,2217,870,39.2,14
Barnsley,1231,663,53.9,34,1268,581,45.8,20,2499,1244,49.8,54
Barnstaple,720,419,58.2,24,733,357,48.7,21,1453,776,53.4,45
Barra,..,..,57.1,0,..,..,57.1,0,14,8,57.1,0
Barrow In Furness,523,300,57.4,10,512,260,50.8,4,1035,560,54.1,14
Barry,517,319,61.7,13,605,311,51.4,12,1122,630,56.1,25
Basildon,1350,663,49.1,8,1290,562,43.6,8,2640,1225,46.4,16
Basingstoke,1141,612,53.6,28,1107,477,43.1,12,2248,1089,48.4,40
Belvedere (London),888,329,37.0,2,895,274,30.6,3,1783,603,33.8,5
Benbecula Island,19,13,68.4,0,23,13,56.5,0,42,26,61.9,0
Berwick-On-Tweed,149,103,69.1,8,166,109,65.7,10,315,212,67.3,18
Beverley LGV,48,20,41.7,0,51,26,51.0,0,99,46,46.5,0
Birmingham (Cocks Moors Woods),629,305,48.5,1,720,267,37.1,0,1349,572,42.4,1
Birmingham (Garretts Green),2273,971,42.7,17,2232,698,31.3,10,4505,1669,37.0,27
Birmingham (Kings Heath),956,452,47.3,6,973,394,40.5,1,1930,847,43.9,7
Birmingham (Kingstanding),2057,816,39.7,13,1858,530,28.5,7,3915,1346,34.4,20
Birmingham (Shirley),939,438,46.6,11,864,365,42.2,1,1803,803,44.5,12
Birmingham (South Yardley),1473,545,37.0,7,1399,364,26.0,2,2872,909,31.7,9
Birmingham (Sutton Coldfield),1257,497,39.5,14,995,317,31.9,8,2253,814,36.1,22
Birmingham (Wyndley),688,352,51.2,9,674,280,41.5,12,1362,632,46.4,21
Bishopbriggs,1284,625,48.7,4,1244,548,44.1,6,2528,1173,46.4,10
Bishops Stortford,1468,706,48.1,37,1416,580,41.0,32,2884,1286,44.6,69
Blackburn with Darwen,1773,836,47.2,17,1620,618,38.1,5,3393,1454,42.9,22
Blackpool,1542,773,50.1,9,1426,585,41.0,13,2968,1358,45.8,22
Bletchley,1885,810,43.0,10,1985,780,39.3,7,3870,1590,41.1,17
Blyth,1449,841,58.0,31,1456,746,51.2,16,2905,1587,54.6,47
Bodmin,853,300,35.2,7,939,329,35.0,7,1792,629,35.1,14
Bolton (Manchester),2243,1252,55.8,53,2230,1117,50.1,47,4474,2369,53.0,100
Borehamwood (London),762,425,55.8,8,752,346,46.0,4,1514,771,50.9,12
Boston,913,474,51.9,20,918,457,49.8,22,1831,931,50.8,42
Bradford (Heaton),1504,750,49.9,9,1616,559,34.6,6,3121,1310,42.0,15
Bradford (Manningham),44,21,47.7,0,29,7,24.1,0,74,28,37.8,0
Bradford (Thornbury),1150,573,49.8,11,964,360,37.3,6,2114,933,44.1,17
Brecon,257,176,68.5,18,290,162,55.9,9,547,338,61.8,27
Bredbury (Manchester),1031,467,45.3,6,704,272,38.6,3,1736,739,42.6,9
Brentwood (London),694,342,49.3,5,632,279,44.1,5,1326,621,46.8,10
Bridgend,992,592,59.7,13,990,495,50.0,2,1982,1087,54.8,15
Bridlington,504,305,60.5,14,465,238,51.2,7,969,543,56.0,21
Bristol (Avonmouth),2029,1135,55.9,31,2041,1004,49.2,24,4070,2139,52.6,55
Bristol (Brislington),1487,643,43.2,29,1392,497,35.7,8,2879,1140,39.6,37
Bristol (Kingswood),1671,1025,61.3,63,1548,784,50.6,45,3219,1809,56.2,108
