city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Aberdeen North,897,544,60.6,21,1031,537,52.1,11,1928,1081,56.1,32,,
Aberdeen South (Cove),869,479,55.1,28,880,431,49.0,19,1749,910,52.0,47,,
Aberfeldy,29,22,75.9,1,20,13,65.0,0,49,35,71.4,1,,
Abergavenny,996,642,64.5,36,993,539,54.3,28,1989,1181,59.4,64,,
Aberystwyth (Park Avenue),209,116,55.5,4,229,94,41.0,1,438,210,47.9,5,,
Airdrie,805,378,47.0,1,799,326,40.8,5,1604,704,43.9,6,,
Alness,247,133,53.8,2,208,118,56.7,3,455,251,55.2,5,,
Alnwick,206,151,73.3,8,243,145,59.7,6,449,296,65.9,14,,
Arbroath,188,128,68.1,16,221,146,66.1,11,409,274,67.0,27,,
Ashfield,1899,1207,63.6,67,2110,1149,54.5,34,4009,2356,58.8,101,,
Ashford (Kent),814,380,46.7,6,835,365,43.7,5,1649,745,45.2,11,,
Ashford (London Middlesex),1432,750,52.4,36,1464,731,49.9,15,2896,1481,51.1,51,,
Atherton (Manchester),1556,863,55.5,19,1663,775,46.6,14,3219,1638,50.9,33,,
Aylesbury,1004,510,50.8,18,1085,491,45.3,23,2089,1001,47.9,41,,
Ayr,461,211,45.8,1,479,206,43.0,5,940,417,44.4,6,,
Bala,149,69,46.3,1,164,84,51.2,0,313,153,48.9,1,,
Ballater,42,36,85.7,5,58,36,62.1,2,100,72,72.0,7,,
Banbury,1293,743,57.5,61,1230,629,51.1,50,2523,1372,54.4,111,,
Banff,68,47,69.1,2,85,52,61.2,4,153,99,64.7,6,,
Bangor,1012,554,54.7,14,1093,527,48.2,10,2105,1081,51.4,24,,
Barking (Tanner Street),1272,480,37.7,9,861,224,26.0,3,2133,704,33.0,12,,
