city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Barnet (London),1301,465,35.7,3,1195,386,32.3,0,2496,851,34.1,3,,
Barnsley,1154,660,57.2,40,1317,589,44.7,20,2471,1249,50.5,60,,
Barnstaple,638,362,56.7,22,743,337,45.4,9,1381,699,50.6,31,,
Barra,..,..,75.0,0,..,..,20.0,0,13,7,53.8,0,,
Barrow In Furness,474,262,55.3,12,..,..,49.3,3,999,521,52.2,15,,
Barry,625,414,66.2,26,..,..,52.5,12,1248,741,59.4,38,,
Basildon,1468,624,42.5,4,..,..,39.4,6,2925,1198,41.0,10,,
Basingstoke,1011,544,53.8,21,..,..,48.1,11,2102,1069,50.9,32,,
Belvedere (London),964,350,36.3,2,..,..,28.3,0,1900,615,32.4,2,,
Benbecula Island,23,16,69.6,0,..,..,60.7,0,51,33,64.7,0,,
Berry's Coaches (Taunton),..,..,..,0,..,..,..,0,..,..,..,0,,
Berwick-On-Tweed,138,102,73.9,8,..,..,66.7,7,297,208,70.0,15,,
Beverley LGV,28,17,60.7,2,..,..,42.3,0,54,28,51.9,2,,
Birmingham (Cocks Moors Woods),646,295,45.7,1,636,198,31.1,1,1282,493,38.5,2,,
Birmingham (Garretts Green),2350,1067,45.4,13,2371,732,30.9,8,4721,1799,38.1,21,,
Birmingham (Kings Heath),1090,487,44.7,1,1138,365,32.1,0,2228,852,38.2,1,,
Birmingham (Kingstanding),1650,748,45.3,11,1554,472,30.4,2,3204,1220,38.1,13,,
Birmingham (Shirley),974,464,47.6,4,895,380,42.5,1,1869,844,45.2,5,,
Birmingham (South Yardley),1441,535,37.1,3,1289,345,26.8,6,2730,880,32.2,9,,
Birmingham (Sutton Coldfield),1148,523,45.6,8,947,338,35.7,13,2095,861,41.1,21,,
Birmingham (The Pavilion),490,173,35.3,1,462,106,22.9,1,952,279,29.3,2,,
Birmingham (Wyndley),677,325,48.0,11,637,276,43.3,8,1314,601,45.7,19,,
Bishopbriggs,1292,656,50.8,12,1245,562,45.1,10,2537,1218,48.0,22,,
Bishops Stortford,1467,700,47.7,41,1502,592,39.4,21,2969,1292,43.5,62,,
Blackburn with Darwen,1538,732,47.6,17,1581,615,38.9,10,3119,1347,43.2,27,,
Blackpool,1660,818,49.3,23,1456,574,39.4,7,3116,1392,44.7,30,,
Bletchley,1943,890,45.8,16,2046,847,41.4,9,3989,1737,43.5,25,,
Blyth,1391,887,63.8,25,1462,764,52.3,25,2853,1651,57.9,50,,
Bodmin,854,320,37.5,8,942,325,34.5,8,1796,645,35.9,16,,
Bolton (Manchester),2259,1299,57.5,34,2327,1135,48.8,15,4586,2434,53.1,49,,
Borehamwood (London),1098,597,54.4,12,926,438,47.3,7,2024,1035,51.1,19,,
Boston,901,494,54.8,17,880,427,48.5,22,1781,921,51.7,39,,
Bournemouth,1546,880,56.9,38,1639,832,50.8,34,3185,1712,53.8,72,,
Bradford (Heaton),1651,788,47.7,11,1697,553,32.6,3,3348,1341,40.1,14,,
Bradford (Thornbury),1063,465,43.7,8,937,307,32.8,3,2000,772,38.6,11,,
Brecon,328,227,69.2,13,336,188,56.0,17,664,415,62.5,30,,
Bredbury (Manchester),902,401,44.5,6,807,333,41.3,2,1709,734,42.9,8,,
Brentwood (London),659,368,55.8,9,600,324,54.0,8,1259,692,55.0,17,,
Bridgend,1019,578,56.7,12,1028,498,48.4,10,2047,1076,52.6,22,,
Bridlington,449,282,62.8,7,515,258,50.1,2,964,540,56.0,9,,
Bristol (Avonmouth),1191,674,56.6,20,1129,551,48.8,7,2320,1225,52.8,27,,
Bristol (Brislington),1512,688,45.5,21,1495,527,35.3,5,3007,1215,40.4,26,,
Bristol (Kingswood),1337,717,53.6,18,1277,577,45.2,18,2614,1294,49.5,36,,
Brodick (Isle of Arran),20,10,50.0,1,10,8,80.0,2,30,18,60.0,3,,
Buckie,87,56,64.4,2,73,37,50.7,0,160,93,58.1,2,,
Burgess Hill,1852,795,42.9,40,1782,669,37.5,23,3634,1464,40.3,63,,
Burton on Trent,1270,771,60.7,16,1237,561,45.4,13,2507,1332,53.1,29,,
Bury (Manchester),1145,437,38.2,0,1138,305,26.8,1,2283,742,32.5,1,,
Bury St Edmunds,1274,555,43.6,4,1143,454,39.7,3,2417,1009,41.7,7,,
Buxton,953,428,44.9,8,1021,449,44.0,2,1974,877,44.4,10,,
Callander,63,31,49.2,0,101,48,47.5,0,164,79,48.2,0,,
Camborne,909,376,41.4,3,962,384,39.9,4,1871,760,40.6,7,,
Cambridge (Brookmount Court),2078,1079,51.9,21,2175,1040,47.8,11,4253,2119,49.8,32,,
Campbeltown,31,22,71.0,2,38,27,71.1,1,69,49,71.0,3,,
Cannock,335,180,53.7,4,377,171,45.4,5,712,351,49.3,9,,
Canterbury,704,357,50.7,15,730,334,45.8,18,1434,691,48.2,33,,
Canterbury LGV,..,..,..,0,..,..,..,0,..,..,..,0,,
Cardiff (Llanishen),2482,1436,57.9,64,2429,1109,45.7,35,4911,2545,51.8,99,,
Cardigan,257,144,56.0,5,262,136,51.9,1,519,280,53.9,6,,
Cardington,1433,633,44.2,30,1451,545,37.6,13,2884,1178,40.8,43,,
Carlisle,774,315,40.7,1,810,311,38.4,1,1584,626,39.5,2,,
Carmarthen,386,215,55.7,0,376,199,52.9,2,762,414,54.3,2,,
Carshalton (Tolworth),307,162,52.8,2,258,114,44.2,3,565,276,48.8,5,,
Castle Douglas,85,40,47.1,1,87,43,49.4,1,172,83,48.3,2,,
Chadderton,1811,869,48.0,17,1780,679,38.1,12,3591,1548,43.1,29,,
Cheadle(Fire Station),431,276,64.0,11,572,317,55.4,13,1003,593,59.1,24,,
Cheetham Hill (Manchester),1977,807,40.8,10,1859,617,33.2,2,3836,1424,37.1,12,,
Chelmsford (Hanbury Road),1397,674,48.2,17,1411,596,42.2,10,2808,1270,45.2,27,,
Cheltenham,1280,611,47.7,17,1381,506,36.6,9,2661,1117,42.0,26,,
Chertsey (London),1590,874,55.0,66,1717,844,49.2,70,3307,1718,52.0,136,,
Chester,1496,672,44.9,5,1612,596,37.0,7,3108,1268,40.8,12,,
Chesterfield,787,377,47.9,19,831,368,44.3,15,1618,745,46.0,34,,
Chichester,1278,716,56.0,39,1241,602,48.5,27,2519,1318,52.3,66,,
Chingford (London),2372,1027,43.3,44,1862,607,32.6,14,4234,1634,38.6,58,,
Chippenham,1198,550,45.9,20,1110,448,40.4,28,2308,998,43.2,48,,
Chorley,874,513,58.7,19,837,465,55.6,5,1711,978,57.2,24,,
Clacton-on-Sea,682,386,56.6,9,778,351,45.1,6,1460,737,50.5,15,,
Colchester,1382,610,44.1,24,1405,532,37.9,23,2787,1142,41.0,47,,
Coventry,1497,684,45.7,7,1361,463,34.0,3,2858,1147,40.1,10,,
Crawley,1322,539,40.8,22,1276,476,37.3,14,2598,1015,39.1,36,,
Crewe,892,461,51.7,4,965,463,48.0,2,1857,924,49.8,6,,
Crieff,44,35,79.5,5,66,47,71.2,7,110,82,74.5,12,,
Croydon (London),1435,678,47.2,19,1109,377,34.0,9,2544,1055,41.5,28,,
Cumnock,276,170,61.6,8,280,155,55.4,6,556,325,58.5,14,,
Darlington,752,402,53.5,18,806,383,47.5,12,1558,785,50.4,30,,
Derby (Alvaston),1999,1048,52.4,23,1908,821,43.0,15,3907,1869,47.8,38,,
Doncaster,1625,749,46.1,10,1713,693,40.5,9,3338,1442,43.2,19,,
Dorchester,1185,768,64.8,39,1289,780,60.5,23,2474,1548,62.6,62,,
Dudley,2339,1215,51.9,49,2250,944,42.0,25,4589,2159,47.0,74,,
Dumbarton,413,218,52.8,1,416,177,42.5,0,829,395,47.6,1,,
Dumfries,344,172,50.0,6,392,182,46.4,5,736,354,48.1,11,,
Dundee,1159,671,57.9,53,1293,700,54.1,52,2452,1371,55.9,105,,
Dunfermline,691,325,47.0,18,758,333,43.9,18,1449,658,45.4,36,,
Dunoon,59,36,61.0,0,72,39,54.2,0,131,75,57.3,0,,
Duns,22,19,86.4,0,50,30,60.0,0,72,49,68.1,0,,
Durham,1970,1232,62.5,37,2279,1334,58.5,40,4249,2566,60.4,77,,
East Kilbride,339,133,39.2,2,435,164,37.7,2,774,297,38.4,4,,
Eastbourne,1155,625,54.1,10,1157,516,44.6,2,2312,1141,49.4,12,,
Edinburgh (Currie),1546,785,50.8,34,1627,795,48.9,15,3173,1580,49.8,49,,
Edinburgh (Musselburgh),1552,742,47.8,21,1740,746,42.9,17,3292,1488,45.2,38,,
Elgin,438,221,50.5,6,480,215,44.8,3,918,436,47.5,9,,
Elswick,1100,520,47.3,43,1125,476,42.3,26,2225,996,44.8,69,,
Enfield (Brancroft Way),..,..,28.6,0,..,..,..,0,19,9,47.4,0,,
Enfield (Innova Business Park),1768,776,43.9,14,1666,570,34.2,21,3434,1346,39.2,35,,
Erith (London),920,325,35.3,12,1035,306,29.6,7,1955,631,32.3,19,,
Exeter,1525,782,51.3,5,1632,723,44.3,7,3157,1505,47.7,12,,
Farnborough,2756,1647,59.8,162,2873,1448,50.4,115,5629,3095,55.0,277,,
Featherstone,1335,600,44.9,18,1358,448,33.0,11,2693,1048,38.9,29,,
Folkestone,847,377,44.5,11,864,331,38.3,4,1711,708,41.4,15,,
Forfar,178,126,70.8,14,166,96,57.8,4,344,222,64.5,18,,
Fort William,108,60,55.6,1,109,62,56.9,1,217,122,56.2,2,,
Fraserburgh,108,74,68.5,12,166,85,51.2,8,274,159,58.0,20,,
GTG (Glasgow),..,..,..,0,..,..,..,0,..,..,..,0,,
Gairloch,..,..,..,1,..,..,69.2,1,26,22,84.6,2,,
Galashiels,259,139,53.7,3,240,136,56.7,3,499,275,55.1,6,,
Gateshead,676,336,49.7,9,596,247,41.4,4,1272,583,45.8,13,,
Gillingham,2342,1152,49.2,29,2361,1012,42.9,20,4703,2164,46.0,49,,
Girvan,67,36,53.7,1,72,41,56.9,1,139,77,55.4,2,,
Glasgow (Anniesland),1843,800,43.4,19,1811,657,36.3,15,3654,1457,39.9,34,,
Glasgow (Baillieston),1321,555,42.0,7,1400,529,37.8,1,2721,1084,39.8,8,,
Glasgow (Shieldhall),1114,420,37.7,4,1186,381,32.1,0,2300,801,34.8,4,,
Gloucester,1598,709,44.4,17,1696,692,40.8,12,3294,1401,42.5,29,,
Golspie,30,17,56.7,0,50,33,66.0,1,80,50,62.5,1,,
Goodmayes (London),5750,2382,41.4,115,5503,1723,31.3,56,11253,4105,36.5,171,,
Gosforth,1243,640,51.5,18,1267,496,39.1,12,2510,1136,45.3,30,,
Grangemouth,881,497,56.4,24,987,496,50.3,26,1868,993,53.2,50,,
Grantham (Somerby),1036,573,55.3,32,968,423,43.7,17,2004,996,49.7,49,,
Grantown-On-Spey,42,21,50.0,2,47,28,59.6,1,89,49,55.1,3,,
Greenford (Horsenden Lane),1571,645,41.1,4,1358,475,35.0,2,2929,1120,38.2,6,,
Greenford (Whitton Ave East),457,186,40.7,2,327,110,33.6,2,784,296,37.8,4,,
Greenock,387,165,42.6,1,468,189,40.4,1,855,354,41.4,2,,
Grimsby Coldwater,935,407,43.5,7,1037,386,37.2,4,1972,793,40.2,11,,
Guildford,1682,869,51.7,20,1705,794,46.6,21,3387,1663,49.1,41,,
Haddington,323,216,66.9,10,343,197,57.4,7,666,413,62.0,17,,
Halifax,966,369,38.2,2,979,300,30.6,1,1945,669,34.4,3,,
Hamilton,1174,557,47.4,6,1187,546,46.0,5,2361,1103,46.7,11,,
Hartlepool,1244,731,58.8,30,1339,666,49.7,34,2583,1397,54.1,64,,
Hastings (Ore),799,345,43.2,1,848,334,39.4,5,1647,679,41.2,6,,
Hawick,98,64,65.3,4,92,55,59.8,3,190,119,62.6,7,,
Hayes (London),1203,570,47.4,24,1124,369,32.8,12,2327,939,40.4,36,,
Heads of the Valleys,..,..,..,0,..,..,..,0,..,..,..,0,,
Heckmondwike,1296,630,48.6,6,1395,468,33.5,2,2691,1098,40.8,8,,
Hemel Hempstead (Fire Station),280,133,47.5,7,408,198,48.5,8,688,331,48.1,15,,
Hendon (London),2367,1099,46.4,30,2492,928,37.2,13,4859,2027,41.7,43,,
Hereford,732,435,59.4,21,796,429,53.9,11,1528,864,56.5,32,,
Herne Bay,1575,787,50.0,23,1704,679,39.8,24,3279,1466,44.7,47,,
Hexham,244,152,62.3,8,299,156,52.2,10,543,308,56.7,18,,
Heysham,731,370,50.6,34,733,350,47.7,21,1464,720,49.2,55,,
High Wycombe,1336,702,52.5,30,1374,652,47.5,20,2710,1354,50.0,50,,
Hinckley,690,289,41.9,1,718,268,37.3,1,1408,557,39.6,2,,
Hither Green (London),3015,1639,54.4,157,2866,1298,45.3,98,5881,2937,49.9,255,,
Hornchurch (London),1780,882,49.6,24,1881,799,42.5,20,3661,1681,45.9,44,,
Horsforth,2093,1049,50.1,19,2155,944,43.8,16,4248,1993,46.9,35,,
Huddersfield,1559,767,49.2,10,1514,644,42.5,7,3073,1411,45.9,17,,
Hull,2415,1232,51.0,64,2421,1089,45.0,45,4836,2321,48.0,109,,
Huntly,85,50,58.8,2,111,70,63.1,2,196,120,61.2,4,,
Hyde (Manchester),1871,1130,60.4,44,1896,1024,54.0,41,3767,2154,57.2,85,,
Inveraray,20,17,85.0,2,27,23,85.2,1,47,40,85.1,3,,
Inverness (Longman Drive),44,17,38.6,0,44,18,40.9,0,88,35,39.8,0,,
Inverness (Seafield Road),64,30,46.9,1,80,30,37.5,1,144,60,41.7,2,,
Inverurie,257,171,66.5,14,276,174,63.0,8,533,345,64.7,22,,
Ipswich,2118,1408,66.5,56,2168,1216,56.1,37,4286,2624,61.2,93,,
Irvine,1051,600,57.1,32,1198,635,53.0,19,2249,1235,54.9,51,,
Islay Island,16,14,87.5,0,20,12,60.0,1,36,26,72.2,1,,
Isle of Mull,..,..,66.7,0,..,..,92.3,0,19,16,84.2,0,,
Isle of Skye (Broadford),..,..,37.5,0,..,..,..,0,..,..,27.3,0,,
Isle of Skye (Portree),40,29,72.5,2,47,29,61.7,0,87,58,66.7,2,,
Isle of Tiree,..,..,..,0,..,..,50.0,0,..,..,66.7,0,,
Isleworth (Fleming Way),3341,1593,47.7,16,2971,1147,38.6,4,6312,2740,43.4,20,,
Kelso,61,34,55.7,1,78,45,57.7,1,139,79,56.8,2,,
Kendal (Oxenholme Road),653,439,67.2,30,644,387,60.1,29,1297,826,63.7,59,,
Kettering,1967,1063,54.0,60,1837,829,45.1,26,3804,1892,49.7,86,,
Kings Lynn,1231,644,52.3,18,1351,614,45.4,12,2582,1258,48.7,30,,
Kingussie,29,18,62.1,0,26,13,50.0,2,55,31,56.4,2,,
Kirkcaldy,1130,651,57.6,55,1154,547,47.4,42,2284,1198,52.5,97,,
Knaresborough,942,531,56.4,14,978,459,46.9,9,1920,990,51.6,23,,
Kyle of Lochalsh,20,9,45.0,0,22,11,50.0,0,42,20,47.6,0,,
Lairg,..,..,60.0,0,..,..,..,0,9,7,77.8,0,,
Lampeter,162,111,68.5,3,162,69,42.6,1,324,180,55.6,4,,
Lanark,415,248,59.8,3,471,257,54.6,5,886,505,57.0,8,,
Lancing,1779,944,53.1,39,1924,899,46.7,34,3703,1843,49.8,73,,
Launceston,554,288,52.0,2,576,271,47.0,3,1130,559,49.5,5,,
Lee On The Solent,1360,869,63.9,44,1465,780,53.2,29,2825,1649,58.4,73,,
Leeds,1297,506,39.0,1,1287,401,31.2,1,2584,907,35.1,2,,
Leicester (Cannock Street),2153,817,37.9,15,1861,507,27.2,2,4014,1324,33.0,17,,
Leicester (Wigston),2146,990,46.1,4,2205,875,39.7,8,4351,1865,42.9,12,,
Leighton Buzzard (Stanbridge Road),1414,732,51.8,52,1410,589,41.8,38,2824,1321,46.8,90,,
Lerwick,130,92,70.8,12,147,94,63.9,8,277,186,67.1,20,,
Letchworth,1027,489,47.6,14,1139,501,44.0,11,2166,990,45.7,25,,
Lichfield,1692,943,55.7,17,1800,838,46.6,13,3492,1781,51.0,30,,
Lincoln,1344,712,53.0,13,1394,605,43.4,3,2738,1317,48.1,16,,
Livingston,922,425,46.1,8,982,380,38.7,7,1904,805,42.3,15,,
Llandrindod Wells,164,125,76.2,15,182,139,76.4,17,346,264,76.3,32,,
Llanelli,821,428,52.1,7,785,341,43.4,2,1606,769,47.9,9,,
Llantrisant,728,422,58.0,11,686,358,52.2,10,1414,780,55.2,21,,
Lochgilphead,47,38,80.9,4,50,39,78.0,3,97,77,79.4,7,,
Loughborough,1326,721,54.4,20,1338,596,44.5,8,2664,1317,49.4,28,,
Loughton (London),1178,574,48.7,21,1203,522,43.4,16,2381,1096,46.0,37,,
Louth,227,130,57.3,3,225,116,51.6,6,452,246,54.4,9,,
Lowestoft(Mobbs Way),1088,539,49.5,15,1125,511,45.4,13,2213,1050,47.4,28,,
Ludlow,531,288,54.2,3,559,262,46.9,4,1090,550,50.5,7,,
Luton,1630,622,38.2,14,1784,500,28.0,13,3414,1122,32.9,27,,
Macclesfield,790,391,49.5,4,810,363,44.8,1,1600,754,47.1,5,,
Maidstone,1374,666,48.5,21,1385,560,40.4,19,2759,1226,44.4,40,,
Mallaig,..,..,87.5,0,8,..,..,0,16,15,93.8,0,,
Malton,255,171,67.1,22,298,196,65.8,31,553,367,66.4,53,,
Melton Mowbray,538,337,62.6,22,584,311,53.3,19,1122,648,57.8,41,,
Merthyr Tydfil,1137,651,57.3,12,1135,541,47.7,5,2272,1192,52.5,17,,
Middlesbrough,2339,1301,55.6,111,2403,1118,46.5,90,4742,2419,51.0,201,,
Mill Hill (London),1927,923,47.9,35,1753,688,39.2,23,3680,1611,43.8,58,,
Mitcham (London),1820,830,45.6,11,1956,726,37.1,8,3776,1556,41.2,19,,
Monmouth,657,366,55.7,8,612,320,52.3,11,1269,686,54.1,19,,
Montrose (Broomfield Ind Estate),178,127,71.3,14,215,153,71.2,9,393,280,71.2,23,,
Morden (London),4244,2284,53.8,36,4224,1819,43.1,18,8468,4103,48.5,54,,
Nelson,1286,706,54.9,15,1276,584,45.8,7,2562,1290,50.4,22,,
Newbury (Hambridge Lane),1180,641,54.3,46,1237,604,48.8,30,2417,1245,51.5,76,,
Newport (Gwent),1368,675,49.3,15,1327,554,41.7,5,2695,1229,45.6,20,,
Newport IOW (Innovation Centre),634,354,55.8,5,638,327,51.3,9,1272,681,53.5,14,,
Newton Abbot,1351,727,53.8,26,1364,602,44.1,15,2715,1329,49.0,41,,
Newton Stewart,42,24,57.1,0,49,34,69.4,1,91,58,63.7,1,,
Newtown,327,176,53.8,28,357,227,63.6,43,684,403,58.9,71,,
Norris Green (Liverpool),2517,1091,43.3,10,2729,1060,38.8,18,5246,2151,41.0,28,,
Northallerton,719,454,63.1,13,711,422,59.4,4,1430,876,61.3,17,,
Northampton,2056,1123,54.6,58,2162,958,44.3,39,4219,2082,49.3,97,,
Northwich,805,417,51.8,6,887,400,45.1,3,1692,817,48.3,9,,
Norwich (Jupiter Road),576,280,48.6,12,596,299,50.2,6,1172,579,49.4,18,,
Norwich (Peachman Way),2391,1337,55.9,63,2460,1194,48.5,66,4851,2531,52.2,129,,
Nottingham (Chilwell),1044,512,49.0,12,1042,416,39.9,12,2086,928,44.5,24,,
Nottingham (Colwick),1971,1009,51.2,13,1917,864,45.1,6,3888,1873,48.2,19,,
Nuneaton,1099,618,56.2,13,1035,490,47.3,6,2134,1108,51.9,19,,
Oban,85,48,56.5,1,98,60,61.2,0,183,108,59.0,1,,
Orkney,80,46,57.5,2,101,71,70.3,2,181,117,64.6,4,,
Oswestry,324,151,46.6,3,357,153,42.9,3,681,304,44.6,6,,
Oxford (Cowley),2307,1205,52.2,57,2462,1140,46.3,34,4769,2345,49.2,91,,
Paisley,1235,608,49.2,4,1329,562,42.3,0,2564,1170,45.6,4,,
Peebles,76,47,61.8,3,91,55,60.4,2,167,102,61.1,5,,
Pembroke Dock,590,355,60.2,4,569,247,43.4,0,1159,602,51.9,4,,
Penzance,367,185,50.4,4,374,162,43.3,3,741,347,46.8,7,,
Perth (Arran Road),569,347,61.0,21,528,263,49.8,13,1097,610,55.6,34,,
Peterborough,2237,1136,50.8,24,2311,941,40.7,22,4548,2077,45.7,46,,
Peterhead,253,179,70.8,16,290,159,54.8,9,543,338,62.2,25,,
Pinner (London),3344,1551,46.4,45,3358,1256,37.4,35,6702,2807,41.9,80,,
Pitlochry,48,44,91.7,11,39,26,66.7,4,87,70,80.5,15,,
Plymouth,1579,564,35.7,7,1659,545,32.9,7,3238,1109,34.2,14,,
Pontefract,1139,486,42.7,14,1295,442,34.1,2,2434,928,38.1,16,,
Poole,1229,755,61.4,46,1262,676,53.6,18,2491,1431,57.4,64,,
Portsmouth,1697,784,46.2,28,1723,694,40.3,14,3420,1478,43.2,42,,
Preston,1979,1178,59.5,61,2055,1050,51.1,44,4034,2228,55.2,105,,
Pwllheli,213,135,63.4,5,223,124,55.6,3,436,259,59.4,8,,
Reading,2667,1342,50.3,40,2665,1160,43.5,42,5332,2502,46.9,82,,
Redditch,1182,527,44.6,10,1079,474,43.9,6,2261,1001,44.3,16,,
Redhill Aerodrome,1081,509,47.1,8,1123,438,39.0,11,2204,947,43.0,19,,
Rhyl,863,448,51.9,14,817,322,39.4,5,1680,770,45.8,19,,
Rochdale (Manchester),1319,508,38.5,7,1287,343,26.7,2,2606,851,32.7,9,,
Rotherham,1286,648,50.4,24,1322,538,40.7,10,2608,1186,45.5,34,,
Rothesay,28,16,57.1,0,38,21,55.3,0,66,37,56.1,0,,
Rugby,807,395,48.9,4,853,337,39.5,2,1660,732,44.1,6,,
Sale (Manchester),2085,1181,56.6,43,2064,973,47.1,25,4149,2154,51.9,68,,
Salisbury,899,551,61.3,47,994,559,56.2,30,1893,1110,58.6,77,,
Scarborough,446,252,56.5,14,537,231,43.0,4,983,483,49.1,18,,
Scunthorpe,1117,552,49.4,15,1160,480,41.4,7,2277,1032,45.3,22,,
Sevenoaks,1179,644,54.6,25,1341,637,47.5,15,2520,1281,50.8,40,,
Sheffield (Handsworth),1878,915,48.7,20,1719,662,38.5,17,3597,1577,43.8,37,,
Sheffield (Middlewood Road),1772,857,48.4,27,1875,713,38.0,23,3647,1570,43.0,50,,
Shrewsbury,629,295,46.9,2,648,293,45.2,3,1277,588,46.0,5,,
Sidcup (London),1974,994,50.4,37,1852,729,39.4,25,3826,1723,45.0,62,,
Skegness,341,209,61.3,15,367,174,47.4,13,708,383,54.1,28,,
Skipton,622,306,49.2,8,651,294,45.2,6,1273,600,47.1,14,,
Slough (London),2111,1079,51.1,29,2257,888,39.3,10,4368,1967,45.0,39,,
South Shields,956,480,50.2,53,987,412,41.7,33,1943,892,45.9,86,,
Southall (London),1187,527,44.4,15,1048,370,35.3,4,2235,897,40.1,19,,
Southampton (Forest Hills),1137,582,51.2,16,1274,552,43.3,13,2411,1134,47.0,29,,
Southampton (Maybush),1598,767,48.0,13,1698,757,44.6,9,3296,1524,46.2,22,,
Southend-on-Sea,1402,670,47.8,4,1496,630,42.1,8,2898,1300,44.9,12,,
Southport (Liverpool),1326,683,51.5,5,1305,609,46.7,4,2631,1292,49.1,9,,
Speke (Liverpool),1216,458,37.7,3,1158,351,30.3,1,2374,809,34.1,4,,
St Albans,1631,755,46.3,28,1607,659,41.0,27,3238,1414,43.7,55,,
St Helens (Liverpool),1324,704,53.2,12,1325,574,43.3,3,2649,1278,48.2,15,,
Stafford,639,330,51.6,5,718,341,47.5,1,1357,671,49.4,6,,
Steeton,639,291,45.5,7,679,286,42.1,10,1318,577,43.8,17,,
Stevenage,1182,582,49.2,20,1142,532,46.6,10,2324,1114,47.9,30,,
Stirling,697,310,44.5,5,803,291,36.2,4,1500,601,40.1,9,,
Stoke-On-Trent (Cobridge),1140,491,43.1,15,1176,379,32.2,2,2316,870,37.6,17,,
Stoke-on-Trent (Newcastle-Under-Lyme),1299,575,44.3,9,1295,499,38.5,7,2594,1074,41.4,16,,
Stornoway,78,48,61.5,3,114,60,52.6,2,192,108,56.3,5,,
Stranraer,73,39,53.4,1,95,62,65.3,2,168,101,60.1,3,,
Sunderland,1436,664,46.2,6,1378,530,38.5,3,2814,1194,42.4,9,,
Swansea,1717,942,54.9,15,1679,785,46.8,10,3396,1727,50.9,25,,
Swindon,2054,1108,53.9,50,2021,998,49.4,40,4075,2106,51.7,90,,
Taunton,1663,924,55.6,42,1733,904,52.2,33,3396,1828,53.8,75,,
Telford,1130,508,45.0,2,1172,420,35.8,4,2302,928,40.3,6,,
Thurso,54,30,55.6,0,73,49,67.1,4,127,79,62.2,4,,
Tilbury,1024,446,43.6,4,1084,429,39.6,2,2108,875,41.5,6,,
Tolworth (London),1982,1083,54.6,31,1936,926,47.8,30,3918,2009,51.3,61,,
Tottenham,788,342,43.4,2,666,212,31.8,2,1454,554,38.1,4,,
Trowbridge,280,143,51.1,6,367,156,42.5,6,647,299,46.2,12,,
Tunbridge Wells,1170,566,48.4,11,1163,521,44.8,5,2333,1087,46.6,16,,
Ullapool,15,13,86.7,1,12,9,75.0,1,27,22,81.5,2,,
Upton,1503,776,51.6,4,1579,672,42.6,4,3082,1448,47.0,8,,
Uxbridge (London),1159,611,52.7,21,944,405,42.9,13,2103,1016,48.3,34,,
Wakefield,1665,847,50.9,51,1625,725,44.6,38,3290,1572,47.8,89,,
Wallasey,374,158,42.2,1,409,155,37.9,1,783,313,40.0,2,,
Wanstead (London),2179,866,39.7,19,1653,529,32.0,7,3832,1395,36.4,26,,
Warrington,1333,778,58.4,40,1376,671,48.8,38,2709,1449,53.5,78,,
Warwick (Wedgenock House),2123,1109,52.2,18,1963,839,42.7,16,4086,1948,47.7,34,,
Watford,1342,646,48.1,9,1277,574,44.9,14,2619,1220,46.6,23,,
