city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Crewe,834,384,46.0,2,796,366,46.0,0,"1,632",751,46.0,2,,
Crieff,43,30,69.8,1,53,26,49.1,0,96,56,58.3,1,,
Croydon,"2,105",841,40.0,6,"1,593",521,32.7,0,"3,698","1,361",36.8,6,,
Cumnock,205,126,61.5,0,192,99,51.6,0,397,225,56.7,0,,
Darlington,"1,004",514,51.2,3,"1,068",494,46.3,7,"2,073","1,008",48.6,10,,
Derby,"2,185","1,125",51.5,3,"2,229",837,37.6,2,"4,414","1,962",44.4,5,,
Doncaster,"1,870",919,49.1,12,"1,723",726,42.1,4,"3,593","1,645",45.8,16,,
Dumbarton,456,223,48.9,2,436,196,45.0,0,893,420,47.0,2,,
Dumfries,443,201,45.4,1,476,202,42.4,1,919,403,43.9,2,,
Dunfermline,689,358,52.0,5,713,335,47.0,4,"1,403",694,49.5,9,,
Dunoon,68,42,61.8,0,59,28,47.5,0,127,70,55.1,0,,
Duns,51,30,58.8,0,56,27,48.2,0,107,57,53.3,0,,
Eastbourne,"1,187",595,50.1,4,"1,211",535,44.2,4,"2,398","1,130",47.1,8,,
Edinburgh (Currie),"1,666",842,50.5,6,"1,558",588,37.7,5,"3,228","1,431",44.3,11,,
Edinburgh (Musselburgh),"1,690",828,49.0,7,"1,599",712,44.5,0,"3,293","1,538",46.7,7,,
Elgin,422,241,57.1,0,412,200,48.5,0,835,442,52.9,0,,
Elswick,"1,375",626,45.5,0,"1,152",351,30.5,0,"2,528",977,38.6,0,,
Enfield,"2,429",813,33.5,1,"2,290",730,31.9,2,"4,719","1,543",32.7,3,,
Erith,426,190,44.6,2,363,146,40.2,2,789,336,42.6,4,,
Exeter,"1,416",653,46.1,5,"1,652",727,44.0,3,"3,070","1,382",45.0,8,,
Failsworth,"2,241","1,072",47.8,9,"2,062",730,35.4,5,"4,305","1,802",41.9,14,,
Falkirk,835,473,56.6,2,854,382,44.7,4,"1,689",855,50.6,6,,
Farnborough,712,363,51.0,12,685,314,45.8,7,"1,397",677,48.5,19,,
Folkestone,909,391,43.0,0,974,343,35.2,0,"1,884",735,39.0,0,,
Forfar,141,89,63.1,7,130,68,52.3,10,271,157,57.9,17,,
Fort William,82,47,57.3,0,94,43,45.7,0,176,90,51.1,0,,
Fraserburgh,160,120,75.0,5,161,87,54.0,0,321,207,64.5,5,,
Gairloch,15,9,60.0,0,20,13,65.0,0,35,22,62.9,0,,
Galashiels,266,135,50.8,2,209,97,46.4,2,475,232,48.8,4,,
Garston,"1,843","1,027",55.7,20,"1,733",798,46.0,9,"3,596","1,835",51.0,29,,
Gateshead,"1,087",483,44.4,4,985,382,38.8,1,"2,074",866,41.8,5,,
Gillingham LGV,"1,449",497,34.3,3,"1,484",454,30.6,2,"2,936",952,32.4,5,,
Girvan,68,42,61.8,0,89,40,44.9,0,157,82,52.2,0,,
Glasgow (Anniesland),"1,414",585,41.4,4,"1,367",460,33.7,5,"2,783","1,045",37.5,9,,
Glasgow (Baillieston),"1,292",569,44.0,1,"1,262",429,34.0,0,"2,554",997,39.0,1,,
Glasgow (Shieldhall),"1,630",675,41.4,7,"1,436",505,35.2,10,"3,067","1,180",38.5,17,,
Glasgow (Springburn Park),"1,536",692,45.1,2,"1,404",533,38.0,0,"2,944","1,227",41.7,2,,
Gloucester,"1,691",794,47.0,7,"1,721",755,43.9,3,"3,413","1,550",45.4,10,,
Golspie,26,20,76.9,1,29,13,44.8,0,55,33,60.0,1,,
Goodmayes,"3,819","1,367",35.8,7,"2,875",782,27.2,4,"6,694","2,149",32.1,11,,
Grantham,953,548,57.5,11,905,458,50.6,4,"1,859","1,006",54.1,15,,
Grantown-On-Spey,38,20,52.6,0,44,25,56.8,0,82,45,54.9,0,,
Greenford,"1,498",632,42.2,1,"1,157",363,31.4,0,"2,656",995,37.5,1,,
Greenock,531,251,47.3,0,540,230,42.6,0,"1,071",481,44.9,0,,
Grimsby,"1,149",512,44.6,4,"1,109",425,38.3,1,"2,259",937,41.5,5,,
Guildford,"1,502",709,47.2,1,"1,553",693,44.6,1,"3,057","1,402",45.9,2,,
Haddington,312,186,59.6,2,338,185,54.7,1,650,371,57.1,3,,
Halifax,"1,079",597,55.3,1,"1,077",453,42.1,3,"2,157","1,050",48.7,4,,
Hamilton,"1,429",572,40.0,2,"1,316",436,33.1,1,"2,746","1,008",36.7,3,,
Hartlepool,"1,310",633,48.3,3,"1,318",512,38.8,4,"2,628","1,145",43.6,7,,
Hastings,918,428,46.6,5,823,306,37.2,1,"1,741",734,42.2,6,,
Hawick,87,50,57.5,0,96,39,40.6,0,183,89,48.6,0,,
Hayes,"1,696",724,42.7,3,"1,373",481,35.0,2,"3,070","1,205",39.3,5,,
Heckmondwike,"1,392",519,37.3,1,"1,369",380,27.8,1,"2,761",899,32.6,2,,
Hendon,37,17,45.9,2,28,12,42.9,0,65,29,44.6,2,,
Hereford,738,390,52.8,1,784,355,45.3,0,"1,523",745,48.9,1,,
Herne Bay,253,129,51.0,0,241,94,39.0,0,494,223,45.1,0,,
Hexham,369,205,55.6,1,481,205,42.6,0,850,410,48.2,1,,
Heysham,903,462,51.2,8,868,440,50.7,5,"1,775",905,51.0,13,,
High Wycombe,"1,465",788,53.8,7,"1,351",650,48.1,2,"2,816","1,438",51.1,9,,
Hinckley,815,477,58.5,4,791,352,44.5,4,"1,606",829,51.6,8,,
Hither Green,"2,504","1,047",41.8,9,"2,181",774,35.5,2,"4,686","1,821",38.9,11,,
Hornchurch,"2,404",964,40.1,2,"2,323",803,34.6,3,"4,727","1,767",37.4,5,,
Horsforth,"1,993",921,46.2,7,"1,788",632,35.3,0,"3,783","1,554",41.1,7,,
Huddersfield,"1,643",764,46.5,5,"1,500",545,36.3,6,"3,144","1,309",41.6,11,,
Hull,"2,801","1,398",49.9,17,"2,701","1,188",44.0,16,"5,502","2,586",47.0,33,,
Huntly,91,46,50.5,0,89,50,56.2,0,180,96,53.3,0,,
Hyde,"1,392",761,54.7,2,"1,311",665,50.7,2,"2,703","1,425",52.7,4,,
Inveraray,24,14,58.3,0,18,10,55.6,0,42,24,57.1,0,,
Inverness (Cradlehall Business Park),550,290,52.7,0,538,245,45.5,0,"1,088",535,49.2,0,,
Inverurie,231,156,67.5,6,249,163,65.5,3,480,319,66.5,9,,
Ipswich,"1,817",919,50.6,0,"1,915",864,45.1,0,"3,734","1,783",47.8,0,,
Islay Island,16,12,75.0,1,20,16,80.0,0,36,28,77.8,1,,
Isle of Mull,12,4,33.3,0,10,3,30.0,0,22,7,31.8,0,,
Isle of Skye (Broadford),32,26,81.3,0,22,14,63.6,0,54,40,74.1,0,,
Isle of Skye (Portree),47,29,61.7,0,48,22,45.8,0,95,51,53.7,0,,
Isleworth,"2,871","1,291",45.0,10,"2,851","1,123",39.4,9,"5,724","2,414",42.2,19,,
Kelso,73,42,57.5,0,91,51,56.0,0,164,93,56.7,0,,
Kendal,626,356,56.9,0,629,305,48.5,1,"1,259",664,52.7,1,,
Kettering,869,465,53.5,12,833,356,42.7,2,"1,702",821,48.2,14,,
Kings Lynn,829,400,48.3,4,839,354,42.2,2,"1,668",753,45.1,6,,
Kingussie,30,19,63.3,0,27,15,55.6,0,57,34,59.6,0,,
Kirkcaldy,581,313,53.9,5,551,239,43.4,1,"1,133",552,48.7,6,,
Kyle of Lochalsh,24,9,37.5,0,26,10,38.5,0,50,19,38.0,0,,
Lairg,12,6,50.0,1,16,5,31.3,0,28,11,39.3,1,,
Lampeter,203,119,58.6,6,185,102,55.1,3,388,221,57.0,9,,
Lanark,367,189,51.5,1,369,134,36.3,1,736,323,43.9,2,,
Launceston,580,319,55.0,1,589,298,50.6,2,"1,169",617,52.8,3,,
Lee On The Solent,336,196,58.3,1,325,163,50.2,0,661,359,54.3,1,,
Leeds,"1,862",762,40.9,2,"1,394",424,30.4,1,"3,256","1,186",36.4,3,,
Leicester (Gipsy Lane),"1,638",753,46.0,4,"1,494",551,36.9,1,"3,132","1,303",41.6,5,,
Leicester (Wigston),"1,468",674,45.9,2,"1,306",469,35.9,0,"2,774","1,143",41.2,2,,
Leighton Buzzard,"1,188",645,54.3,11,"1,092",573,52.5,5,"2,280","1,217",53.4,16,,
Lerwick,154,114,74.0,3,158,110,69.6,3,312,224,71.8,6,,
Letchworth,"1,085",599,55.2,6,"1,040",538,51.7,7,"2,125","1,137",53.5,13,,
Lichfield,"1,568",839,53.5,14,"1,736",838,48.3,9,"3,304","1,677",50.8,23,,
Lincoln,659,359,54.5,3,666,328,49.2,0,"1,325",687,51.8,3,,
Llandrindod Wells,189,139,73.5,9,207,136,65.7,5,396,275,69.4,14,,
Llanelli,694,379,54.6,0,684,295,43.1,0,"1,378",674,48.9,0,,
Lochgilphead,57,33,57.9,0,46,27,58.7,0,103,60,58.3,0,,
Longbenton,"1,521",779,51.2,6,"1,402",593,42.3,2,"2,926","1,373",46.9,8,,
Loughborough,"1,177",581,49.4,0,"1,139",460,40.4,2,"2,316","1,041",44.9,2,,
Loughton,"1,375",531,38.6,1,"1,033",355,34.4,1,"2,408",886,36.8,2,,
Lower Gornal,"1,203",532,44.2,2,"1,178",454,38.5,2,"2,381",986,41.4,4,,
Lowestoft,"1,300",696,53.5,5,"1,252",535,42.7,3,"2,553","1,231",48.2,8,,
Ludlow,301,168,55.8,0,317,155,48.9,0,618,323,52.3,0,,
Luton,"2,210","1,075",48.6,39,"1,978",810,41.0,21,"4,188","1,884",45.0,60,,
Macclesfield,667,322,48.3,3,655,301,46.0,5,"1,322",623,47.1,8,,
Maidstone,"1,496",720,48.1,19,"1,406",610,43.4,13,"2,902","1,330",45.8,32,,
Mallaig,7,5,71.4,0,7,4,57.1,0,14,9,64.3,0,,
Malton,266,190,71.4,6,273,159,58.2,4,539,349,64.7,10,,
Melton Mowbray,526,237,45.1,3,553,229,41.4,2,"1,079",466,43.2,5,,
Middlesbrough,"2,504","1,242",49.6,13,"2,376","1,023",43.1,8,"4,880","2,264",46.4,21,,
Mill Hill,"2,300",923,40.1,11,"1,780",572,32.1,5,"4,081","1,494",36.6,16,,
Monmouth,713,380,53.3,2,763,372,48.8,3,"1,476",752,50.9,5,,
Montrose,144,90,62.5,6,173,75,43.4,8,317,165,52.1,14,,
Morden,"2,732","1,490",54.5,17,"2,724","1,236",45.4,8,"5,457","2,725",49.9,25,,
Nelson,"1,129",497,44.0,1,"1,151",437,38.0,0,"2,280",934,41.0,1,,
Newbury,"1,169",587,50.2,1,"1,072",467,43.6,1,"2,241","1,054",47.0,2,,
Newcastle-Under-Lyme,"1,109",512,46.2,3,"1,114",445,39.9,4,"2,224",957,43.0,7,,
Newport (Gwent),"1,600",860,53.8,12,"1,382",654,47.3,8,"2,982","1,514",50.8,20,,
Newport (Isle Of Wight),648,339,52.3,2,684,327,47.8,1,"1,332",666,50.0,3,,
Newton Abbot,"1,535",904,58.9,2,"1,578",772,48.9,1,"3,115","1,677",53.8,3,,
Newton Stewart,61,40,65.6,0,65,33,50.8,0,126,73,57.9,0,,
Newtown,329,181,55.0,3,309,162,52.4,5,638,343,53.8,8,,
Norris Green,"2,822","1,320",46.8,10,"2,594","1,131",43.6,1,"5,420","2,453",45.3,11,,
Northallerton,792,490,61.9,3,786,406,51.7,2,"1,578",896,56.8,5,,
Northampton,"1,949",991,50.8,10,"1,895",844,44.5,6,"3,845","1,836",47.8,16,,
Northwich,"1,112",645,58.0,4,"1,140",593,52.0,3,"2,252","1,238",55.0,7,,
Norwich,388,225,58.0,1,381,159,41.7,3,769,384,49.9,4,,
Nottingham (Chalfont Drive),"2,313",988,42.7,8,"2,095",764,36.5,10,"4,408","1,752",39.7,18,,
Nottingham (Colwick),"1,360",613,45.1,8,"1,226",408,33.3,4,"2,586","1,021",39.5,12,,
Nuneaton,930,513,55.2,3,931,416,44.7,0,"1,861",929,49.9,3,,
Oban,93,53,57.0,1,123,67,54.5,0,216,120,55.6,1,,
Orkney,99,68,68.7,2,120,60,50.0,0,219,128,58.4,2,,
Oswestry,490,274,55.9,3,542,245,45.2,3,"1,032",519,50.3,6,,
Oxford (Cowley),"2,310","1,168",50.6,13,"2,195","1,034",47.1,8,"4,506","2,202",48.9,21,,
Paisley,"1,342",602,44.9,1,"1,321",502,38.0,1,"2,663","1,104",41.5,2,,
Peebles,73,38,52.1,0,77,37,48.1,1,150,75,50.0,1,,
Pembroke Dock,349,184,52.7,2,316,149,47.2,0,665,333,50.1,2,,
Penzance,444,232,52.3,0,408,185,45.3,1,852,417,48.9,1,,
Perth,460,225,48.9,5,412,183,44.4,2,872,408,46.8,7,,
Peterborough,"1,526",779,51.0,3,"1,412",574,40.7,2,"2,938","1,353",46.1,5,,
Peterhead,309,190,61.5,3,304,158,52.0,2,613,348,56.8,5,,
Pinner,"2,926","1,548",52.9,51,"3,112","1,374",44.2,23,"6,039","2,920",48.4,74,,
Pitlochry,15,11,73.3,2,15,6,40.0,1,30,17,56.7,3,,
Pontefract,"1,359",652,48.0,8,"1,409",543,38.5,4,"2,768","1,195",43.2,12,,
Pontypridd,"1,242",653,52.6,3,"1,294",574,44.4,2,"2,536","1,227",48.4,5,,
Portsmouth,"2,258","1,097",48.6,10,"2,286","1,010",44.2,10,"4,547","2,108",46.4,20,,
Preston,"2,076","1,055",50.8,28,"1,999",864,43.2,12,"4,081","1,921",47.1,40,,
Pwllheli,226,117,51.8,2,243,126,51.9,1,469,243,51.8,3,,
Reading,"3,033","1,552",51.2,14,"2,765","1,248",45.1,12,"5,798","2,799",48.3,26,,
Redditch,"1,146",521,45.5,6,"1,075",424,39.4,7,"2,221",944,42.5,13,,
Reigate,"1,154",628,54.4,1,"1,120",515,46.0,2,"2,275","1,143",50.2,3,,
Rhyl,570,231,40.5,0,575,191,33.2,0,"1,145",422,36.9,0,,
Rochdale,"1,544",691,44.8,4,"1,450",477,32.9,1,"2,995","1,168",39.0,5,,
Rotherham,"1,389",730,52.6,8,"1,325",509,38.4,2,"2,714","1,239",45.7,10,,
Rothesay,26,17,65.4,0,28,13,46.4,0,54,30,55.6,0,,
Rugby,778,412,53.0,3,717,317,44.2,1,"1,495",729,48.8,4,,
Sale,"1,503",707,47.0,0,"1,497",592,39.5,0,"3,001","1,299",43.3,0,,
Salisbury,898,410,45.7,3,884,416,47.1,1,"1,782",826,46.4,4,,
Scarborough,508,274,53.9,5,497,234,47.1,5,"1,005",508,50.5,10,,
Scunthorpe,"1,220",667,54.7,23,"1,186",553,46.6,15,"2,406","1,220",50.7,38,,
Sevenoaks,878,383,43.6,1,851,330,38.8,0,"1,729",713,41.2,1,,
Sheffield (Middlewood Road),"1,780",981,55.1,3,"1,577",760,48.2,4,"3,359","1,742",51.9,7,,
Shrewsbury,726,387,53.3,3,688,314,45.6,2,"1,414",701,49.6,5,,
Sidcup,"2,211","1,030",46.6,5,"1,791",680,38.0,3,"4,002","1,710",42.7,8,,
Skegness,338,212,62.7,2,361,164,45.4,1,699,376,53.8,3,,
Skipton,747,375,50.2,1,587,266,45.3,0,"1,334",640,48.0,1,,
Slough,"2,562","1,396",54.5,14,"2,297","1,071",46.6,7,"4,859","2,465",50.7,21,,
South Norwood,"1,597",641,40.1,1,"1,454",462,31.8,2,"3,051","1,103",36.2,3,,
South Shields,"1,130",582,51.5,16,"1,164",493,42.4,9,"2,294","1,075",46.9,25,,
Southampton (Forest Hills),"1,488",705,47.4,5,"1,399",617,44.1,3,"2,888","1,323",45.8,8,,
Southampton (Maybush),"1,940","1,005",51.8,16,"1,704",816,47.9,2,"3,646","1,823",50.0,18,,
Southport,"1,296",641,49.5,3,"1,355",613,45.2,2,"2,652","1,253",47.2,5,,
St Albans,"1,399",640,45.7,6,"1,565",659,42.1,8,"2,964","1,299",43.8,14,,
St Helens,"1,397",731,52.3,5,"1,170",498,42.6,2,"2,567","1,229",47.9,7,,
Stafford,761,368,48.4,2,729,324,44.4,0,"1,490",692,46.4,2,,
Stevenage,"1,173",478,40.8,1,"1,078",339,31.4,1,"2,251",817,36.3,2,,
Stirling,778,369,47.4,0,678,252,37.2,0,"1,456",621,42.7,0,,
Stoke On Trent,"1,345",607,45.1,10,"1,320",531,40.2,3,"2,665","1,138",42.7,13,,
Stornoway,108,60,55.6,1,97,42,43.3,0,205,102,49.8,1,,
Stranraer,87,55,63.2,0,110,55,50.0,0,197,110,55.8,0,,
Sunderland,"1,769",885,50.0,1,"1,586",712,44.9,1,"3,357","1,597",47.6,2,,
Sutton,"1,681",893,53.1,7,"1,640",703,42.9,2,"3,321","1,596",48.1,9,,
Swansea,24,12,50.0,0,20,9,45.0,0,44,21,47.7,0,,
Swindon,141,72,51.1,1,143,60,42.0,0,284,132,46.5,1,,
Telford,"1,299",613,47.2,0,"1,174",520,44.3,0,"2,474","1,133",45.8,0,,
Thurso,72,43,59.7,0,92,50,54.3,1,164,93,56.7,1,,
Tilbury,"1,545",593,38.4,1,"1,477",497,33.6,2,"3,022","1,090",36.1,3,,
Tolworth,"2,518","1,233",49.0,16,"2,146",967,45.1,7,"4,664","2,200",47.2,23,,
Tunbridge Wells,"1,129",624,55.3,11,"1,120",519,46.3,6,"2,249","1,143",50.8,17,,
Ullapool,22,13,59.1,0,13,4,30.8,0,35,17,48.6,0,,
Upton,"1,281",603,47.1,2,"1,296",530,40.9,0,"2,577","1,133",44.0,2,,
Wallasey,629,268,42.6,0,642,273,42.5,4,"1,271",541,42.6,4,,
Wanstead,"2,694",823,30.5,1,"2,751",674,24.5,0,"5,445","1,497",27.5,1,,
Warwick,"1,561",832,53.3,4,"1,623",705,43.4,2,"3,184","1,537",48.3,6,,
Watford,"1,634",825,50.5,17,"1,508",646,42.8,7,"3,142","1,470",46.8,24,,
Wednesbury,"1,950",753,38.6,3,"1,607",470,29.2,0,"3,557","1,223",34.4,3,,
West Wickham,"1,804",987,54.7,7,"2,387","1,106",46.3,8,"4,191","2,093",49.9,15,,
Weston-Super-Mare,"1,208",625,51.7,3,"1,226",539,44.0,3,"2,434","1,164",47.8,6,,
Whitby,213,108,50.7,3,181,82,45.3,1,394,190,48.2,4,,
Whitchurch,661,359,54.3,5,686,310,45.2,0,"1,348",669,49.6,5,,
Wick,66,32,48.5,0,71,30,42.3,1,137,62,45.3,1,,
Widnes,"1,042",510,48.9,3,942,391,41.5,4,"1,984",901,45.4,7,,
Winchester,896,408,45.5,9,811,344,42.4,3,"1,707",752,44.1,12,,
Wood Green,"1,701",711,41.8,4,"1,979",643,32.5,5,"3,680","1,353",36.8,9,,
Worcester,"1,439",728,50.6,2,"1,486",628,42.3,1,"2,925","1,356",46.4,3,,
Workington,810,446,55.1,4,883,409,46.3,0,"1,693",855,50.5,4,,
Worksop,"1,112",533,47.9,8,"1,010",334,33.1,5,"2,122",867,40.9,13,,
Worthing,"1,473",817,55.5,17,"1,493",687,46.0,11,"2,966","1,502",50.6,28,,
Yeovil,"1,275",738,57.9,14,"1,334",653,49.0,11,"2,609","1,391",53.3,25,,
York,"1,721",985,57.2,16,"1,928",942,48.9,9,"3,650","1,924",52.7,25,,
Z Ellesmere Port (Closed),462,238,51.5,3,516,238,46.1,2,978,475,48.6,5,,
Z Kettering (Closed),635,321,50.6,1,576,246,42.7,2,"1,211",567,46.8,3,,
Z Minehead (Closed),97,62,63.9,0,113,71,62.8,3,210,133,63.3,3,,
Z Trowbridge (Closed),537,298,55.5,1,708,354,50.0,0,"1,246",652,52.3,1,,
ZAberdeen (Altens) (closed),"1,056",629,59.6,28,883,498,56.4,23,"1,939","1,127",58.1,51,,
ZAyr (CLOSED),588,319,54.3,3,562,251,44.7,1,"1,150",570,49.6,4,,
