city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Aberdeen North (Bridge of Don),941,508,54.0,9,842,390,46.3,5,"1,783",898,50.4,14,,
Aberdeen South (Cove),130,81,62.3,6,112,67,59.8,3,242,148,61.2,9,,
Aberfeldy,14,4,28.6,0,15,8,53.3,0,29,12,41.4,0,,
Abergavenny,"1,138",647,56.9,14,"1,147",571,49.8,10,"2,285","1,218",53.3,24,,
Aberystwyth,232,138,59.5,2,250,116,46.4,0,482,254,52.7,2,,
Airdrie,982,426,43.4,1,930,336,36.1,0,"1,912",762,39.9,1,,
Alness,287,158,55.1,1,293,143,48.8,0,580,301,51.9,1,,
Alnwick,264,158,59.8,0,250,105,42.0,0,514,263,51.2,0,,
Arbroath,200,120,60.0,10,189,99,52.4,9,389,219,56.3,19,,
Ashford (Kent),885,466,52.7,3,793,363,45.8,1,"1,678",827,49.3,4,,
Ashford (Middlesex),"2,021","1,000",49.5,14,"1,846",834,45.2,4,"3,867","1,834",47.4,18,,
Aylesbury,"1,070",510,47.7,2,"1,009",458,45.4,4,"2,079",968,46.6,6,,
Bala,183,79,43.2,0,191,73,38.2,0,374,152,40.6,0,,
Ballater,47,31,66.0,2,67,46,68.7,6,114,77,67.5,8,,
Banbury,"1,267",686,54.1,4,"1,367",676,49.5,10,"2,634","1,362",51.7,14,,
Banff,82,54,65.9,0,111,66,59.5,0,193,120,62.2,0,,
Bangor,35,11,31.4,0,34,18,52.9,0,69,29,42.0,0,,
Barking,"1,886",592,31.4,2,"1,775",409,23.0,2,"3,661","1,001",27.3,4,,
Barnet,"2,322",799,34.4,2,"1,688",518,30.7,2,"4,010","1,317",32.8,4,,
Barnsley,"1,199",525,43.8,3,"1,277",468,36.6,0,"2,476",993,40.1,3,,
Barnstaple,809,438,54.1,2,803,354,44.1,0,"1,612",792,49.1,2,,
Barrow In Furness,585,339,57.9,4,591,288,48.7,4,"1,177",627,53.3,8,,
Basildon,535,225,42.1,0,465,150,32.3,0,"1,000",375,37.5,0,,
Basingstoke,"1,217",649,53.3,5,"1,216",588,48.4,1,"2,435","1,239",50.9,6,,
Bathgate,"1,102",570,51.7,17,"1,137",503,44.2,5,"2,242","1,075",47.9,22,,
Bedford,"1,565",711,45.4,4,"1,491",607,40.7,4,"3,058","1,318",43.1,8,,
Belvedere,"1,350",545,40.4,1,"1,483",471,31.8,1,"2,833","1,016",35.9,2,,
Benbecula Island,28,13,46.4,0,16,6,37.5,0,44,19,43.2,0,,
Berwick-On-Tweed,143,97,67.8,2,167,84,50.3,2,310,181,58.4,4,,
Birmingham (Garretts Green),832,390,46.9,4,706,234,33.1,0,"1,538",624,40.6,4,,
Birmingham (Kings Heath),"1,790",670,37.4,4,"1,709",555,32.5,2,"3,499","1,225",35.0,6,,
Birmingham (Kingstanding),"2,281","1,033",45.3,15,"2,040",721,35.3,7,"4,321","1,753",40.6,22,,
Birmingham (Shirley),"1,400",760,54.3,7,"1,371",610,44.5,4,"2,771","1,369",49.4,11,,
Birmingham (South Yardley),"1,855",845,45.6,1,"1,665",523,31.4,2,"3,520","1,368",38.9,3,,
Birmingham (Sutton Coldfield),"1,555",802,51.6,3,"1,499",648,43.2,4,"3,055","1,450",47.5,7,,
Bishops Stortford,"1,548",744,48.1,3,"1,602",710,44.3,6,"3,150","1,454",46.2,9,,
Blackpool,"1,801",870,48.3,12,"1,672",641,38.3,5,"3,485","1,516",43.5,17,,
Bletchley,"1,965","1,103",56.1,6,"1,942",922,47.5,0,"3,907","2,024",51.8,6,,
Blyth,"1,282",682,53.2,7,"1,409",604,42.9,5,"2,691","1,286",47.8,12,,
Bodmin,962,499,51.9,7,"1,065",544,51.1,5,"2,027","1,043",51.5,12,,
Bolton,"2,612","1,357",52.0,8,"2,276","1,072",47.1,0,"4,890","2,429",49.7,8,,
Borehamwood,"2,584","1,188",46.0,11,"1,834",727,39.6,3,"4,419","1,915",43.3,14,,
Boston,656,366,55.8,3,678,347,51.2,3,"1,334",713,53.4,6,,
Bournemouth,"2,617","1,320",50.4,10,"2,526","1,140",45.1,5,"5,143","2,459",47.8,15,,
Bradford (Heaton),"1,386",496,35.8,0,"1,231",247,20.1,0,"2,618",743,28.4,0,,
Brecon,282,168,59.6,4,311,150,48.2,7,593,318,53.6,11,,
Brentwood,935,300,32.1,0,811,229,28.2,0,"1,747",529,30.3,0,,
Bridgend,"1,216",709,58.3,4,"1,238",594,48.0,0,"2,454","1,302",53.1,4,,
Bridlington,452,260,57.5,3,505,238,47.1,0,957,498,52.0,3,,
Bristol (Brislington),"1,419",756,53.3,18,"1,214",593,48.8,5,"2,633","1,349",51.2,23,,
Bristol (Kingswood),592,283,47.8,1,619,283,45.7,0,"1,211",566,46.7,1,,
Bristol (Southmead),"2,296","1,142",49.7,13,"2,269","1,035",45.6,10,"4,567","2,179",47.7,23,,
Brodick (Isle of Arran),20,15,75.0,0,7,2,28.6,0,27,17,63.0,0,,
Buckie,85,53,62.4,0,73,47,64.4,0,158,100,63.3,0,,
Burgess Hill,427,209,48.9,7,331,135,40.8,3,758,344,45.4,10,,
Burton on Trent,746,276,37.0,0,693,214,30.9,0,"1,439",490,34.1,0,,
Bury,"1,375",715,52.0,3,"1,283",553,43.1,2,"2,658","1,268",47.7,5,,
Bury St Edmunds,"1,476",632,42.8,0,"1,280",463,36.2,1,"2,757","1,095",39.7,1,,
Buxton,"1,203",645,53.6,1,"1,271",577,45.4,0,"2,474","1,220",49.3,1,,
Callander,121,64,52.9,0,118,51,43.2,0,239,115,48.1,0,,
Camborne,993,493,49.6,3,979,469,47.9,3,"1,972",962,48.8,6,,
Cambridge (Chesterton Road),"1,575",839,53.3,8,"1,601",804,50.2,6,"3,177","1,643",51.7,14,,
Cambridge (Cowley Road),"1,287",675,52.4,2,"1,245",665,53.4,2,"2,533","1,341",52.9,4,,
Campbeltown,35,23,65.7,1,52,36,69.2,1,87,59,67.8,2,,
Cannock,"1,359",754,55.5,7,"1,243",579,46.6,3,"2,603","1,332",51.2,10,,
Canterbury,623,266,42.7,6,693,263,38.0,1,"1,317",529,40.2,7,,
Cardiff,"2,816","1,581",56.1,25,"2,697","1,312",48.6,7,"5,515","2,893",52.5,32,,
Cardigan,195,123,63.1,1,221,131,59.3,0,416,254,61.1,1,,
Carlisle,458,269,58.7,2,453,224,49.4,2,911,493,54.1,4,,
Carmarthen,466,229,49.1,3,448,217,48.4,0,914,446,48.8,3,,
Castle Douglas,114,57,50.0,0,113,60,53.1,0,227,117,51.5,0,,
Cheetham Hill,"2,587","1,366",52.8,7,"2,094",940,44.9,3,"4,684","2,308",49.3,10,,
Chelmsford,"1,760",670,38.1,2,"1,613",528,32.7,0,"3,374","1,199",35.5,2,,
Cheltenham,"1,490",765,51.3,7,"1,547",645,41.7,4,"3,037","1,410",46.4,11,,
Chertsey,"2,319","1,239",53.4,24,"2,200","1,053",47.9,19,"4,519","2,292",50.7,43,,
Chester,579,248,42.8,1,523,223,42.6,0,"1,102",470,42.6,1,,
Chesterfield,819,327,39.9,0,754,221,29.3,0,"1,573",548,34.8,0,,
Chichester,"1,115",578,51.8,3,"1,061",500,47.1,5,"2,176","1,078",49.5,8,,
Chingford,"2,380",895,37.6,6,"1,492",453,30.4,2,"3,872","1,348",34.8,8,,
Chippenham,"1,769",937,53.0,2,"1,697",858,50.6,1,"3,468","1,796",51.8,3,,
Chorley,772,414,53.6,2,664,297,44.7,1,"1,438",711,49.4,3,,
Clacton-on- Sea,990,477,48.2,0,983,413,42.0,1,"1,973",890,45.1,1,,
Colchester,"1,337",512,38.3,2,"1,342",372,27.7,0,"2,680",883,32.9,2,,
Coventry,"2,173",892,41.0,6,"1,832",543,29.6,1,"4,005","1,435",35.8,7,,
Crawley,"1,955",888,45.4,10,"1,707",665,39.0,3,"3,662","1,553",42.4,13,,
