city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Burgess Hill,"1,880","1,036",55.1,18,"1,913",886,46.3,15,"3,793","1,919",50.6,33,,
Burton on Trent,899,447,49.7,2,967,420,43.4,7,"1,866",866,46.4,9,,
Bury St Edmunds,"1,085",575,53.0,6,"1,168",532,45.5,8,"2,253","1,106",49.1,14,,
Buxton,968,642,66.3,18,"1,127",632,56.1,15,"2,095","1,271",60.7,33,,
Callander,82,48,58.5,0,111,48,43.2,0,193,96,49.7,0,,
Camborne,799,456,57.1,7,891,452,50.7,14,"1,690",908,53.7,21,,
Cambridge (Chesterton Road),"1,227",650,53.0,11,"1,359",689,50.7,11,"2,586","1,337",51.7,22,,
Cambridge (Cowley Road),"1,444",754,52.2,10,"1,524",782,51.3,8,"2,968","1,536",51.8,18,,
Campbeltown,43,29,67.4,0,36,28,77.8,0,79,57,72.2,0,,
Cannock,"1,168",694,59.4,10,"1,130",606,53.6,6,"2,298","1,300",56.6,16,,
Canterbury,627,294,46.9,4,700,305,43.6,1,"1,327",599,45.1,5,,
Cardiff,"2,507","1,489",59.4,48,"2,572","1,277",49.7,26,"5,079","2,764",54.4,74,,
Cardigan,259,146,56.4,4,282,160,56.7,5,541,306,56.6,9,,
Carlisle,784,459,58.5,19,908,516,56.8,10,"1,692",975,57.6,29,,
Carmarthen,384,214,55.7,3,411,201,48.9,0,795,415,52.2,3,,
Castle Douglas,101,53,52.5,1,120,51,42.5,1,221,104,47.1,2,,
Cheetham Hill,"2,085",995,47.7,6,"1,914",738,38.6,5,"3,999","1,732",43.3,11,,
Chelmsford,"1,568",641,40.9,0,"1,653",582,35.2,4,"3,221","1,222",37.9,4,,
Cheltenham,"1,247",625,50.1,11,"1,358",586,43.2,1,"2,605","1,210",46.4,12,,
Chertsey,"2,177","1,128",51.8,33,"2,315","1,053",45.5,16,"4,492","2,179",48.5,49,,
Chester,"1,002",456,45.5,0,"1,135",451,39.7,3,"2,137",906,42.4,3,,
Chesterfield,798,382,47.9,4,767,323,42.1,5,"1,565",705,45.0,9,,
Chichester,994,562,56.5,2,"1,070",538,50.3,6,"2,064","1,098",53.2,8,,
Chingford,"2,622","1,206",46.0,11,"1,919",695,36.2,5,"4,541","1,899",41.8,16,,
Chippenham,"1,581",860,54.4,6,"1,825",893,48.9,9,"3,406","1,749",51.4,15,,
Chorley,926,515,55.6,6,821,434,52.9,7,"1,747",948,54.3,13,,
Clacton-on- Sea,985,503,51.1,3,"1,105",417,37.7,3,"2,090",919,44.0,6,,
Colchester,"1,277",522,40.9,10,"1,319",473,35.9,7,"2,596",995,38.3,17,,
Coventry,"1,554",615,39.6,2,"1,376",470,34.2,2,"2,930","1,083",37.0,4,,
Crawley,"1,533",705,46.0,7,"1,374",607,44.2,4,"2,907","1,312",45.1,11,,
Crewe,724,392,54.1,11,815,397,48.7,4,"1,539",787,51.1,15,,
Crieff,54,36,66.7,2,57,28,49.1,1,111,64,57.7,3,,
Croydon,"2,077",941,45.3,16,"1,665",603,36.2,3,"3,742","1,544",41.3,19,,
Cumnock,115,74,64.3,0,141,78,55.3,0,256,152,59.4,0,,
Darlington,998,490,49.1,6,"1,032",485,47.0,3,"2,030",975,48.0,9,,
Derby,"2,044","1,167",57.1,17,"2,182","1,043",47.8,4,"4,226","2,208",52.2,21,,
Doncaster,"1,597",810,50.7,4,"1,639",715,43.6,8,"3,236","1,525",47.1,12,,
Dorchester,"1,442",933,64.7,13,"1,512",869,57.5,16,"2,954","1,801",61.0,29,,
Dumbarton,394,185,47.0,0,406,198,48.8,5,800,383,47.9,5,,
Dumfries,400,210,52.5,3,432,194,44.9,5,832,403,48.4,8,,
Dundee,"1,042",555,53.3,21,"1,084",496,45.8,25,"2,126","1,051",49.4,46,,
Dunfermline,713,350,49.1,11,743,341,45.9,5,"1,456",690,47.4,16,,
Dunoon,45,30,66.7,0,55,37,67.3,0,100,67,67.0,0,,
Duns,55,26,47.3,1,59,37,62.7,0,114,63,55.3,1,,
Durham,"1,746","1,132",64.8,65,"1,971","1,126",57.1,58,"3,717","2,257",60.7,123,,
Eastbourne,"1,096",552,50.4,9,"1,165",520,44.6,2,"2,261","1,072",47.4,11,,
Edinburgh (Currie),"1,478",723,48.9,5,"1,476",600,40.7,7,"2,954","1,320",44.7,12,,
Edinburgh (Musselburgh),"1,805",917,50.8,11,"1,747",787,45.0,13,"3,552","1,702",47.9,24,,
Elgin,378,206,54.5,1,462,225,48.7,2,840,431,51.3,3,,
Elswick,954,419,43.9,5,858,310,36.1,1,"1,812",729,40.2,6,,
Enfield,"1,799",786,43.7,5,"2,034",767,37.7,3,"3,833","1,548",40.4,8,,
Erith,"1,351",594,44.0,4,"1,276",465,36.4,4,"2,627","1,058",40.3,8,,
Exeter,"1,452",777,53.5,4,"1,520",715,47.0,5,"2,972","1,491",50.2,9,,
Failsworth,"1,968",925,47.0,5,"1,884",722,38.3,2,"3,852","1,647",42.8,7,,
Falkirk,775,411,53.0,10,814,367,45.1,10,"1,589",775,48.8,20,,
Farnborough,"2,293","1,310",57.1,49,"2,532","1,335",52.7,70,"4,825","2,642",54.8,119,,
Folkestone,851,470,55.2,11,931,420,45.1,8,"1,782",890,49.9,19,,
Forfar,170,101,59.4,7,190,104,54.7,12,360,205,56.9,19,,
Fort William,87,62,71.3,0,97,66,68.0,0,184,128,69.6,0,,
Fraserburgh,135,86,63.7,2,165,79,47.9,0,300,165,55.0,2,,
Gairloch,13,9,69.2,0,14,11,78.6,0,27,20,74.1,0,,
Galashiels,207,120,58.0,2,217,130,59.9,1,424,250,59.0,3,,
Garston,"1,338",696,52.0,7,"1,329",599,45.1,2,"2,667","1,293",48.5,9,,
Gateshead,983,446,45.4,7,925,373,40.3,4,"1,908",818,42.9,11,,
Gillingham,"1,930",936,48.5,10,"1,956",812,41.5,6,"3,886","1,746",44.9,16,,
Girvan,39,28,71.8,0,42,13,31.0,0,81,41,50.6,0,,
Glasgow (Anniesland),"1,317",607,46.1,4,"1,323",542,41.0,8,"2,640","1,148",43.5,12,,
Glasgow (Baillieston),"1,206",578,47.9,3,"1,292",491,38.0,5,"2,498","1,067",42.7,8,,
Glasgow (Shieldhall),"1,350",523,38.7,6,"1,267",441,34.8,8,"2,617",963,36.8,14,,
Glasgow (Springburn Park),"1,392",613,44.0,2,"1,263",480,38.0,2,"2,655","1,091",41.1,4,,
Gloucester,"1,692",841,49.7,8,"1,690",822,48.6,18,"3,382","1,661",49.1,26,,
Golspie,27,17,63.0,0,32,15,46.9,0,59,32,54.2,0,,
Goodmayes,"3,814","1,487",39.0,30,"2,930",915,31.2,16,"6,744","2,395",35.5,46,,
Grantham,908,614,67.6,29,923,551,59.7,22,"1,831","1,165",63.6,51,,
Grantown-On-Spey,37,21,56.8,0,44,25,56.8,0,81,46,56.8,0,,
Greenford,"1,549",743,48.0,9,"1,415",492,34.8,2,"2,964","1,235",41.7,11,,
Greenock,445,244,54.8,1,537,272,50.7,2,982,515,52.4,3,,
Grimsby,911,432,47.4,4,951,375,39.4,6,"1,862",806,43.3,10,,
Guildford,"1,453",839,57.7,25,"1,599",875,54.7,37,"3,052","1,711",56.1,62,,
Haddington,292,185,63.4,4,294,169,57.5,0,586,354,60.4,4,,
Halifax,"1,044",565,54.1,5,"1,123",503,44.8,3,"2,167","1,067",49.2,8,,
Hamilton,"1,186",493,41.6,3,"1,221",392,32.1,0,"2,407",884,36.7,3,,
Hartlepool,"1,061",626,59.0,24,"1,114",523,46.9,9,"2,176","1,147",52.7,33,,
Hastings,723,339,46.9,6,736,304,41.3,2,"1,459",643,44.1,8,,
Hawick,73,44,60.3,0,88,53,60.2,0,161,97,60.2,0,,
Hayes,"1,560",679,43.5,16,"1,219",436,35.8,3,"2,779","1,112",40.0,19,,
Heckmondwike,"1,256",576,45.9,4,"1,291",478,37.0,2,"2,547","1,054",41.4,6,,
Hendon,"2,630","1,260",47.9,29,"2,635","1,072",40.7,18,"5,265","2,326",44.2,47,,
Hereford,671,356,53.1,3,814,406,49.9,5,"1,485",762,51.3,8,,
Herne Bay,"1,508",763,50.6,19,"1,508",643,42.6,17,"3,016","1,406",46.6,36,,
Hexham,258,154,59.7,1,324,144,44.4,0,582,298,51.2,1,,
Heysham,743,458,61.6,13,743,375,50.5,17,"1,486",833,56.1,30,,
High Wycombe,"1,462",801,54.8,13,"1,547",775,50.1,5,"3,009","1,572",52.2,18,,
Hinckley,887,528,59.5,19,867,430,49.6,6,"1,754",957,54.6,25,,
Hither Green,"2,499","1,026",41.1,28,"2,251",806,35.8,23,"4,750","1,829",38.5,51,,
Hornchurch,"2,259",973,43.1,14,"2,187",861,39.4,10,"4,446","1,829",41.1,24,,
Horsforth,"1,711",845,49.4,10,"1,860",809,43.5,4,"3,571","1,654",46.3,14,,
Huddersfield,"1,402",735,52.4,12,"1,494",619,41.4,10,"2,896","1,353",46.7,22,,
Hull,"2,124","1,085",51.1,38,"2,246",958,42.7,20,"4,370","2,041",46.7,58,,
Huntly,89,48,53.9,0,108,68,63.0,0,197,116,58.9,0,,
Hyde,"1,167",688,59.0,14,"1,219",624,51.2,9,"2,386","1,312",55.0,23,,
Inveraray,20,18,90.0,1,18,13,72.2,0,38,31,81.6,1,,
Inverness (Cradlehall Business Park),457,230,50.3,5,509,239,47.0,2,966,468,48.4,7,,
Inverurie,197,128,65.0,4,233,147,63.1,2,430,275,64.0,6,,
Ipswich,"1,829","1,082",59.2,21,"1,930",944,48.9,11,"3,759","2,024",53.8,32,,
Irvine,363,181,49.9,5,349,157,45.0,3,712,338,47.5,8,,
Islay Island,15,9,60.0,0,10,6,60.0,0,25,15,60.0,0,,
Isle of Mull,6,5,83.3,0,11,10,90.9,0,17,15,88.2,0,,
Isle of Skye (Broadford),18,12,66.7,0,16,6,37.5,0,34,18,52.9,0,,
Isle of Skye (Portree),39,22,56.4,0,40,26,65.0,1,79,48,60.8,1,,
Isleworth,"2,405","1,145",47.6,28,"2,233",903,40.4,12,"4,638","2,047",44.1,40,,
Kelso,85,59,69.4,1,121,77,63.6,0,206,135,65.5,1,,
Kendal,616,438,71.1,14,642,426,66.4,11,"1,258",864,68.7,25,,
Kettering,"1,707",870,51.0,47,"1,834",790,43.1,23,"3,541","1,658",46.8,70,,
Kings Lynn,"1,275",672,52.7,19,"1,336",607,45.4,18,"2,611","1,279",49.0,37,,
Kingussie,36,21,58.3,0,27,16,59.3,0,63,37,58.7,0,,
Kirkcaldy,988,501,50.7,24,963,432,44.9,11,"1,951",933,47.8,35,,
Knaresborough,"1,028",613,59.6,18,"1,101",549,49.9,7,"2,129","1,161",54.5,25,,
Kyle of Lochalsh,20,15,75.0,0,16,8,50.0,0,36,23,63.9,0,,
Lairg,19,13,68.4,1,13,5,38.5,0,32,18,56.3,1,,
Lampeter,241,150,62.2,7,244,135,55.3,2,485,285,58.8,9,,
Lanark,328,136,41.5,2,383,135,35.2,0,711,270,38.0,2,,
Launceston,529,304,57.5,2,558,292,52.3,2,"1,087",596,54.8,4,,
Lee On The Solent,"1,041",592,56.9,6,"1,082",507,46.9,8,"2,123","1,098",51.7,14,,
Leeds,"1,519",565,37.2,5,"1,394",413,29.6,4,"2,913",978,33.6,9,,
Leicester (Gipsy Lane),"2,059",979,47.5,12,"2,070",698,33.7,6,"4,129","1,675",40.6,18,,
Leicester (Wigston),"1,628",763,46.9,8,"1,784",676,37.9,6,"3,412","1,438",42.1,14,,
Leighton Buzzard,891,432,48.5,4,943,431,45.7,5,"1,834",863,47.1,9,,
Lerwick,143,104,72.7,3,152,100,65.8,4,295,204,69.2,7,,
Letchworth,"1,060",521,49.2,6,"1,152",443,38.5,2,"2,212",962,43.5,8,,
Lichfield,"1,515",830,54.8,8,"1,498",768,51.3,18,"3,013","1,597",53.0,26,,
Lincoln,"1,197",677,56.6,15,"1,461",752,51.5,9,"2,658","1,427",53.7,24,,
Llandrindod Wells,201,133,66.2,2,238,155,65.1,4,439,286,65.1,6,,
Llanelli,646,349,54.0,3,717,341,47.6,0,"1,363",690,50.6,3,,
Lochgilphead,55,33,60.0,0,54,44,81.5,2,109,77,70.6,2,,
Longbenton,"1,440",750,52.1,5,"1,381",603,43.7,1,"2,821","1,351",47.9,6,,
Loughborough,"1,016",544,53.5,2,"1,129",542,48.0,4,"2,145","1,086",50.6,6,,
Loughton,"1,242",574,46.2,4,"1,078",451,41.8,2,"2,320","1,024",44.1,6,,
Louth,191,124,64.9,5,177,99,55.9,0,368,222,60.3,5,,
Lower Gornal,"1,693",907,53.6,32,"1,799",835,46.4,29,"3,492","1,740",49.8,61,,
Lowestoft,969,483,49.8,6,"1,074",468,43.6,3,"2,043",950,46.5,9,,
Ludlow,411,220,53.5,6,522,246,47.1,4,933,466,49.9,10,,
Luton,"2,255",992,44.0,47,"1,955",728,37.2,38,"4,210","1,719",40.8,85,,
Macclesfield,742,371,50.0,11,808,411,50.9,13,"1,550",782,50.5,24,,
Maidstone,"1,525",877,57.5,44,"1,495",767,51.3,18,"3,020","1,643",54.4,62,,
Mallaig,7,5,71.4,0,9,4,44.4,0,16,9,56.3,0,,
Malton,253,155,61.3,6,313,173,55.3,4,566,328,58.0,10,,
Melton Mowbray,616,396,64.3,43,702,415,59.1,44,"1,318",811,61.5,87,,
Merthyr Tydfil,990,634,64.0,13,928,493,53.1,6,"1,918","1,126",58.7,19,,
Middlesbrough,"2,348","1,218",51.9,59,"2,327","1,106",47.5,38,"4,675","2,319",49.6,97,,
Mill Hill,"2,729","1,369",50.2,36,"2,299",903,39.3,11,"5,028","2,266",45.1,47,,
Monmouth,701,412,58.8,26,692,384,55.5,17,"1,393",795,57.1,43,,
Montrose,164,110,67.1,6,196,114,58.2,6,360,224,62.2,12,,
Morden,"2,784","1,369",49.2,22,"2,789","1,212",43.5,26,"5,573","2,577",46.2,48,,
Nelson,907,493,54.4,5,"1,093",501,45.8,4,"2,000",994,49.7,9,,
Newbury,"1,144",610,53.3,10,"1,156",582,50.3,13,"2,301","1,192",51.8,23,,
Newcastle-Under-Lyme,"1,082",513,47.4,5,"1,017",430,42.3,1,"2,099",943,44.9,6,,
Newport (Gwent),"1,297",676,52.1,13,"1,361",634,46.6,6,"2,658","1,309",49.2,19,,
Newport (Isle Of Wight),636,344,54.1,2,705,354,50.2,0,"1,341",698,52.1,2,,
Newton Abbot,"1,267",794,62.7,5,"1,434",839,58.5,5,"2,701","1,632",60.4,10,,
Newton Stewart,56,35,62.5,1,60,37,61.7,0,116,72,62.1,1,,
Newtown,261,168,64.4,3,302,183,60.6,4,563,350,62.2,7,,
Norris Green,"2,185","1,040",47.6,4,"2,001",850,42.5,0,"4,186","1,888",45.1,4,,
Northallerton,657,420,63.9,19,739,422,57.1,10,"1,396",840,60.2,29,,
Northampton,"1,737",936,53.9,15,"2,039",922,45.2,12,"3,776","1,856",49.2,27,,
Northwich,"1,105",665,60.2,13,"1,224",650,53.1,13,"2,329","1,314",56.4,26,,
Norwich,"2,811","1,652",58.8,47,"2,976","1,512",50.8,21,"5,787","3,161",54.6,68,,
Nottingham (Chalfont Drive),"2,117","1,150",54.3,39,"2,157",968,44.9,36,"4,274","2,114",49.5,75,,
Nottingham (Colwick),"1,817",987,54.3,17,"1,671",753,45.1,10,"3,488","1,738",49.8,27,,
Nuneaton,833,454,54.5,6,797,381,47.8,2,"1,630",835,51.2,8,,
Oban,97,56,57.7,1,101,52,51.5,1,198,108,54.5,2,,
Orkney,83,57,68.7,1,104,51,49.0,1,187,108,57.8,2,,
Oswestry,333,199,59.8,11,368,185,50.3,8,701,384,54.8,19,,
Oxford (Cowley),"2,120","1,122",52.9,20,"2,249","1,104",49.1,14,"4,369","2,225",50.9,34,,
Paisley,"1,174",404,34.4,1,"1,281",422,32.9,0,"2,455",826,33.6,1,,
Peebles,93,55,59.1,2,77,36,46.8,0,170,91,53.5,2,,
Pembroke Dock,480,273,56.9,8,518,276,53.3,8,998,549,55.0,16,,
Penzance,355,176,49.6,0,372,166,44.6,0,727,342,47.0,0,,
Perth,474,261,55.1,5,438,188,42.9,6,912,449,49.2,11,,
Peterborough,"2,051","1,038",50.6,15,"1,974",917,46.5,10,"4,025","1,954",48.5,25,,
Peterhead,310,192,61.9,17,283,147,51.9,2,593,339,57.2,19,,
Pinner,"2,666","1,387",52.0,36,"2,828","1,182",41.8,30,"5,494","2,565",46.7,66,,
Pitlochry,35,24,68.6,2,24,15,62.5,2,59,39,66.1,4,,
Plymouth,"1,649",730,44.3,5,"1,792",698,39.0,1,"3,441","1,425",41.4,6,,
Pontefract,"1,131",556,49.2,9,"1,254",496,39.6,2,"2,385","1,052",44.1,11,,
Pontypridd,"1,062",611,57.5,9,"1,121",572,51.0,10,"2,183","1,183",54.2,19,,
Portsmouth,"1,872",913,48.8,10,"2,009",860,42.8,9,"3,881","1,771",45.6,19,,
Preston,"1,942","1,049",54.0,38,"1,835",823,44.9,20,"3,777","1,868",49.5,58,,
Pwllheli,198,128,64.6,1,263,138,52.5,0,461,266,57.7,1,,
Reading,"2,529","1,265",50.0,32,"2,572","1,130",43.9,15,"5,101","2,393",46.9,47,,
Redditch,992,464,46.8,1,"1,115",490,43.9,1,"2,107",953,45.2,2,,
Reigate,"1,233",692,56.1,4,"1,341",647,48.2,3,"2,574","1,337",51.9,7,,
Rhyl,752,312,41.5,0,872,288,33.0,1,"1,624",600,36.9,1,,
Rochdale,"1,539",697,45.3,7,"1,577",530,33.6,1,"3,116","1,224",39.3,8,,
Rotherham,"1,274",649,50.9,6,"1,276",521,40.8,4,"2,550","1,170",45.9,10,,
Rothesay,28,21,75.0,0,28,20,71.4,0,56,41,73.2,0,,
Rugby,783,455,58.1,3,851,411,48.3,2,"1,634",866,53.0,5,,
Sale,"1,587",781,49.2,6,"1,580",714,45.2,3,"3,167","1,495",47.2,9,,
Salisbury,770,397,51.6,10,889,450,50.6,11,"1,659",847,51.1,21,,
Scarborough,475,256,53.9,6,444,197,44.4,6,919,453,49.3,12,,
Scunthorpe,"1,023",501,49.0,12,"1,050",409,39.0,1,"2,073",910,43.9,13,,
Sevenoaks,"1,024",563,55.0,6,"1,075",551,51.3,7,"2,099","1,114",53.1,13,,
Sheffield (Middlewood Road),"1,445",770,53.3,14,"1,446",665,46.0,3,"2,891","1,435",49.6,17,,
Sheffield (Parkway),"1,875",998,53.2,14,"1,838",824,44.8,14,"3,713","1,822",49.1,28,,
Shrewsbury,600,305,50.8,4,611,275,45.0,4,"1,211",580,47.9,8,,
Sidcup,"2,563","1,246",48.6,11,"2,212",898,40.6,4,"4,775","2,142",44.9,15,,
Skegness,325,202,62.2,12,326,192,58.9,3,651,394,60.5,15,,
Skipton,983,527,53.6,2,"1,091",474,43.4,3,"2,074",999,48.2,5,,
Slough,"2,123","1,066",50.2,20,"2,150",904,42.0,12,"4,273","1,967",46.0,32,,
South Norwood,"1,622",734,45.3,6,"1,727",613,35.5,0,"3,349","1,346",40.2,6,,
South Shields,939,506,53.9,20,937,397,42.4,11,"1,876",903,48.1,31,,
Southall,"2,293","1,084",47.3,32,"1,812",713,39.3,13,"4,105","1,796",43.8,45,,
Southampton (Forest Hills),"1,091",555,50.9,8,"1,275",558,43.8,4,"2,366","1,112",47.0,12,,
Southampton (Maybush),"1,695",937,55.3,3,"1,631",824,50.5,4,"3,326","1,761",52.9,7,,
Southport,"1,170",576,49.2,3,"1,333",624,46.8,7,"2,503","1,199",47.9,10,,
St Albans,"1,424",563,39.5,11,"1,483",563,38.0,9,"2,907","1,126",38.7,20,,
St Helens,"1,424",744,52.2,3,"1,469",669,45.5,4,"2,893","1,411",48.8,7,,
Stafford,630,355,56.3,2,710,344,48.5,2,"1,340",699,52.2,4,,
Stevenage,994,409,41.1,0,989,300,30.3,0,"1,983",709,35.8,0,,
Stirling,644,289,44.9,0,683,261,38.2,1,"1,327",550,41.4,1,,
Stoke On Trent,"1,218",554,45.5,6,"1,252",511,40.8,3,"2,470","1,065",43.1,9,,
Stornoway,106,54,50.9,0,122,60,49.2,0,228,114,50.0,0,,
Stranraer,77,57,74.0,2,106,69,65.1,1,183,125,68.3,3,,
Sunderland,"1,548",770,49.7,11,"1,532",657,42.9,5,"3,080","1,424",46.2,16,,
Sutton,"1,789",895,50.0,8,"1,871",803,42.9,6,"3,660","1,698",46.4,14,,
Swansea,"1,597",898,56.2,12,"1,670",831,49.8,4,"3,268","1,729",52.9,16,,
Swindon,"1,772",972,54.9,17,"1,783",849,47.6,9,"3,555","1,820",51.2,26,,
Taunton,"1,508",906,60.1,13,"1,701",908,53.4,10,"3,209","1,814",56.5,23,,
Telford,"1,117",595,53.3,6,"1,176",545,46.3,4,"2,293","1,140",49.7,10,,
Thurso,65,33,50.8,0,89,40,44.9,1,154,73,47.4,1,,
Tilbury,"1,330",554,41.7,3,"1,258",471,37.4,0,"2,588","1,025",39.6,3,,
Tolworth,"2,734","1,477",54.0,10,"2,484","1,165",46.9,6,"5,218","2,639",50.6,16,,
Trowbridge,94,53,56.4,0,120,56,46.7,0,214,109,50.9,0,,
Tunbridge Wells,"1,205",736,61.1,17,"1,271",714,56.2,13,"2,476","1,450",58.6,30,,
Ullapool,17,10,58.8,0,19,10,52.6,0,36,20,55.6,0,,
Upton,"1,134",553,48.8,2,"1,248",589,47.2,2,"2,382","1,142",47.9,4,,
Uxbridge,810,417,51.5,4,617,299,48.5,4,"1,427",716,50.2,8,,
Wakefield,"1,163",547,47.0,4,"1,268",445,35.1,2,"2,431",991,40.8,6,,
Wallasey,586,261,44.5,1,566,221,39.0,1,"1,152",482,41.8,2,,
Wanstead,"2,265",766,33.8,4,"2,276",662,29.1,4,"4,541","1,424",31.4,8,,
