city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Aberdeen North (Bridge of Don),936,471,50.3,5,939,408,43.5,6,"1,875",879,46.9,11,,
Aberdeen South (Cove),"1,211",679,56.1,19,"1,099",533,48.5,8,"2,310","1,212",52.5,27,,
Aberfeldy,24,10,41.7,0,10,6,60.0,0,34,16,47.1,0,,
Abergavenny,969,602,62.1,37,"1,034",551,53.3,23,"2,003","1,153",57.6,60,,
Aberystwyth,253,156,61.7,1,312,147,47.1,2,565,303,53.6,3,,
Airdrie,929,431,46.4,1,884,350,39.6,3,"1,813",780,43.0,4,,
Alness,235,147,62.6,0,245,122,49.8,0,480,269,56.0,0,,
Alnwick,241,161,66.8,5,230,122,53.0,1,471,283,60.1,6,,
Arbroath,175,103,58.9,7,213,130,61.0,13,388,232,59.8,20,,
Ashfield,"1,759","1,033",58.7,15,"1,919",922,48.0,5,"3,678","1,953",53.1,20,,
Ashford (Kent),669,374,55.9,12,730,378,51.8,9,"1,399",751,53.7,21,,
Ashford (Middlesex),"1,938",971,50.1,23,"1,821",807,44.3,12,"3,759","1,773",47.2,35,,
Atherton,"1,226",676,55.1,12,"1,435",679,47.3,5,"2,661","1,353",50.8,17,,
Aylesbury,"1,001",493,49.3,5,967,438,45.3,10,"1,968",929,47.2,15,,
Ayr,551,284,51.5,5,538,259,48.1,1,"1,089",543,49.9,6,,
Bala,176,91,51.7,2,200,85,42.5,1,376,176,46.8,3,,
Ballachulish,12,9,75.0,0,7,3,42.9,0,19,12,63.2,0,,
Ballater,51,38,74.5,3,65,46,70.8,7,116,84,72.4,10,,
Banbury,"1,309",673,51.4,12,"1,354",670,49.5,17,"2,663","1,341",50.4,29,,
Banff,91,53,58.2,0,89,58,65.2,0,180,111,61.7,0,,
Bangor,924,487,52.7,5,981,458,46.7,4,"1,905",944,49.6,9,,
Barking,"1,957",674,34.4,11,"1,634",499,30.5,12,"3,591","1,172",32.6,23,,
Barnet,"2,489",947,38.0,5,"1,806",590,32.7,3,"4,295","1,534",35.7,8,,
Barnsley,"1,018",440,43.2,6,"1,096",403,36.8,2,"2,114",842,39.8,8,,
Barnstaple,695,403,58.0,1,759,331,43.6,1,"1,454",734,50.5,2,,
Barrow In Furness,506,330,65.2,15,542,322,59.4,5,"1,048",652,62.2,20,,
Barry,73,40,54.8,1,133,69,51.9,0,206,109,52.9,1,,
Basildon,"2,098",840,40.0,1,"2,166",776,35.8,0,"4,264","1,613",37.8,1,,
Basingstoke,"1,070",539,50.4,4,"1,157",537,46.4,3,"2,227","1,076",48.3,7,,
Bathgate,"1,098",558,50.8,13,"1,115",502,45.0,5,"2,213","1,060",47.9,18,,
Bedford,"1,568",748,47.7,9,"1,487",599,40.3,3,"3,055","1,345",44.0,12,,
Belvedere,"1,566",588,37.5,4,"1,580",509,32.2,3,"3,146","1,096",34.8,7,,
Benbecula Island,22,12,54.5,0,20,13,65.0,0,42,25,59.5,0,,
Berwick-On-Tweed,135,97,71.9,3,154,82,53.2,3,289,179,61.9,6,,
Birmingham (Garretts Green),"1,643",749,45.6,5,"1,679",633,37.7,2,"3,322","1,381",41.6,7,,
Birmingham (Kings Heath),"1,547",695,44.9,6,"1,569",586,37.3,5,"3,116","1,279",41.0,11,,
Birmingham (Kingstanding),"2,080",875,42.1,29,"1,900",638,33.6,8,"3,980","1,511",38.0,37,,
Birmingham (Shirley),"1,198",624,52.1,11,"1,276",580,45.5,5,"2,474","1,203",48.6,16,,
Birmingham (South Yardley),"1,589",702,44.2,5,"1,417",444,31.3,2,"3,006","1,146",38.1,7,,
Birmingham (Sutton Coldfield),"1,224",632,51.6,10,"1,286",529,41.1,8,"2,510","1,160",46.2,18,,
Bishops Stortford,"1,537",742,48.3,9,"1,628",641,39.4,8,"3,165","1,382",43.7,17,,
Blackburn with Darwen,"1,546",819,53.0,15,"1,534",650,42.4,2,"3,080","1,469",47.7,17,,
Blackpool,"1,456",767,52.7,20,"1,494",649,43.4,12,"2,950","1,415",48.0,32,,
Bletchley,"1,891",974,51.5,10,"2,149",979,45.6,9,"4,040","1,951",48.3,19,,
Blyth,"1,133",689,60.8,23,"1,273",647,50.8,14,"2,406","1,333",55.4,37,,
Bodmin,875,472,53.9,7,961,468,48.7,4,"1,836",940,51.2,11,,
Bolton,"2,104","1,170",55.6,16,"2,222","1,131",50.9,8,"4,326","2,297",53.1,24,,
Borehamwood,"2,210","1,065",48.2,13,"1,833",797,43.5,5,"4,043","1,858",46.0,18,,
Boston,849,573,67.5,33,894,520,58.2,22,"1,743","1,092",62.7,55,,
Bournemouth,"2,361","1,303",55.2,17,"2,604","1,298",49.8,18,"4,965","2,598",52.3,35,,
Bradford (Heaton),"1,343",526,39.2,1,"1,379",362,26.3,0,"2,722",888,32.6,1,,
Bradford (Thornbury),"1,103",446,40.4,3,973,330,33.9,2,"2,076",776,37.4,5,,
Brecon,217,144,66.4,2,266,162,60.9,2,483,306,63.4,4,,
Bredbury,"1,193",593,49.7,7,"1,245",590,47.4,5,"2,438","1,181",48.4,12,,
Brentwood,"1,059",394,37.2,0,791,252,31.9,1,"1,850",646,34.9,1,,
Bridgend,"1,054",580,55.0,3,"1,122",578,51.5,2,"2,176","1,158",53.2,5,,
Bridlington,432,265,61.3,13,488,223,45.7,6,920,488,53.0,19,,
Bristol (Brislington),"1,566",922,58.9,47,"1,454",753,51.8,26,"3,020","1,675",55.5,73,,
Bristol (Kingswood),"1,167",576,49.4,1,"1,174",513,43.7,7,"2,341","1,087",46.4,8,,
Bristol (Southmead),"2,383","1,246",52.3,20,"2,382","1,182",49.6,19,"4,765","2,424",50.9,39,,
Brodick (Isle of Arran),22,17,77.3,2,14,7,50.0,1,36,24,66.7,3,,
Buckie,71,38,53.5,0,71,36,50.7,0,142,74,52.1,0,,
