city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,,,,,,,,,,,,,,,,,,,
Oswestry,435,233,53.6,11,441,228,51.7,16,876,461,52.6,27,,,,,,,,,,,,,,,,,,,,
Oxford (Cowley),2245,970,43.2,44,2213,827,37.4,23,4458,1797,40.3,67,,,,,,,,,,,,,,,,,,,,
Paisley,1408,679,48.2,11,1360,651,47.9,6,2768,1330,48.0,17,,,,,,,,,,,,,,,,,,,,
Peebles,126,85,67.5,2,149,100,67.1,1,275,185,67.3,3,,,,,,,,,,,,,,,,,,,,
Pembroke Dock,554,299,54.0,11,505,247,48.9,15,1059,546,51.6,26,,,,,,,,,,,,,,,,,,,,
Penzance,151,73,48.3,2,195,96,49.2,2,346,169,48.8,4,,,,,,,,,,,,,,,,,,,,
Perth (Arran Road),824,404,49.0,15,716,263,36.7,3,1540,667,43.3,18,,,,,,,,,,,,,,,,,,,,
Peterborough,2782,1355,48.7,60,2120,967,45.6,41,4902,2322,47.4,101,,,,,,,,,,,,,,,,,,,,
Peterhead,385,225,58.4,26,323,195,60.4,18,708,420,59.3,44,,,,,,,,,,,,,,,,,,,,
Pinner (London),4049,2253,55.6,116,3343,1500,44.9,56,7392,3753,50.8,172,,,,,,,,,,,,,,,,,,,,
Pitlochry,34,24,70.6,1,33,20,60.6,1,67,44,65.7,2,,,,,,,,,,,,,,,,,,,,
Plymouth,1828,708,38.7,26,1682,603,35.9,14,3510,1311,37.4,40,,,,,,,,,,,,,,,,,,,,
Plymouth LGV,..,..,4.0,0,..,..,11.1,0,..,..,5.9,0,,,,,,,,,,,,,,,,,,,,
Pontefract,1310,564,43.1,3,1170,425,36.3,3,2480,989,39.9,6,,,,,,,,,,,,,,,,,,,,
Poole,3038,1483,48.8,53,2753,1270,46.1,42,5791,2753,47.5,95,,,,,,,,,,,,,,,,,,,,
Portsmouth,3207,1581,49.3,76,2340,1186,50.7,53,5547,2767,49.9,129,,,,,,,,,,,,,,,,,,,,
Preston,3431,1962,57.2,189,2482,1380,55.6,100,5913,3342,56.5,289,,,,,,,,,,,,,,,,,,,,
Pwllheli,224,107,47.8,4,255,151,59.2,7,479,258,53.9,11,,,,,,,,,,,,,,,,,,,,
Reading,1738,852,49.0,17,1636,739,45.2,15,3374,1591,47.2,32,,,,,,,,,,,,,,,,,,,,
Redditch,1530,644,42.1,13,1211,547,45.2,15,2741,1191,43.5,28,,,,,,,,,,,,,,,,,,,,
Redhill Aerodrome,1527,712,46.6,24,1332,624,46.8,43,2859,1336,46.7,67,,,,,,,,,,,,,,,,,,,,
Rhyl,1051,539,51.3,32,1044,470,45.0,20,2095,1009,48.2,52,,,,,,,,,,,,,,,,,,,,
Rochdale (Manchester),1616,630,39.0,6,1282,396,30.9,1,2898,1026,35.4,7,,,,,,,,,,,,,,,,,,,,
