city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,,,,,,,,,,,,,,,,,,,
St Helens (Liverpool),2213,822,37.1,10,1587,591,37.2,7,3800,1413,37.2,17,,,,,,,,,,,,,,,,,,,,
Stafford,819,388,47.4,16,789,351,44.5,8,1608,739,46.0,24,,,,,,,,,,,,,,,,,,,,
Steeton,1354,691,51.0,18,974,439,45.1,13,2328,1130,48.5,31,,,,,,,,,,,,,,,,,,,,
Stevenage,1053,455,43.2,10,954,394,41.3,7,2007,849,42.3,17,,,,,,,,,,,,,,,,,,,,
Stirling,783,375,47.9,25,775,346,44.6,18,1558,721,46.3,43,,,,,,,,,,,,,,,,,,,,
Stoke-On-Trent (Cobridge),1052,437,41.5,8,989,354,35.8,4,2041,791,38.8,12,,,,,,,,,,,,,,,,,,,,
Stoke-on-Trent (Newcastle-Under-Lyme),1487,627,42.2,12,1310,514,39.2,14,2797,1141,40.8,26,,,,,,,,,,,,,,,,,,,,
Stornoway,99,57,57.6,5,100,54,54.0,4,199,111,55.8,9,,,,,,,,,,,,,,,,,,,,
Stranraer,74,42,56.8,2,86,53,61.6,1,160,95,59.4,3,,,,,,,,,,,,,,,,,,,,
Sunderland,2607,1230,47.2,101,2293,1031,45.0,72,4900,2261,46.1,173,,,,,,,,,,,,,,,,,,,,
Swansea,2879,1589,55.2,57,2229,1152,51.7,47,5108,2741,53.7,104,,,,,,,,,,,,,,,,,,,,
Swindon,2295,1122,48.9,67,1912,851,44.5,57,4207,1973,46.9,124,,,,,,,,,,,,,,,,,,,,
Swindon LGV,201,27,13.4,0,92,19,20.7,0,293,46,15.7,0,,,,,,,,,,,,,,,,,,,,
Taunton,1700,944,55.5,57,1529,815,53.3,44,3229,1759,54.5,101,,,,,,,,,,,,,,,,,,,,
Telford,1243,509,40.9,14,1169,491,42.0,12,2412,1000,41.5,26,,,,,,,,,,,,,,,,,,,,
Thurso,58,30,51.7,5,62,40,64.5,2,120,70,58.3,7,,,,,,,,,,,,,,,,,,,,
Tilbury,1080,539,49.9,14,913,457,50.1,8,1993,996,50.0,22,,,,,,,,,,,,,,,,,,,,
Tolworth (London),3227,1729,53.6,48,2652,1298,48.9,35,5879,3027,51.5,83,,,,,,,,,,,,,,,,,,,,
Tottenham,2580,1270,49.2,38,1628,728,44.7,10,4208,1998,47.5,48,,,,,,,,,,,,,,,,,,,,
Trowbridge,733,380,51.8,18,778,351,45.1,19,1511,731,48.4,37,,,,,,,,,,,,,,,,,,,,
Tunbridge Wells,1198,699,58.3,59,1126,643,57.1,53,2324,1342,57.7,112,,,,,,,,,,,,,,,,,,,,
Ullapool,25,18,72.0,3,23,16,69.6,1,48,34,70.8,4,,,,,,,,,,,,,,,,,,,,
Upton,2500,1203,48.1,30,1904,901,47.3,32,4404,2104,47.8,62,,,,,,,,,,,,,,,,,,,,
Uxbridge (London),2139,954,44.6,29,1271,523,41.1,15,3410,1477,43.3,44,,,,,,,,,,,,,,,,,,,,
Wakefield,2149,1063,49.5,65,1861,820,44.1,40,4010,1883,47.0,105,,,,,,,,,,,,,,,,,,,,
Wallasey,409,187,45.7,1,375,148,39.5,2,784,335,42.7,3,,,,,,,,,,,,,,,,,,,,
Walton LGV,555,336,60.5,15,549,340,61.9,15,1104,676,61.2,30,,,,,,,,,,,,,,,,,,,,
Wanstead (London),2475,989,40.0,36,1460,506,34.7,16,3935,1495,38.0,52,,,,,,,,,,,,,,,,,,,,
Warrington,1589,899,56.6,50,1502,772,51.4,47,3091,1671,54.1,97,,,,,,,,,,,,,,,,,,,,
Warwick (Wedgenock House),2842,1346,47.4,30,2153,929,43.1,17,4995,2275,45.5,47,,,,,,,,,,,,,,,,,,,,
Watford,3207,1582,49.3,74,2125,1033,48.6,40,5332,2615,49.0,114,,,,,,,,,,,,,,,,,,,,
Watnall,873,460,52.7,10,765,422,55.2,10,1638,882,53.8,20,,,,,,,,,,,,,,,,,,,,
Wednesbury,2036,775,38.1,13,1559,463,29.7,8,3595,1238,34.4,21,,,,,,,,,,,,,,,,,,,,
Wellingborough,312,176,56.4,9,362,199,55.0,12,674,375,55.6,21,,,,,,,,,,,,,,,,,,,,
West Didsbury (Manchester),4906,2678,54.6,153,3766,1871,49.7,111,8672,4549,52.5,264,,,,,,,,,,,,,,,,,,,,
West Wickham (London),2738,1356,49.5,43,2349,1153,49.1,46,5087,2509,49.3,89,,,,,,,,,,,,,,,,,,,,
Weston-super-Mare,1759,996,56.6,76,1398,770,55.1,76,3157,1766,55.9,152,,,,,,,,,,,,,,,,,,,,
Whitby,121,80,66.1,6,128,64,50.0,1,249,144,57.8,7,,,,,,,,,,,,,,,,,,,,
Wick,78,51,65.4,2,71,42,59.2,4,149,93,62.4,6,,,,,,,,,,,,,,,,,,,,
Widnes,1213,535,44.1,11,1165,426,36.6,8,2378,961,40.4,19,,,,,,,,,,,,,,,,,,,,
Winchester,1636,793,48.5,50,1506,718,47.7,38,3142,1511,48.1,88,,,,,,,,,,,,,,,,,,,,
Wolverhampton,3537,1166,33.0,51,2146,623,29.0,21,5683,1789,31.5,72,,,,,,,,,,,,,,,,,,,,
Wood Green (London),3316,1504,45.4,51,2280,841,36.9,27,5596,2345,41.9,78,,,,,,,,,,,,,,,,,,,,
Worcester,2731,1362,49.9,27,2318,1128,48.7,25,5049,2490,49.3,52,,,,,,,,,,,,,,,,,,,,
Workington,815,451,55.3,19,744,400,53.8,13,1559,851,54.6,32,,,,,,,,,,,,,,,,,,,,
Worksop,1717,999,58.2,70,1356,770,56.8,37,3073,1769,57.6,107,,,,,,,,,,,,,,,,,,,,
Wrexham,1206,540,44.8,8,979,459,46.9,5,2185,999,45.7,13,,,,,,,,,,,,,,,,,,,,
Yeading (London),1849,775,41.9,36,793,311,39.2,16,2642,1086,41.1,52,,,,,,,,,,,,,,,,,,,,
Yeovil,1933,1151,59.5,39,1707,968,56.7,26,3640,2119,58.2,65,,,,,,,,,,,,,,,,,,,,
York,1880,967,51.4,69,1890,955,50.5,47,3770,1922,51.0,116,,,,,,,,,,,,,,,,,,,,
ZBirmingham (Wyndley),308,132,42.9,8,299,109,36.5,4,607,241,39.7,12,,,,,,,,,,,,,,,,,,,,
National Totals,493215,242929,49.3,11881,402760,187868,46.6,8692,895978,430799,48.1,20573,,,,,,,,,,,,,,,,,,,,
