city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Birmingham (Garretts Green),"1,668",793,47.5,4,"1,628",587,36.1,0,"3,296","1,377",41.8,4,,
Birmingham (Kings Heath),"1,342",613,45.7,11,"1,261",450,35.7,3,"2,603","1,062",40.8,14,,
Birmingham (Kingstanding),"1,924",803,41.7,23,"1,703",544,31.9,9,"3,627","1,345",37.1,32,,
Birmingham (Shirley),"1,020",515,50.5,4,999,431,43.1,6,"2,019",946,46.9,10,,
Birmingham (South Yardley),"1,656",717,43.3,9,"1,363",437,32.1,3,"3,019","1,154",38.2,12,,
Birmingham (Sutton Coldfield),"1,257",607,48.3,7,"1,263",470,37.2,3,"2,520","1,077",42.7,10,,
Bishops Stortford,"1,362",628,46.1,8,"1,467",587,40.0,10,"2,829","1,214",42.9,18,,
Blackburn with Darwen,"1,447",760,52.5,7,"1,445",619,42.8,10,"2,892","1,379",47.7,17,,
Blackpool,"1,324",692,52.3,23,"1,423",663,46.6,22,"2,747","1,354",49.3,45,,
Bletchley,"1,776",925,52.1,17,"1,830",864,47.2,7,"3,606","1,789",49.6,24,,
Blyth,"1,123",685,61.0,25,"1,205",587,48.7,14,"2,328","1,271",54.6,39,,
Bodmin,790,465,58.9,6,866,430,49.7,7,"1,656",892,53.9,13,,
Bolton,"1,652",882,53.4,17,"1,586",792,49.9,8,"3,238","1,673",51.7,25,,
Borehamwood,"1,700",873,51.4,11,"1,459",666,45.6,4,"3,159","1,537",48.7,15,,
Boston,683,404,59.2,21,853,449,52.6,20,"1,536",852,55.5,41,,
Bournemouth,"2,181","1,232",56.5,28,"2,449","1,233",50.3,16,"4,630","2,463",53.2,44,,
Bradford (Heaton),"1,397",642,46.0,7,"1,270",363,28.6,0,"2,667","1,004",37.6,7,,
Bradford (Thornbury),906,398,43.9,3,837,282,33.7,1,"1,743",680,39.0,4,,
Brecon,201,137,68.2,2,248,136,54.8,2,449,273,60.8,4,,
Bredbury,"1,069",564,52.8,3,"1,161",543,46.8,1,"2,231","1,105",49.5,4,,
Brentwood,810,332,41.0,4,655,224,34.2,2,"1,465",556,38.0,6,,
Bridgend,954,563,59.0,11,961,460,47.9,2,"1,915","1,023",53.4,13,,
Bridlington,433,284,65.6,19,457,252,55.1,20,890,535,60.1,39,,
Bristol (Brislington),"1,371",777,56.7,45,"1,453",729,50.2,33,"2,824","1,504",53.3,78,,
Bristol (Kingswood),"1,228",590,48.0,11,"1,224",547,44.7,2,"2,452","1,137",46.4,13,,
Bristol (Southmead),"2,182","1,148",52.6,32,"2,359","1,160",49.2,29,"4,541","2,305",50.8,61,,
Brodick (Isle of Arran),18,15,83.3,1,13,6,46.2,0,31,21,67.7,1,,
Buckie,72,40,55.6,0,74,34,45.9,0,146,74,50.7,0,,
Burgess Hill,"1,837","1,023",55.7,26,"1,929",932,48.3,24,"3,766","1,954",51.9,50,,
Burton on Trent,927,447,48.2,10,898,390,43.4,12,"1,825",837,45.9,22,,
Bury,903,425,47.1,0,933,359,38.5,0,"1,836",783,42.6,0,,
Bury St Edmunds,"1,154",597,51.7,14,"1,114",516,46.3,8,"2,268","1,110",48.9,22,,
Buxton,900,575,63.9,12,"1,004",581,57.9,4,"1,904","1,156",60.7,16,,
Callander,139,81,58.3,0,104,40,38.5,1,243,120,49.4,1,,
Camborne,800,427,53.4,12,924,481,52.1,7,"1,724",907,52.6,19,,
Cambridge (Chesterton Road),"1,066",613,57.5,5,"1,047",531,50.7,5,"2,113","1,143",54.1,10,,
Cambridge (Cowley Road),"1,464",785,53.6,8,"1,590",780,49.1,5,"3,054","1,565",51.2,13,,
Campbeltown,44,33,75.0,1,35,21,60.0,1,79,54,68.4,2,,
Cannock,"1,048",596,56.9,14,"1,064",523,49.2,9,"2,112","1,118",52.9,23,,
Canterbury,681,340,49.9,2,680,259,38.1,2,"1,362",598,43.9,4,,
Cardiff (Llanishen),522,259,49.6,8,420,178,42.4,0,942,437,46.4,8,,
Cardigan,225,140,62.2,4,247,122,49.4,6,472,262,55.5,10,,
Cardington,606,332,54.8,5,606,273,45.0,5,"1,212",605,49.9,10,,
Carlisle,704,401,57.0,8,781,412,52.8,12,"1,485",812,54.7,20,,
Carmarthen,280,158,56.4,3,334,152,45.5,1,614,310,50.5,4,,
Castle Douglas,96,50,52.1,2,100,51,51.0,1,196,100,51.0,3,,
Cheetham Hill,"1,911",885,46.3,5,"1,599",601,37.6,0,"3,510","1,485",42.3,5,,
Chelmsford,"1,346",525,39.0,2,"1,465",496,33.9,0,"2,811","1,021",36.3,2,,
Cheltenham,"1,176",531,45.2,3,"1,407",590,41.9,5,"2,583","1,120",43.4,8,,
Chertsey,"1,757",896,51.0,27,"1,870",890,47.6,24,"3,627","1,784",49.2,51,,
Chester,905,432,47.7,1,"1,020",395,38.7,2,"1,925",826,42.9,3,,
Chesterfield,701,346,49.4,10,725,312,43.0,8,"1,426",658,46.1,18,,
Chichester,881,459,52.1,6,940,433,46.1,4,"1,821",890,48.9,10,,
Chingford,"2,507","1,098",43.8,15,"1,961",693,35.3,8,"4,468","1,788",40.0,23,,
Chippenham,"1,246",651,52.2,7,"1,275",606,47.5,8,"2,521","1,253",49.7,15,,
Chorley,898,533,59.4,3,836,458,54.8,7,"1,734",991,57.2,10,,
Clacton-on-Sea,"1,030",500,48.5,4,"1,048",393,37.5,4,"2,078",891,42.9,8,,
Colchester,"1,090",473,43.4,9,"1,094",401,36.7,6,"2,184",874,40.0,15,,
Coventry,"1,372",610,44.5,1,"1,311",458,34.9,0,"2,683","1,067",39.8,1,,
Crawley,"1,352",657,48.6,2,"1,356",626,46.2,2,"2,708","1,283",47.4,4,,
Crewe,711,362,50.9,18,750,346,46.1,12,"1,461",708,48.5,30,,
Crieff,63,37,58.7,0,57,26,45.6,0,120,63,52.5,0,,
Croydon,"2,022",874,43.2,15,"1,716",635,37.0,5,"3,738","1,508",40.3,20,,
Cumnock,215,139,64.7,4,247,134,54.3,1,462,272,58.9,5,,
Darlington,877,404,46.1,8,850,370,43.5,4,"1,727",772,44.7,12,,
Derby,"1,866","1,071",57.4,15,"1,957",870,44.5,10,"3,823","1,940",50.7,25,,
Doncaster,"1,469",760,51.7,4,"1,456",694,47.7,4,"2,925","1,453",49.7,8,,
Dorchester,"1,267",844,66.6,21,"1,334",798,59.8,17,"2,601","1,642",63.1,38,,
Dumbarton,354,164,46.3,1,368,153,41.6,1,722,317,43.9,2,,
Dumfries,388,203,52.3,4,411,206,50.1,6,799,409,51.2,10,,
Dundee,990,508,51.3,26,"1,047",486,46.4,16,"2,037",993,48.7,42,,
Dunfermline,586,247,42.2,5,650,260,40.0,3,"1,236",507,41.0,8,,
Dunoon,55,37,67.3,0,63,38,60.3,1,118,75,63.6,1,,
Duns,42,24,57.1,0,58,28,48.3,0,100,52,52.0,0,,
Durham,"1,420",841,59.2,50,"1,591",873,54.9,39,"3,011","1,712",56.9,89,,
Eastbourne,"1,036",539,52.0,6,"1,153",505,43.8,3,"2,189","1,042",47.6,9,,
Edinburgh (Currie),"1,328",580,43.7,11,"1,307",509,38.9,2,"2,635","1,087",41.3,13,,
Edinburgh (Musselburgh),"1,659",845,50.9,13,"1,727",790,45.7,12,"3,386","1,635",48.3,25,,
Elgin,318,177,55.7,0,387,186,48.1,0,705,363,51.5,0,,
Elswick,876,367,41.9,11,775,274,35.4,2,"1,651",641,38.8,13,,
Enfield,"2,020",859,42.5,4,"2,031",743,36.6,0,"4,051","1,598",39.4,4,,
Erith,"1,282",560,43.7,10,"1,185",418,35.3,6,"2,467",977,39.6,16,,
Exeter,"1,276",712,55.8,9,"1,423",711,50.0,9,"2,699","1,422",52.7,18,,
Failsworth,"1,621",730,45.0,4,"1,750",631,36.1,0,"3,371","1,361",40.4,4,,
Farnborough,"2,116","1,140",53.9,59,"2,322","1,045",45.0,33,"4,438","2,185",49.2,92,,
Folkestone,791,392,49.6,11,797,347,43.5,3,"1,588",738,46.5,14,,
Forfar,140,92,65.7,3,156,80,51.3,6,296,172,58.1,9,,
Fort William,97,57,58.8,1,88,47,53.4,1,185,104,56.2,2,,
Fraserburgh,130,76,58.5,0,146,86,58.9,3,276,162,58.7,3,,
Gairloch,8,6,75.0,0,6,4,66.7,0,14,10,71.4,0,,
Galashiels,227,141,62.1,0,177,113,63.8,0,404,254,62.9,0,,
Garston,"1,236",627,50.7,3,"1,217",553,45.4,6,"2,453","1,178",48.0,9,,
Gateshead,754,341,45.2,5,745,282,37.9,2,"1,500",622,41.5,7,,
Gillingham,"1,712",827,48.3,18,"1,811",763,42.1,6,"3,523","1,589",45.1,24,,
Girvan,50,31,62.0,0,61,31,50.8,0,111,62,55.9,0,,
Glasgow (Anniesland),"1,283",599,46.7,7,"1,341",561,41.8,5,"2,624","1,158",44.1,12,,
Glasgow (Baillieston),"1,192",574,48.2,1,"1,307",536,41.0,2,"2,499","1,110",44.4,3,,
Glasgow (Shieldhall),"1,228",478,38.9,9,"1,263",477,37.8,5,"2,491",953,38.3,14,,
Glasgow (Springburn Park),"1,315",552,42.0,6,"1,193",441,37.0,4,"2,508",991,39.5,10,,
Gloucester,"1,570",775,49.4,13,"1,578",747,47.3,13,"3,148","1,522",48.3,26,,
Golspie,28,16,57.1,0,20,11,55.0,0,48,27,56.3,0,,
Goodmayes,"4,098","1,696",41.4,45,"3,185",959,30.1,24,"7,283","2,652",36.4,69,,
Grangemouth,275,128,46.5,2,287,124,43.2,5,562,252,44.8,7,,
Grantham,827,588,71.1,19,873,522,59.8,31,"1,700","1,110",65.3,50,,
Grantown-On-Spey,29,11,37.9,0,39,23,59.0,0,68,34,50.0,0,,
Greenford,"1,561",752,48.2,5,"1,406",503,35.8,4,"2,967","1,252",42.2,9,,
Greenock,459,226,49.2,2,515,224,43.5,0,974,450,46.2,2,,
Grimsby,832,370,44.5,9,918,363,39.5,6,"1,750",732,41.8,15,,
Guildford,"1,546",836,54.1,20,"1,686",868,51.5,27,"3,232","1,703",52.7,47,,
Haddington,286,167,58.4,4,324,184,56.8,3,610,351,57.5,7,,
Halifax,945,531,56.2,1,"1,006",420,41.7,0,"1,951",951,48.7,1,,
Hamilton,"1,028",442,43.0,2,"1,082",366,33.8,1,"2,110",808,38.3,3,,
Hartlepool,918,481,52.4,20,977,452,46.3,9,"1,895",933,49.2,29,,
Hastings,618,307,49.7,2,710,285,40.1,4,"1,328",592,44.6,6,,
Hawick,85,57,67.1,0,90,51,56.7,0,175,108,61.7,0,,
Hayes,"1,295",570,44.0,8,"1,021",354,34.7,5,"2,316",920,39.7,13,,
Heckmondwike,"1,079",510,47.3,1,"1,185",445,37.6,2,"2,264",954,42.1,3,,
Hendon,"2,766","1,403",50.7,23,"2,804","1,205",43.0,23,"5,570","2,604",46.8,46,,
Hereford,622,349,56.1,4,731,355,48.6,2,"1,353",703,52.0,6,,
Herne Bay,"1,242",637,51.3,11,"1,435",645,44.9,10,"2,677","1,281",47.9,21,,
Hexham,275,141,51.3,2,284,140,49.3,0,559,281,50.3,2,,
Heysham,690,396,57.4,31,802,435,54.2,21,"1,492",831,55.7,52,,
High Wycombe,"1,265",722,57.1,9,"1,353",702,51.9,6,"2,618","1,423",54.4,15,,
Hinckley,633,393,62.1,15,670,357,53.3,11,"1,303",750,57.6,26,,
Hither Green,"2,633","1,157",43.9,39,"2,319",856,36.9,19,"4,952","2,010",40.6,58,,
Hornchurch,"2,057",931,45.3,16,"1,994",811,40.7,11,"4,051","1,742",43.0,27,,
Horsforth,"1,610",834,51.8,10,"1,785",750,42.0,6,"3,396","1,580",46.5,16,,
Huddersfield,"1,226",643,52.4,8,"1,216",544,44.7,11,"2,442","1,186",48.6,19,,
Hull,"1,909","1,025",53.7,38,"2,019",890,44.1,12,"3,928","1,913",48.7,50,,
Huntly,79,47,59.5,0,89,39,43.8,0,168,86,51.2,0,,
Hyde,"1,046",647,61.9,13,"1,099",616,56.1,7,"2,145","1,261",58.8,20,,
Inveraray,17,16,94.1,1,24,12,50.0,0,41,28,68.3,1,,
Inverness (Cradlehall Business Park),504,262,52.0,0,474,214,45.1,2,978,476,48.7,2,,
Inverurie,194,128,66.0,6,215,129,60.0,2,409,257,62.8,8,,
Ipswich,"1,718","1,010",58.8,27,"1,900",954,50.2,21,"3,618","1,960",54.2,48,,
Irvine,821,401,48.8,11,900,405,45.0,7,"1,721",806,46.8,18,,
Islay Island,17,12,70.6,0,18,11,61.1,1,35,23,65.7,1,,
Isle of Mull,12,8,66.7,1,10,8,80.0,0,22,16,72.7,1,,
Isle of Skye (Broadford),14,7,50.0,0,14,8,57.1,0,28,15,53.6,0,,
Isle of Skye (Portree),38,26,68.4,0,33,25,75.8,0,71,51,71.8,0,,
Isleworth,"2,540","1,248",49.1,15,"2,466","1,002",40.6,16,"5,006","2,247",44.9,31,,
Kelso,94,70,74.5,0,120,79,65.8,1,214,149,69.6,1,,
Kendal,562,392,69.8,18,557,361,64.8,7,"1,119",753,67.3,25,,
Kettering,"1,519",823,54.2,30,"1,680",753,44.8,22,"3,199","1,575",49.2,52,,
Kings Lynn,"1,124",629,56.0,9,"1,243",594,47.8,13,"2,367","1,223",51.7,22,,
Kingussie,30,12,40.0,0,27,12,44.4,0,57,24,42.1,0,,
Kirkcaldy,801,433,54.1,13,924,445,48.2,15,"1,725",878,50.9,28,,
Knaresborough,986,529,53.7,11,985,466,47.3,7,"1,971",995,50.5,18,,
Kyle of Lochalsh,16,11,68.8,0,9,6,66.7,0,25,17,68.0,0,,
Lairg,21,14,66.7,1,14,6,42.9,0,35,20,57.1,1,,
Lampeter,221,145,65.6,4,248,156,62.9,3,469,300,64.0,7,,
Lanark,291,144,49.5,0,354,157,44.4,0,645,301,46.7,0,,
Launceston,548,321,58.6,0,569,332,58.3,0,"1,117",653,58.5,0,,
Lee On The Solent,"1,004",560,55.8,18,959,498,51.9,16,"1,963","1,056",53.8,34,,
Leeds,"1,272",492,38.7,5,"1,285",436,33.9,1,"2,557",927,36.3,6,,
Leicester (Gipsy Lane),"1,772",770,43.5,14,"1,755",534,30.4,3,"3,527","1,303",36.9,17,,
Leicester (Wigston),"1,660",781,47.0,20,"1,726",634,36.7,5,"3,386","1,414",41.8,25,,
Leighton Buzzard,930,518,55.7,7,848,373,44.0,5,"1,778",891,50.1,12,,
Lerwick,122,76,62.3,8,121,70,57.9,5,243,146,60.1,13,,
Letchworth,988,487,49.3,2,"1,024",403,39.4,2,"2,012",888,44.1,4,,
Lichfield,"1,273",742,58.3,25,"1,350",678,50.2,21,"2,623","1,418",54.1,46,,
Lincoln,"1,158",647,55.9,21,"1,267",627,49.5,8,"2,425","1,273",52.5,29,,
Llandrindod Wells,185,112,60.5,3,183,123,67.2,2,368,235,63.9,5,,
Llanelli,570,300,52.6,0,714,348,48.7,0,"1,284",648,50.5,0,,
Lochgilphead,48,32,66.7,0,57,40,70.2,1,105,72,68.6,1,,
Longbenton,"1,123",556,49.5,4,"1,182",500,42.3,7,"2,305","1,055",45.8,11,,
Loughborough,906,494,54.5,3,913,424,46.4,2,"1,819",916,50.4,5,,
Loughton,"1,182",573,48.5,4,"1,004",465,46.3,4,"2,186","1,037",47.4,8,,
Louth,173,107,61.8,3,210,104,49.5,2,383,211,55.1,5,,
Lower Gornal,"1,664",931,55.9,58,"1,716",840,49.0,53,"3,380","1,770",52.4,111,,
Lowestoft,930,464,49.9,4,998,446,44.7,3,"1,928",909,47.1,7,,
Ludlow,446,223,50.0,3,482,230,47.7,6,928,453,48.8,9,,
Luton,"2,002",886,44.3,38,"1,865",659,35.3,33,"3,867","1,543",39.9,71,,
Macclesfield,762,430,56.4,8,716,357,49.9,12,"1,478",785,53.1,20,,
Maidstone,"1,342",773,57.6,44,"1,350",650,48.1,24,"2,692","1,422",52.8,68,,
Mallaig,11,9,81.8,0,13,4,30.8,0,24,13,54.2,0,,
Malton,255,170,66.7,11,226,146,64.6,4,481,316,65.7,15,,
Melton Mowbray,556,371,66.7,29,606,384,63.4,25,"1,162",755,65.0,54,,
Merthyr Tydfil,831,473,56.9,4,847,433,51.1,4,"1,678",906,54.0,8,,
Middlesbrough,"2,053","1,121",54.6,54,"2,195","1,055",48.1,40,"4,248","2,173",51.2,94,,
Middleton,50,18,36.0,0,36,14,38.9,0,86,32,37.2,0,,
Mill Hill,"2,147","1,037",48.3,28,"1,761",707,40.1,12,"3,908","1,742",44.6,40,,
Mitcham,"1,397",774,55.4,29,"1,168",532,45.5,2,"2,565","1,304",50.8,31,,
Monmouth,659,427,64.8,28,597,370,62.0,20,"1,256",796,63.4,48,,
Montrose,142,82,57.7,3,167,87,52.1,5,309,169,54.7,8,,
Morden,"2,489","1,226",49.3,7,"2,607","1,115",42.8,21,"5,096","2,340",45.9,28,,
Nelson,911,514,56.4,3,943,443,47.0,3,"1,854",955,51.5,6,,
Newbury,"1,188",638,53.7,15,"1,027",507,49.4,5,"2,215","1,143",51.6,20,,
Newport (Gwent),"1,267",660,52.1,23,"1,316",623,47.3,14,"2,583","1,283",49.7,37,,
Newport (Isle Of Wight),559,300,53.7,1,670,333,49.7,1,"1,229",633,51.5,2,,
Newton Abbot,"1,301",795,61.1,5,"1,446",799,55.3,2,"2,747","1,594",58.0,7,,
Newton Stewart,55,37,67.3,1,66,42,63.6,1,121,79,65.3,2,,
Newtown,283,180,63.6,6,329,203,61.7,15,612,383,62.6,21,,
Norris Green,"2,031",905,44.6,3,"1,899",812,42.8,4,"3,930","1,717",43.7,7,,
Northallerton,616,367,59.6,11,733,364,49.7,4,"1,349",730,54.1,15,,
Northampton,"1,668",922,55.3,10,"1,826",775,42.4,12,"3,494","1,695",48.5,22,,
Northwich,841,520,61.8,12,892,485,54.4,9,"1,733","1,005",58.0,21,,
Norwich,"2,639","1,502",56.9,37,"2,913","1,385",47.5,22,"5,552","2,885",52.0,59,,
Nottingham (Beeston),44,26,59.1,1,47,28,59.6,3,91,54,59.3,4,,
Nottingham (Clarendon Street),13,6,46.2,0,7,4,57.1,0,20,10,50.0,0,,
Nottingham (Clifton),17,6,35.3,0,14,2,14.3,0,31,8,25.8,0,,
Nottingham (Colwick),"1,825",918,50.3,9,"1,700",699,41.1,3,"3,525","1,616",45.8,12,,
Nuneaton,808,444,55.0,4,843,426,50.5,17,"1,651",870,52.7,21,,
Oban,92,44,47.8,0,94,47,50.0,1,186,91,48.9,1,,
Orkney,87,52,59.8,1,108,65,60.2,0,195,117,60.0,1,,
Oswestry,337,193,57.3,3,414,216,52.2,3,751,407,54.2,6,,
Oxford (Cowley),"1,975","1,016",51.4,8,"2,131",987,46.3,16,"4,106","2,002",48.8,24,,
Paisley,998,430,43.1,0,"1,181",433,36.7,1,"2,179",863,39.6,1,,
Peebles,104,63,60.6,0,105,59,56.2,2,209,122,58.4,2,,
Pembroke Dock,434,261,60.1,2,453,238,52.5,2,887,499,56.3,4,,
Penzance,344,176,51.2,0,369,162,43.9,2,713,338,47.4,2,,
Perth,408,211,51.7,9,393,157,39.9,2,801,368,45.9,11,,
Peterborough,"2,021","1,069",52.9,37,"1,934",945,48.9,19,"3,955","2,013",50.9,56,,
Peterhead,284,190,66.9,7,276,140,50.7,2,560,330,58.9,9,,
Pinner,"2,753","1,390",50.5,37,"2,848","1,101",38.7,19,"5,601","2,488",44.4,56,,
Pitlochry,28,17,60.7,1,32,21,65.6,1,60,38,63.3,2,,
Plymouth,"1,540",685,44.5,11,"1,598",635,39.7,5,"3,138","1,319",42.0,16,,
Pontefract,"1,042",525,50.4,13,"1,090",472,43.3,1,"2,132",996,46.7,14,,
Pontypridd,"1,018",567,55.7,12,"1,046",533,51.0,6,"2,064","1,099",53.2,18,,
Portsmouth,"1,814",861,47.5,6,"1,790",732,40.9,4,"3,604","1,592",44.2,10,,
Preston,"1,586",850,53.6,32,"1,557",704,45.2,23,"3,143","1,553",49.4,55,,
Pwllheli,171,106,62.0,0,229,122,53.3,1,400,228,57.0,1,,
Reading,"2,465","1,210",49.1,31,"2,592","1,178",45.4,22,"5,057","2,386",47.2,53,,
Redditch,880,366,41.6,4,898,327,36.4,2,"1,778",693,39.0,6,,
Reigate,"1,320",758,57.4,5,"1,187",630,53.1,2,"2,507","1,385",55.2,7,,
Rhyl,662,258,39.0,0,679,233,34.3,1,"1,341",490,36.5,1,,
Rochdale,"1,129",491,43.5,6,"1,144",378,33.0,3,"2,273",869,38.2,9,,
Rotherham,"1,100",544,49.5,14,"1,120",448,40.0,2,"2,220",992,44.7,16,,
Rothesay,32,24,75.0,0,43,24,55.8,0,75,48,64.0,0,,
Rugby,739,405,54.8,1,771,355,46.0,1,"1,510",760,50.3,2,,
Sale,"1,547",787,50.9,9,"1,575",695,44.1,4,"3,122","1,479",47.4,13,,
Salisbury,706,422,59.8,18,815,405,49.7,3,"1,521",826,54.3,21,,
Scarborough,407,256,62.9,10,381,199,52.2,6,788,455,57.7,16,,
Scunthorpe,884,423,47.9,5,951,360,37.9,2,"1,835",779,42.5,7,,
Sevenoaks,"1,041",575,55.2,12,"1,081",518,47.9,8,"2,122","1,093",51.5,20,,
Sheffield (Middlewood Road),"1,273",696,54.7,13,"1,289",591,45.8,8,"2,562","1,286",50.2,21,,
Shrewsbury,589,331,56.2,6,562,268,47.7,5,"1,151",599,52.0,11,,
Sidcup,"2,536","1,251",49.3,16,"1,975",846,42.8,8,"4,511","2,095",46.4,24,,
Skegness,300,193,64.3,13,286,161,56.3,4,586,354,60.4,17,,
Skipton,951,519,54.6,1,970,453,46.7,1,"1,921",970,50.5,2,,
Slough,"2,194","1,213",55.3,45,"2,054",965,47.0,30,"4,248","2,170",51.1,75,,
South Shields,806,428,53.1,22,896,398,44.4,15,"1,702",826,48.5,37,,
Southall,"2,086",941,45.1,23,"1,538",574,37.3,9,"3,624","1,512",41.7,32,,
Southampton (Forest Hills),"1,086",558,51.4,10,"1,125",496,44.1,2,"2,211","1,052",47.6,12,,
Southampton (Maybush),"1,454",745,51.2,7,"1,570",752,47.9,2,"3,024","1,496",49.5,9,,
Southend-on-Sea,432,171,39.6,0,666,270,40.5,0,"1,098",440,40.1,0,,
Southport,"1,077",531,49.3,4,"1,209",560,46.3,5,"2,286","1,090",47.7,9,,
St Albans,"1,236",557,45.1,13,"1,360",556,40.9,11,"2,596","1,113",42.9,24,,
St Helens,"1,141",644,56.4,8,"1,245",589,47.3,2,"2,386","1,231",51.6,10,,
Stafford,664,387,58.3,2,662,365,55.1,4,"1,326",752,56.7,6,,
Stevenage,836,335,40.1,0,840,257,30.6,0,"1,676",592,35.3,0,,
Stirling,691,307,44.4,1,631,225,35.7,0,"1,322",532,40.2,1,,
Stoke-On-Trent(Cobridge),"1,009",484,48.0,5,"1,094",416,38.0,0,"2,103",900,42.8,5,,
Stoke-on-Trent(Newcastle-Under-Lyme),"1,079",530,49.1,8,"1,048",465,44.4,3,"2,127",994,46.7,11,,
Stornoway,93,50,53.8,1,100,43,43.0,0,193,93,48.2,1,,
Stranraer,63,44,69.8,0,96,63,65.6,0,159,107,67.3,0,,
Sunderland,"1,402",702,50.1,8,"1,321",543,41.1,3,"2,723","1,244",45.7,11,,
Sutton,"1,748",863,49.4,5,"1,822",815,44.7,3,"3,570","1,677",47.0,8,,
Swansea,"1,518",804,53.0,5,"1,484",720,48.5,4,"3,002","1,524",50.8,9,,
Swindon,"1,668",937,56.2,28,"1,763",891,50.5,29,"3,431","1,827",53.2,57,,
Taunton,"1,468",894,60.9,38,"1,566",879,56.1,29,"3,034","1,770",58.3,67,,
Telford,969,515,53.1,8,"1,036",502,48.5,4,"2,005","1,017",50.7,12,,
Thurso,65,44,67.7,2,85,42,49.4,1,150,85,56.7,3,,
Tilbury,"1,320",568,43.0,1,"1,180",449,38.1,1,"2,500","1,016",40.6,2,,
Tolworth,"1,839","1,033",56.2,7,"1,839",911,49.5,5,"3,678","1,942",52.8,12,,
Trowbridge,347,187,53.9,3,404,206,51.0,1,751,393,52.3,4,,
Tunbridge Wells,"1,176",768,65.3,34,"1,175",645,54.9,16,"2,351","1,413",60.1,50,,
Ullapool,22,12,54.5,0,29,15,51.7,0,51,27,52.9,0,,
Upton,"1,033",484,46.9,2,"1,184",557,47.0,3,"2,217","1,040",46.9,5,,
Uxbridge,"1,072",559,52.1,20,862,402,46.6,6,"1,934",961,49.7,26,,
Wakefield,995,464,46.6,6,"1,128",393,34.8,6,"2,123",857,40.4,12,,
Wallasey,487,239,49.1,0,491,197,40.1,0,978,436,44.6,0,,
Wanstead,"2,081",698,33.5,1,"1,934",578,29.9,2,"4,015","1,273",31.7,3,,
Warrington,840,479,57.0,7,938,433,46.2,4,"1,778",912,51.3,11,,
