city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Aberdeen North (Bridge of Don),870,456,52.4,10,920,405,44.0,7,"1,790",861,48.1,17,,
Aberdeen South (Cove),939,518,55.2,10,999,460,46.0,7,"1,938",977,50.4,17,,
Aberfeldy,22,11,50.0,0,25,16,64.0,0,47,27,57.4,0,,
Abergavenny,915,571,62.4,37,949,527,55.5,22,"1,864","1,097",58.9,59,,
Aberystwyth,241,139,57.7,1,290,144,49.7,0,531,283,53.3,1,,
Airdrie,885,396,44.7,4,867,347,40.0,2,"1,752",742,42.4,6,,
Alness,200,108,54.0,1,215,100,46.5,0,415,208,50.1,1,,
Alnwick,189,122,64.6,5,215,118,54.9,3,404,240,59.4,8,,
Arbroath,189,116,61.4,6,205,112,54.6,20,394,228,57.9,26,,
Ashfield,"1,587",959,60.4,10,"1,874",968,51.7,9,"3,461","1,926",55.6,19,,
Ashford (Kent),712,394,55.3,6,710,370,52.1,3,"1,422",764,53.7,9,,
Ashford (Middlesex),"1,882","1,085",57.7,35,"1,707",861,50.4,23,"3,589","1,941",54.1,58,,
Atherton,"1,093",606,55.4,17,"1,154",530,45.9,3,"2,247","1,133",50.4,20,,
Aylesbury,907,479,52.8,14,892,403,45.2,12,"1,799",881,49.0,26,,
Ayr,502,271,54.0,3,547,252,46.1,3,"1,049",523,49.9,6,,
Bala,107,53,49.5,0,150,56,37.3,0,257,109,42.4,0,,
Ballachulish,11,9,81.8,0,13,5,38.5,0,24,14,58.3,0,,
Ballater,38,29,76.3,2,45,29,64.4,1,83,58,69.9,3,,
Banbury,"1,127",550,48.8,6,"1,204",617,51.2,9,"2,331","1,163",49.9,15,,
Banff,85,52,61.2,0,79,48,60.8,1,164,100,61.0,1,,
Bangor,850,447,52.6,7,960,467,48.6,1,"1,810",913,50.4,8,,
Barking,"1,604",578,36.0,13,"1,425",385,27.0,6,"3,029",963,31.8,19,,
Barnet,"2,032",815,40.1,6,"1,518",485,31.9,4,"3,550","1,300",36.6,10,,
Barnsley,935,471,50.4,7,"1,058",455,43.0,8,"1,993",925,46.4,15,,
Barnstaple,655,390,59.5,4,697,363,52.1,2,"1,352",751,55.5,6,,
Barrow In Furness,466,321,68.9,19,507,323,63.7,13,973,644,66.2,32,,
Barry,339,214,63.1,6,403,190,47.1,4,742,404,54.4,10,,
Basildon,"1,660",734,44.2,3,"1,675",649,38.7,3,"3,335","1,383",41.5,6,,
Basingstoke,"1,031",538,52.2,4,963,437,45.4,4,"1,994",974,48.8,8,,
Bathgate,910,456,50.1,11,"1,006",435,43.2,8,"1,916",890,46.5,19,,
Belvedere,"1,356",478,35.3,1,"1,338",367,27.4,3,"2,694",845,31.4,4,,
Benbecula Island,16,6,37.5,0,34,18,52.9,0,50,24,48.0,0,,
Berwick-On-Tweed,127,82,64.6,0,154,86,55.8,3,281,168,59.8,3,,
