city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault
Basildon,1091,577,52.9,23,1147,562,49.0,28,2238,1139,50.9,51
Basingstoke,1358,833,61.3,54,1252,715,57.1,60,2610,1548,59.3,114
Bedford,1375,766,55.7,63,1218,592,48.6,37,2594,1358,52.4,100
Belvedere (London),1127,352,31.2,1,903,236,26.1,1,2030,588,29.0,2
Benbecula Island,30,20,66.7,1,32,23,71.9,1,62,43,69.4,2
Berwick-On-Tweed,128,79,61.7,4,117,65,55.6,4,245,144,58.8,8
Beverley LGV,19,11,57.9,1,12,9,75.0,0,31,20,64.5,1
Birmingham (Garretts Green),2772,1228,44.3,21,2299,805,35.0,20,5072,2034,40.1,42
Birmingham (Kings Heath),1398,586,41.9,4,1410,506,35.9,3,2808,1092,38.9,7
Birmingham (Kingstanding),2638,1006,38.1,30,2261,658,29.1,20,4899,1664,34.0,50
Birmingham (Shirley),1154,625,54.2,13,993,458,46.1,10,2148,1083,50.4,23
Birmingham (South Yardley),2091,847,40.5,13,1621,445,27.5,2,3713,1292,34.8,15
Birmingham (Sutton Coldfield),1913,770,40.3,12,1330,393,29.5,6,3243,1163,35.9,18
Birmingham (Wyndley),1184,573,48.4,18,983,423,43.0,8,2167,996,46.0,26
Bishopbriggs,896,503,56.1,15,1064,523,49.2,9,1960,1026,52.3,24
Bishops Stortford,1384,689,49.8,31,1372,648,47.2,30,2756,1337,48.5,61
Blackburn with Darwen,1425,684,48.0,28,1446,622,43.0,19,2871,1306,45.5,47
Blackpool,1936,974,50.3,34,1730,792,45.8,17,3667,1766,48.2,51
Bletchley,2156,1003,46.5,29,2051,891,43.4,21,4207,1894,45.0,50
Blyth,1378,834,60.5,37,1405,830,59.1,56,2783,1664,59.8,93
Bodmin,1181,454,38.4,13,1111,376,33.8,10,2292,830,36.2,23
Bolton (Manchester),2969,1804,60.8,119,2671,1438,53.8,119,5641,3242,57.5,238
Borehamwood (London),1268,687,54.2,26,962,498,51.8,17,2230,1185,53.1,43
Boston,1112,669,60.2,29,974,580,59.5,30,2086,1249,59.9,59
Bradford (Heaton),1552,928,59.8,6,1588,706,44.5,1,3140,1634,52.0,7
Bradford (Thornbury),1937,1027,53.0,30,1329,596,44.8,12,3268,1623,49.7,42
Brecon,475,325,68.4,29,649,356,54.9,24,1124,681,60.6,53
Bredbury (Manchester),1125,618,54.9,15,953,495,51.9,11,2078,1113,53.6,26
Brentwood (London),956,503,52.6,15,848,429,50.6,11,1804,932,51.7,26
Bridgend,1511,891,59.0,28,1403,770,54.9,22,2914,1661,57.0,50
Bridlington,563,381,67.7,24,522,271,51.9,13,1085,652,60.1,37
Bristol (Avonmouth),2157,1289,59.8,82,2040,1120,54.9,43,4198,2410,57.4,125
Bristol (Jubilee House),104,35,33.7,0,79,30,38.0,0,183,65,35.5,0
Bristol (Kingswood),3170,1777,56.1,129,2917,1537,52.7,89,6088,3315,54.5,218
Brodick (Isle of Arran),31,20,64.5,1,18,11,61.1,1,49,31,63.3,2
Bromley (London),1962,1034,52.7,80,1826,826,45.2,47,3789,1861,49.1,127
Buckie,66,40,60.6,6,90,49,54.4,3,156,89,57.1,9
Burgess Hill,1674,796,47.6,36,1565,673,43.0,21,3239,1469,45.4,57
Burton on Trent,1618,838,51.8,19,1484,673,45.4,12,3103,1511,48.7,31
Bury (Manchester),1158,457,39.5,1,1114,387,34.7,0,2272,844,37.1,1
Bury St Edmunds,1615,586,36.3,14,1489,572,38.4,14,3104,1158,37.3,28
Buxton,1032,476,46.1,6,1057,468,44.3,11,2089,944,45.2,17
Callander,17,7,41.2,2,29,17,58.6,0,46,24,52.2,2
Camborne,1261,620,49.2,33,1193,512,42.9,21,2454,1132,46.1,54
Cambridge (Brookmount Court),2556,1234,48.3,15,2386,1104,46.3,14,4942,2338,47.3,29
Campbeltown,36,26,72.2,1,40,30,75.0,3,76,56,73.7,4
Canterbury,988,519,52.5,25,866,414,47.8,22,1854,933,50.3,47
Cardiff (Llanishen),3135,1926,61.4,99,2883,1569,54.4,88,6023,3497,58.1,187
Cardigan,383,185,48.3,3,368,189,51.4,3,752,375,49.9,6
Carlisle,1218,730,59.9,40,1071,623,58.2,36,2292,1354,59.1,76
Carlisle LGV (Cars),75,34,45.3,0,36,21,58.3,1,111,55,49.5,1
Carmarthen,717,430,60.0,5,585,297,50.8,6,1302,727,55.8,11
Castle Douglas,101,55,54.5,0,174,82,47.1,1,275,137,49.8,1
Chadderton,2273,1183,52.0,29,1994,850,42.6,16,4267,2033,47.6,45
Cheetham Hill (Manchester),2539,1290,50.8,14,2116,917,43.3,8,4656,2208,47.4,22
Chelmsford (Hanbury Road),2408,1325,55.0,68,2213,1086,49.1,52,4622,2412,52.2,120
Cheltenham,1458,745,51.1,28,1519,703,46.3,11,2980,1449,48.6,39
Chertsey (London),1561,846,54.2,74,1425,755,53.0,75,2986,1601,53.6,149
Chester,1759,786,44.7,26,1761,702,39.9,13,3521,1488,42.3,39
Chesterfield,1044,516,49.4,48,943,429,45.5,35,1987,945,47.6,83
Chichester,1132,762,67.3,98,1174,771,65.7,76,2306,1533,66.5,174
Chingford (London),3459,1493,43.2,45,2394,816,34.1,17,5855,2310,39.5,62
Chippenham,1561,707,45.3,42,1455,644,44.3,53,3016,1351,44.8,95
Chorley,1168,695,59.5,14,1110,622,56.0,11,2278,1317,57.8,25
Clacton-on-Sea,859,454,52.9,6,863,430,49.8,13,1722,884,51.3,19
Colchester,2124,987,46.5,40,1890,822,43.5,39,4016,1809,45.0,79
Coventry,1477,694,47.0,8,1302,506,38.9,0,2779,1200,43.2,8
Crawley,1836,737,40.1,22,1691,630,37.3,21,3527,1367,38.8,43
Crewe,986,345,35.0,4,916,336,36.7,4,1903,681,35.8,8
Crieff,51,37,72.5,4,59,45,76.3,0,110,82,74.5,4
Croydon (London),1205,495,41.1,17,800,259,32.4,10,2006,754,37.6,27
Cumnock,198,123,62.1,2,300,179,59.7,8,498,302,60.6,10
Darlington,982,595,60.6,37,864,435,50.3,17,1846,1030,55.8,54
Derby (Alvaston),2880,1590,55.2,88,2423,1155,47.7,49,5305,2746,51.8,137
Doncaster,1853,839,45.3,35,1798,709,39.4,24,3651,1548,42.4,59
Dorchester,1817,1202,66.2,66,1787,1142,63.9,49,3604,2344,65.0,115
Dudley,2794,1208,43.2,17,2638,985,37.3,15,5432,2193,40.4,32
Dumbarton,485,240,49.5,1,472,200,42.4,0,958,441,46.0,1
Dumfries,444,232,52.3,9,441,234,53.1,6,885,466,52.7,15
Dundee,1348,840,62.3,66,1271,724,57.0,41,2623,1566,59.7,108
Dunfermline (Vine),698,374,53.6,40,702,345,49.1,29,1400,719,51.4,69
Dunoon,70,42,60.0,0,82,50,61.0,0,152,92,60.5,0
Duns,33,26,78.8,0,38,26,68.4,1,71,52,73.2,1
Durham,1776,1143,64.4,59,1921,1154,60.1,50,3698,2298,62.1,109
East Kilbride,697,302,43.3,3,826,377,45.6,10,1523,679,44.6,13
Eastbourne,1788,1006,56.3,14,1640,835,50.9,16,3429,1841,53.7,30
Edinburgh (Currie),1807,1011,55.9,71,1649,938,56.9,58,3460,1950,56.4,129
Edinburgh (Musselburgh),1612,786,48.8,25,1504,721,47.9,16,3117,1507,48.3,41
Elgin,589,250,42.4,10,550,242,44.0,18,1142,493,43.2,29
Elswick,744,335,45.0,17,758,290,38.3,11,1502,625,41.6,28
Enfield (Innova Business Park),2394,1203,50.3,39,2186,910,41.6,26,4580,2113,46.1,65
Erith (London),1183,337,28.5,9,1069,252,23.6,5,2252,589,26.2,14
Exeter,1828,841,46.0,14,1723,726,42.1,14,3551,1567,44.1,28
Farnborough,2632,1578,60.0,119,2449,1335,54.5,110,5081,2913,57.3,229
Featherstone,1723,643,37.3,18,1617,595,36.8,30,3340,1238,37.1,48
Folkestone,1391,635,45.7,12,1184,535,45.2,14,2576,1170,45.4,26
Forfar,142,98,69.0,3,159,115,72.3,3,301,213,70.8,6
Fort William,114,60,52.6,2,105,72,68.6,1,219,132,60.3,3
Fraserburgh,56,47,83.9,4,71,45,63.4,8,127,92,72.4,12
Gairloch,9,9,100.0,1,15,11,73.3,2,24,20,83.3,3
Galashiels,268,184,68.7,5,274,180,65.7,6,542,364,67.2,11
Gateshead,894,429,48.0,2,817,312,38.2,4,1711,741,43.3,6
Gillingham,2275,1383,60.8,54,2376,1385,58.3,73,4651,2768,59.5,127
Girvan,45,22,48.9,0,72,43,59.7,1,118,65,55.1,1
Glasgow (Anniesland),1743,808,46.4,25,1555,633,40.7,25,3304,1442,43.6,50
Glasgow (Baillieston),1397,680,48.7,10,1446,678,46.9,3,2845,1359,47.8,13
Glasgow (Shieldhall),1374,522,38.0,9,1230,514,41.8,5,2606,1037,39.8,14
Gloucester,1301,660,50.7,17,1351,689,51.0,15,2652,1349,50.9,32
Golspie,34,28,82.4,4,40,26,65.0,1,74,54,73.0,5
Goodmayes (London),6611,2943,44.5,179,5824,1935,33.2,80,12436,4879,39.2,259
Gosforth,1281,664,51.8,31,1255,561,44.7,25,2539,1227,48.3,56
Grangemouth,880,478,54.3,29,1023,523,51.1,33,1903,1001,52.6,62
Grantham (Somerby),1563,888,56.8,54,1343,696,51.8,41,2906,1584,54.5,95
Grantown-On-Spey,37,18,48.6,0,32,20,62.5,0,69,38,55.1,0
Greenford (Horsenden Lane),1942,801,41.2,16,1441,493,34.2,3,3385,1294,38.2,19
Greenock,603,271,44.9,6,513,241,47.0,6,1117,512,45.8,12
Grimsby Coldwater,991,406,41.0,3,1005,376,37.4,6,1996,782,39.2,9
Guildford,1358,569,41.9,22,1283,527,41.1,23,2641,1096,41.5,45
Haddington,354,228,64.4,11,393,215,54.7,5,747,443,59.3,16
Halifax,974,468,48.0,10,971,398,41.0,7,1945,866,44.5,17
Hamilton,805,404,50.2,6,905,469,51.8,21,1710,873,51.1,27
Hartlepool,1209,767,63.4,64,1278,678,53.1,34,2487,1445,58.1,98
Hastings (Ore),794,377,47.5,3,794,372,46.9,3,1588,749,47.2,6
Hawick,116,82,70.7,2,99,75,75.8,2,215,157,73.0,4
Heckmondwike,1778,884,49.7,6,1735,698,40.2,5,3514,1582,45.0,11
Hendon (London),3202,1535,47.9,48,2777,1112,40.0,18,5980,2648,44.3,66
Hereford,898,587,65.4,42,889,509,57.3,28,1787,1096,61.3,70
Herne Bay,1753,894,51.0,39,1707,803,47.0,35,3460,1697,49.0,74
Hexham,277,187,67.5,9,346,212,61.3,6,623,399,64.0,15
Heysham,703,408,58.0,25,736,363,49.3,15,1440,771,53.5,40
High Wycombe,889,436,49.0,17,860,361,42.0,22,1749,797,45.6,39
Hinckley,845,418,49.5,13,727,343,47.2,9,1572,761,48.4,22
Hither Green (London),2715,1484,54.7,92,2361,1052,44.6,51,5077,2537,50.0,144
Hornchurch (London),1872,1001,53.5,41,1852,897,48.4,37,3724,1898,51.0,78
Horsforth,2155,1184,54.9,39,2187,1044,47.7,30,4343,2228,51.3,69
Huddersfield,1936,971,50.2,9,1782,771,43.3,9,3719,1742,46.8,18
Hull,2261,1284,56.8,68,2327,1140,49.0,52,4588,2424,52.8,120
Huntly,67,40,59.7,3,94,56,59.6,8,161,96,59.6,11
Inveraray,25,20,80.0,1,28,23,82.1,0,54,43,79.6,1
Inverness (Seafield Road),592,294,49.7,9,597,272,45.6,13,1190,566,47.6,22
Inverurie,178,112,62.9,9,233,142,60.9,5,411,254,61.8,14
Ipswich,2113,1268,60.0,98,2111,1179,55.9,75,4224,2447,57.9,173
Irvine,1127,593,52.6,21,1216,621,51.1,24,2343,1214,51.8,45
Islay Island,15,12,80.0,3,17,10,58.8,0,32,22,68.8,3
Isle of Mull,..,..,42.9,0,..,..,100.0,0,12,8,66.7,0
Isle of Skye (Portree),48,36,75.0,3,51,35,68.6,4,100,71,71.0,7
Isle of Tiree,..,..,100.0,0,..,..,100.0,0,..,..,100.0,0
Isleworth (Fleming Way),3834,1944,50.7,43,3210,1477,46.0,24,7045,3421,48.6,67
Kelso,78,57,73.1,0,93,61,65.6,2,171,118,69.0,2
Kendal (Oxenholme Road),653,426,65.2,28,614,371,60.4,28,1267,797,62.9,56
Kettering,2090,898,43.0,27,1893,698,36.9,26,3984,1596,40.1,53
Kings Lynn,1564,928,59.3,22,1536,751,48.9,12,3100,1679,54.2,34
Kingussie,21,14,66.7,3,24,10,41.7,1,45,24,53.3,4
Kirkcaldy,1481,752,50.8,50,1321,618,46.8,54,2804,1370,48.9,104
Knaresborough,1406,825,58.7,23,1268,677,53.4,16,2675,1502,56.1,39
Kyle of Lochalsh,41,28,68.3,2,32,23,71.9,1,73,51,69.9,3
Lanark,402,226,56.2,2,512,267,52.1,10,914,493,53.9,12
Lancing,1885,1033,54.8,53,2032,1044,51.4,49,3918,2078,53.0,102
Launceston,621,278,44.8,3,617,283,45.9,2,1239,562,45.4,5
Lee On The Solent,1979,1393,70.4,133,1880,1196,63.6,90,3859,2589,67.1,223
Leeds,2286,993,43.4,12,1873,681,36.4,4,4160,1674,40.2,16
Leicester (Cannock Street),2220,970,43.7,29,1654,541,32.7,8,3874,1511,39.0,37
Leicester (Wigston),3220,1413,43.9,25,2686,1127,42.0,31,5906,2540,43.0,56
Leighton Buzzard (Stanbridge Road),1625,834,51.3,49,1446,644,44.5,35,3072,1478,48.1,84
Lerwick,179,143,79.9,28,174,120,69.0,16,353,263,74.5,44
Letchworth,1069,567,53.0,18,1023,577,56.4,24,2092,1144,54.7,42
Lichfield,1712,766,44.7,10,1723,720,41.8,9,3435,1486,43.3,19
Lincoln,1495,821,54.9,33,1400,647,46.2,36,2895,1468,50.7,69
Livingston,709,446,62.9,31,878,476,54.2,17,1587,922,58.1,48
Llanelli,850,449,52.8,4,970,481,49.6,7,1820,930,51.1,11
Llantrisant,980,629,64.2,31,1087,646,59.4,24,2068,1276,61.7,55
Lochgilphead,47,38,80.9,1,43,35,81.4,4,90,73,81.1,5
Loughborough,1368,661,48.3,27,1257,586,46.6,22,2625,1247,47.5,49
Loughton (London),1239,568,45.8,20,1077,483,44.8,22,2316,1051,45.4,42
Louth,164,98,59.8,5,212,120,56.6,2,376,218,58.0,7
Lowestoft(Mobbs Way),1304,615,47.2,17,1164,482,41.4,9,2468,1097,44.4,26
Ludlow,732,400,54.6,13,710,367,51.7,8,1442,767,53.2,21
Luton,2293,982,42.8,30,1834,647,35.3,14,4130,1631,39.5,44
Macclesfield,1076,567,52.7,8,955,451,47.2,5,2031,1018,50.1,13
Maidstone,1188,654,55.1,38,1305,673,51.6,38,2493,1327,53.2,76
Mallaig,10,8,80.0,0,15,13,86.7,1,25,21,84.0,1
Malton,66,42,63.6,12,99,59,59.6,1,165,101,61.2,13
Melton Mowbray,536,347,64.7,28,589,357,60.6,35,1125,704,62.6,63
Merthyr Tydfil,1086,675,62.2,27,1112,608,54.7,22,2198,1283,58.4,49
Middlesbrough,2505,1373,54.8,102,2501,1241,49.6,89,5007,2615,52.2,191
Mill Hill (London),3094,1428,46.2,33,2642,1022,38.7,23,5738,2451,42.7,56
Mitcham (London),2225,1018,45.8,22,1891,755,39.9,16,4116,1773,43.1,38
Monmouth,675,385,57.0,22,723,392,54.2,21,1398,777,55.6,43
Montrose,194,153,78.9,14,212,165,77.8,21,406,318,78.3,35
Morden (London),3831,1965,51.3,36,3802,1630,42.9,20,7633,3595,47.1,56
Nelson,1363,854,62.7,30,1180,596,50.5,15,2543,1450,57.0,45
Newbury (Hambridge Lane),1059,649,61.3,32,1094,628,57.4,38,2154,1278,59.3,71
Newport (Gwent),1303,717,55.0,37,1314,664,50.5,21,2617,1381,52.8,58
Newport IOW (Innovation Centre),760,444,58.4,10,751,401,53.4,10,1511,845,55.9,20
Newton Abbot,1689,819,48.5,34,1674,754,45.0,25,3363,1573,46.8,59
Newton Stewart,56,35,62.5,0,58,33,56.9,2,114,68,59.6,2
Newtown,267,193,72.3,19,348,259,74.4,15,615,452,73.5,34
Norris Green (Liverpool),2620,1109,42.3,18,2895,1101,38.0,10,5523,2212,40.1,28
Northallerton,1098,664,60.5,28,1082,628,58.0,20,2180,1292,59.3,48
Northampton,2720,1414,52.0,88,2468,1051,42.6,61,5189,2466,47.5,149
Northwich,919,576,62.7,10,1073,643,59.9,38,1992,1219,61.2,48
Norwich (Jupiter Road),771,431,55.9,15,749,418,55.8,3,1520,849,55.9,18
Norwich (Peachman Way),2169,1280,59.0,117,2222,1201,54.1,95,4393,2482,56.5,212
Nottingham (Chilwell),1585,848,53.5,32,1481,736,49.7,26,3066,1584,51.7,58
Nottingham (Colwick),2180,1169,53.6,23,1941,914,47.1,17,4125,2084,50.5,40
Nuneaton,1633,902,55.2,49,1420,726,51.1,38,3055,1629,53.3,87
Oban,81,50,61.7,0,82,41,50.0,0,163,91,55.8,0
Orkney,106,75,70.8,2,120,80,66.7,3,226,155,68.6,5
Oswestry,368,186,50.5,3,432,247,57.2,6,800,433,54.1,9
Oxford (Cowley),2165,1104,51.0,26,2114,954,45.1,14,4281,2059,48.1,40
Paisley,1202,658,54.7,4,1369,733,53.5,10,2571,1391,54.1,14
Peebles,69,53,76.8,2,94,66,70.2,4,163,119,73.0,6
Pembroke Dock,700,445,63.6,12,724,436,60.2,4,1424,881,61.9,16
Penzance,154,76,49.4,0,204,99,48.5,0,358,175,48.9,0
Perth (Arran Road),708,475,67.1,22,717,382,53.3,12,1425,857,60.1,34
Peterborough,2566,1361,53.0,50,2330,1136,48.8,31,4896,2497,51.0,81
Peterhead,350,236,67.4,45,376,249,66.2,53,726,485,66.8,98
Pinner (London),4195,2168,51.7,66,3772,1686,44.7,46,7967,3854,48.4,112
Pitlochry,32,24,75.0,6,35,28,80.0,0,67,52,77.6,6
Plymouth,1668,643,38.5,15,1664,602,36.2,9,3333,1246,37.4,24
Pontefract,1393,736,52.8,19,1393,615,44.1,23,2786,1351,48.5,42
Poole,2162,1241,57.4,64,2327,1174,50.5,38,4489,2415,53.8,102
Portsmouth,2899,1543,53.2,58,2471,1169,47.3,47,5370,2712,50.5,105
Preston,2446,1524,62.3,148,2375,1231,51.8,94,4824,2755,57.1,242
Pwllheli,165,115,69.7,4,190,111,58.4,5,355,226,63.7,9
Reading,3334,1853,55.6,97,3018,1574,52.2,77,6353,3427,53.9,174
Redditch,1377,588,42.7,31,1178,509,43.2,15,2555,1097,42.9,46
Redhill Aerodrome,914,513,56.1,21,885,491,55.5,23,1799,1004,55.8,44
Rhyl,1010,559,55.3,24,939,445,47.4,17,1949,1004,51.5,41
Rochdale (Manchester),1708,635,37.2,3,1455,442,30.4,1,3163,1077,34.0,4
Rotherham,1707,947,55.5,61,1557,737,47.3,40,3264,1684,51.6,101
Rothesay,37,27,73.0,1,33,24,72.7,1,70,51,72.9,2
Rugby,1406,876,62.3,68,1245,760,61.0,46,2651,1636,61.7,114
Sale (Manchester),2266,1218,53.8,43,2022,963,47.6,39,4289,2182,50.9,82
Salisbury,1300,730,56.2,59,1221,671,55.0,67,2521,1401,55.6,126
Scarborough,622,292,46.9,8,622,231,37.1,8,1244,523,42.0,16
Scunthorpe,1491,737,49.4,22,1366,603,44.1,11,2857,1340,46.9,33
Sevenoaks,1101,679,61.7,33,1083,643,59.4,40,2184,1322,60.5,73
Sheffield (Handsworth),2246,1006,44.8,18,1927,774,40.2,16,4175,1781,42.7,34
Sheffield (Middlewood Road),1765,862,48.8,36,1662,757,45.5,28,3427,1619,47.2,64
Shrewsbury,698,341,48.9,9,613,292,47.6,9,1311,633,48.3,18
Sidcup (London),2212,1263,57.1,42,2199,1110,50.5,42,4412,2373,53.8,84
Skegness,294,186,63.3,6,352,202,57.4,6,647,388,60.0,12
Skipton,917,523,57.0,7,763,371,48.6,1,1680,894,53.2,8
Slough (London),3520,1726,49.0,88,2956,1290,43.6,60,6477,3016,46.6,148
South Shields,1158,567,49.0,54,1219,559,45.9,38,2377,1126,47.4,92
Southall (London),2372,996,42.0,19,1444,541,37.5,10,3816,1537,40.3,29
Southampton (Forest Hills),1325,745,56.2,14,1266,577,45.6,15,2591,1322,51.0,29
Southampton (Maybush),2874,1271,44.2,21,2411,1027,42.6,17,5286,2298,43.5,38
Southend-on-Sea,1373,777,56.6,10,1519,769,50.6,8,2892,1546,53.5,18
Southport (Liverpool),1321,752,56.9,14,1515,836,55.2,11,2837,1588,56.0,25
Speke (Liverpool),1724,569,33.0,5,1607,517,32.2,6,3335,1086,32.6,11
St Albans,1696,778,45.9,33,1604,706,44.0,37,3300,1484,45.0,70
St Helens (Liverpool),1986,926,46.6,17,1744,777,44.6,9,3730,1703,45.7,26
Stafford,704,325,46.2,6,638,281,44.0,9,1342,606,45.2,15
Steeton,1172,651,55.5,21,945,453,47.9,11,2119,1105,52.1,32
Stevenage,1611,770,47.8,20,1365,632,46.3,10,2976,1402,47.1,30
Stirling,1165,605,51.9,18,1142,586,51.3,24,2311,1192,51.6,42
Stoke-On-Trent (Cobridge),1025,393,38.3,4,1052,310,29.5,3,2077,703,33.8,7
Stoke-on-Trent (Newcastle-Under-Lyme),1521,709,46.6,18,1428,632,44.3,9,2949,1341,45.5,27
Stornoway,99,65,65.7,6,123,75,61.0,4,222,140,63.1,10
Stranraer,56,39,69.6,0,102,71,69.6,0,160,111,69.4,0
Sunderland,1386,656,47.3,15,1423,596,41.9,8,2809,1252,44.6,23
Swansea,1884,953,50.6,15,1762,879,49.9,6,3646,1832,50.2,21
Swindon,2372,1162,49.0,60,2168,967,44.6,45,4540,2129,46.9,105
Taunton,1585,950,59.9,33,1657,953,57.5,31,3242,1903,58.7,64
Telford,1102,529,48.0,7,1132,449,39.7,3,2234,978,43.8,10
Thurso,35,17,48.6,1,39,19,48.7,2,74,36,48.6,3
Tilbury,1025,492,48.0,9,1102,478,43.4,2,2127,970,45.6,11
Tolworth (London),2789,1566,56.1,47,2435,1250,51.3,57,5225,2816,53.9,104
Tottenham,1452,716,49.3,8,1172,458,39.1,4,2624,1174,44.7,12
Trowbridge,664,329,49.5,24,756,382,50.5,24,1421,711,50.0,48
Tunbridge Wells,1431,876,61.2,47,1393,758,54.4,28,2825,1634,57.8,75
Ullapool,16,12,75.0,2,18,15,83.3,1,34,27,79.4,3
Upton,1861,979,52.6,22,1784,848,47.5,13,3646,1827,50.1,35
Uxbridge (London),1345,719,53.5,23,912,442,48.5,19,2257,1161,51.4,42
Wakefield,1593,807,50.7,44,1586,735,46.3,46,3179,1542,48.5,90
Wallasey,721,313,43.4,0,591,203,34.3,1,1313,516,39.3,1
Walton LGV,309,186,60.2,5,232,130,56.0,6,543,316,58.2,11
Wanstead (London),2446,970,39.7,20,1773,602,34.0,10,4220,1572,37.3,30
Warrington,1443,889,61.6,61,1557,854,54.8,42,3000,1743,58.1,103
Warwick (Wedgenock House),2288,1386,60.6,25,2154,1156,53.7,15,4443,2542,57.2,40
Watford,1901,1039,54.7,37,1491,797,53.5,40,3392,1836,54.1,77
Watnall,1068,579,54.2,33,1104,583,52.8,17,2172,1162,53.5,50
Wednesbury,2173,926,42.6,20,1632,578,35.4,11,3805,1504,39.5,31
Wellingborough,318,213,67.0,16,372,236,63.4,11,690,449,65.1,27
West Didsbury (Manchester),3000,1528,50.9,92,2728,1240,45.5,50,5733,2769,48.3,142
West Wickham (London),1696,841,49.6,21,1923,884,46.0,33,3620,1726,47.7,54
Weston-super-Mare,1346,751,55.8,47,1277,625,48.9,39,2623,1376,52.5,86
Whitby,68,43,63.2,1,97,57,58.8,1,165,100,60.6,2
Wick,43,19,44.2,1,54,30,55.6,4,97,49,50.5,5
Widnes,1306,694,53.1,15,1205,552,45.8,10,2512,1247,49.6,25
Winchester,1665,960,57.7,83,1405,784,55.8,54,3070,1744,56.8,137
Wolverhampton,2574,967,37.6,48,2008,668,33.3,29,4583,1635,35.7,77
Wood Green (London),2464,1212,49.2,40,1918,776,40.5,45,4382,1988,45.4,85
Worcester,2198,1275,58.0,28,2161,1157,53.5,12,4360,2433,55.8,40
Workington,671,389,58.0,19,762,415,54.5,9,1433,804,56.1,28
Worksop,1431,897,62.7,46,1291,755,58.5,42,2722,1652,60.7,88
Wrexham,921,404,43.9,2,909,397,43.7,2,1830,801,43.8,4
Yeading (London),2076,792,38.2,28,1004,313,31.2,9,3080,1105,35.9,37
Yeovil,1590,1062,66.8,38,1616,988,61.1,21,3207,2050,63.9,59
York,1654,857,51.8,45,1774,819,46.2,34,3428,1676,48.9,79
ZHyde (Manchester),1937,1253,64.7,80,1953,1139,58.3,46,3890,2392,61.5,126
ZWhitchurch,336,182,54.2,4,386,169,43.8,3,722,351,48.6,7
National Totals,423252,218292,51.6,8913,392695,184021,46.9,6932,816122,402371,49.3,15851
