city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault
Aberdeen South (Cove),1015,634,62.5,65,977,606,62.0,66,1997,1242,62.2,132
Aberfeldy,44,34,77.3,2,31,20,64.5,0,75,54,72.0,2
Abergavenny,1647,1067,64.8,72,1556,939,60.3,63,3203,2006,62.6,135
Aberystwyth (Park Avenue),386,252,65.3,6,396,221,55.8,6,782,473,60.5,12
Airdrie,887,502,56.6,22,982,483,49.2,13,1870,986,52.7,35
Alness,282,171,60.6,4,288,178,61.8,9,570,349,61.2,13
Alnwick,248,168,67.7,8,246,150,61.0,11,494,318,64.4,19
Arbroath,261,155,59.4,11,261,162,62.1,12,523,317,60.6,23
Ashfield,1856,1171,63.1,72,2016,1125,55.8,59,3872,2296,59.3,131
Ashford (Kent),980,432,44.1,20,938,431,45.9,13,1918,863,45.0,33
Ashford (London Middlesex),1429,745,52.1,24,1266,636,50.2,17,2696,1381,51.2,41
Atherton (Manchester),1455,787,54.1,34,1429,688,48.1,19,2884,1475,51.1,53
Aylesbury,1131,547,48.4,8,1050,479,45.6,5,2181,1026,47.0,13
Ayr,466,239,51.3,1,465,236,50.8,3,931,475,51.0,4
Bala,190,101,53.2,3,196,99,50.5,3,386,200,51.8,6
Ballater,32,29,90.6,5,41,30,73.2,6,73,59,80.8,11
Banbury,1665,769,46.2,55,1592,715,44.9,46,3258,1484,45.5,101
Banff,64,46,71.9,4,75,48,64.0,3,139,94,67.6,7
Bangor,902,478,53.0,25,924,459,49.7,22,1826,937,51.3,47
Barking (Tanner Street),2392,1043,43.6,34,1444,508,35.2,18,3836,1551,40.4,52
Barnet (London),1858,873,47.0,29,1442,612,42.4,10,3301,1486,45.0,39
Barnsley,1695,991,58.5,59,1617,841,52.0,44,3313,1833,55.3,103
Barnstaple,834,477,57.2,24,853,445,52.2,24,1687,922,54.7,48
Barra,..,..,57.1,0,..,..,0.0,0,..,..,36.4,0
Barrow In Furness,580,353,60.9,15,608,338,55.6,19,1189,692,58.2,34
Barry,467,313,67.0,13,523,326,62.3,14,990,639,64.5,27
