city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault
Burton on Trent,1448,806,55.7,25,1248,589,47.2,6,2696,1395,51.7,31
Bury (Manchester),1839,693,37.7,2,1324,402,30.4,2,3165,1095,34.6,4
Bury St Edmunds,1684,687,40.8,22,1413,597,42.3,24,3098,1284,41.4,46
Buxton,1146,563,49.1,17,1111,501,45.1,9,2257,1064,47.1,26
Callander,56,30,53.6,4,42,23,54.8,2,98,53,54.1,6
Camborne,1100,454,41.3,17,1081,431,39.9,8,2181,885,40.6,25
Cambridge (Brookmount Court),2813,1464,52.0,27,2641,1258,47.6,17,5455,2722,49.9,44
Campbeltown,34,21,61.8,1,31,23,74.2,0,65,44,67.7,1
Canterbury,970,481,49.6,19,717,351,49.0,14,1687,832,49.3,33
Cardiff (Llanishen),4240,2560,60.4,239,3320,1861,56.1,141,7563,4423,58.5,380
Cardigan,399,187,46.9,9,314,159,50.6,2,713,346,48.5,11
Carlisle,966,516,53.4,49,754,401,53.2,25,1721,918,53.3,74
Carlisle LGV (Cars),427,248,58.1,13,328,184,56.1,12,756,432,57.1,25
Carmarthen,631,354,56.1,17,502,259,51.6,21,1134,614,54.1,38
Castle Douglas,92,42,45.7,1,97,53,54.6,2,189,95,50.3,3
Chadderton,2561,1233,48.1,34,2211,830,37.5,17,4773,2063,43.2,51
Cheetham Hill (Manchester),3053,1387,45.4,19,2234,851,38.1,8,5290,2239,42.3,27
Chelmsford (Hanbury Road),2782,1427,51.3,102,2455,1192,48.6,80,5238,2619,50.0,182
Cheltenham,1263,609,48.2,21,1263,496,39.3,16,2526,1105,43.7,37
Chertsey (London),2201,1109,50.4,66,2116,1015,48.0,74,4317,2124,49.2,140
Chester,1761,800,45.4,19,1834,754,41.1,33,3596,1555,43.2,52
Chesterfield,1026,458,44.6,39,857,391,45.6,41,1883,849,45.1,80
Chichester,2226,1473,66.2,147,1855,1159,62.5,116,4081,2632,64.5,263
Chingford (London),3486,1496,42.9,48,2205,728,33.0,14,5692,2224,39.1,62
Chippenham,2079,967,46.5,67,1712,760,44.4,50,3792,1727,45.5,117
Chorley,1004,583,58.1,18,874,522,59.7,11,1878,1105,58.8,29
Clacton-on-Sea,802,425,53.0,19,825,358,43.4,14,1627,783,48.1,33
Colchester,2521,1164,46.2,68,1943,844,43.4,57,4464,2008,45.0,125
Coventry,1967,864,43.9,25,1220,478,39.2,14,3188,1342,42.1,39
Crawley,1462,500,34.2,11,1267,429,33.9,8,2729,929,34.0,19
Crewe,1319,479,36.3,6,1143,467,40.9,9,2462,946,38.4,15
Crieff,50,36,72.0,5,42,20,47.6,0,92,56,60.9,5
Culham LGV,..,..,..,0,..,..,75.0,0,..,..,60.0,0
Cumnock,127,82,64.6,0,216,116,53.7,6,343,198,57.7,6
Darlington,1523,914,60.0,61,1157,634,54.8,25,2681,1549,57.8,87
Derby (Alvaston),2279,1205,52.9,75,2035,921,45.3,35,4314,2126,49.3,110
Doncaster,1912,791,41.4,47,1755,667,38.0,27,3669,1459,39.8,74
Doncaster (Legacy Centre),88,43,48.9,2,64,13,20.3,0,152,56,36.8,2
Dorchester,1512,933,61.7,57,1404,849,60.5,40,2916,1782,61.1,97
Dudley,2659,1169,44.0,22,2444,871,35.6,10,5104,2040,40.0,32
Dumbarton,427,192,45.0,1,420,163,38.8,0,848,355,41.9,1
Dumfries,521,310,59.5,23,521,271,52.0,20,1042,581,55.8,43
Dumfries (Brasswell Office Park),..,..,50.0,0,..,..,69.2,3,21,13,61.9,3
Dundee,1654,1052,63.6,107,1496,871,58.2,63,3152,1925,61.1,171
Dunfermline (Vine),743,361,48.6,29,802,365,45.5,28,1545,726,47.0,57
Dunoon,63,34,54.0,0,53,32,60.4,1,116,66,56.9,1
Duns,31,26,83.9,3,39,31,79.5,0,70,57,81.4,3
Durham,2035,1178,57.9,65,2195,1220,55.6,68,4230,2398,56.7,133
East Kilbride,837,391,46.7,11,829,379,45.7,3,1666,770,46.2,14
Eastbourne,1673,890,53.2,13,1458,720,49.4,10,3133,1612,51.5,23
Edinburgh (Currie),1940,949,48.9,58,1674,816,48.7,41,3616,1767,48.9,99
Edinburgh (Musselburgh),2020,977,48.4,28,1817,864,47.6,20,3839,1842,48.0,48
Elgin,425,172,40.5,15,456,183,40.1,12,881,355,40.3,27
Enfield (Brancroft Way),..,..,..,1,..,..,..,0,..,..,50.0,1
Enfield (Innova Business Park),1946,931,47.8,37,1619,690,42.6,23,3565,1621,45.5,60
Erith (London),933,325,34.8,14,870,266,30.6,18,1804,591,32.8,32
Exeter,1867,897,48.0,19,1698,792,46.6,14,3565,1689,47.4,33
Exeter LGV,16,7,43.8,1,18,6,33.3,0,34,13,38.2,1
Farnborough,2493,1475,59.2,142,2364,1229,52.0,100,4857,2704,55.7,242
Featherstone,1671,662,39.6,24,1547,510,33.0,11,3219,1173,36.4,35
Folkestone,838,332,39.6,3,790,293,37.1,11,1628,625,38.4,14
Forfar,106,80,75.5,5,127,82,64.6,1,233,162,69.5,6
Fort William,104,66,63.5,1,129,65,50.4,1,233,131,56.2,2
Fraserburgh,109,71,65.1,4,129,80,62.0,5,238,151,63.4,9
Gairloch,18,17,94.4,2,21,17,81.0,2,39,34,87.2,4
Galashiels,520,302,58.1,8,342,202,59.1,8,863,504,58.4,16
Gateshead,1331,593,44.6,31,1086,434,40.0,14,2417,1027,42.5,45
Gillingham,3339,1948,58.3,101,2936,1640,55.9,52,6276,3588,57.2,153
Girvan,46,24,52.2,1,61,39,63.9,3,107,63,58.9,4
Glasgow (Anniesland),2019,897,44.4,32,1800,730,40.6,24,3826,1629,42.6,56
Glasgow (Baillieston),1922,881,45.8,30,1681,709,42.2,17,3607,1593,44.2,47
Glasgow (Shieldhall),1418,470,33.1,5,1181,400,33.9,6,2602,870,33.4,11
Gloucester,1833,925,50.5,29,1764,937,53.1,36,3598,1863,51.8,65
Golspie,45,29,64.4,5,37,28,75.7,4,82,57,69.5,9
Goodmayes (London),5345,2461,46.0,129,4469,1532,34.3,52,9815,3993,40.7,181
Gosforth,1995,929,46.6,47,1571,650,41.4,22,3568,1580,44.3,69
Grangemouth,1062,572,53.9,42,1032,521,50.5,27,2094,1093,52.2,69
Grantham (Somerby),1498,794,53.0,37,1320,696,52.7,30,2818,1490,52.9,67
Grantown-On-Spey,37,27,73.0,2,41,19,46.3,1,78,46,59.0,3
Greenford (Horsenden Lane),1711,683,39.9,14,1274,404,31.7,8,2991,1091,36.5,22
Greenham,98,46,46.9,4,91,47,51.6,3,189,93,49.2,7
Greenock,610,255,41.8,7,506,207,40.9,4,1116,462,41.4,11
Grimsby Coldwater,1152,463,40.2,8,1007,371,36.8,5,2159,834,38.6,13
Guildford,1630,715,43.9,38,1487,618,41.6,31,3117,1333,42.8,69
Haddington,439,255,58.1,12,421,235,55.8,10,860,490,57.0,22
Halifax,994,447,45.0,12,957,411,42.9,9,1951,858,44.0,21
Hamilton,1084,537,49.5,21,1107,488,44.1,16,2192,1026,46.8,37
Hartlepool,2079,1111,53.4,126,1736,908,52.3,89,3815,2019,52.9,215
Hastings (Ore),759,326,43.0,3,662,272,41.1,2,1421,598,42.1,5
Hawick,118,94,79.7,3,136,101,74.3,0,254,195,76.8,3
Heckmondwike,1467,760,51.8,13,1434,586,40.9,8,2901,1346,46.4,21
Hendon (London),3578,1655,46.3,54,2769,1042,37.6,20,6349,2697,42.5,74
Hereford,984,612,62.2,46,939,513,54.6,31,1923,1125,58.5,77
Herne Bay,2228,1175,52.7,76,1967,972,49.4,54,4196,2148,51.2,130
Hexham,245,140,57.1,4,293,159,54.3,7,538,299,55.6,11
Heysham,769,450,58.5,27,758,412,54.4,34,1528,862,56.4,61
Hinckley,954,466,48.8,13,733,354,48.3,11,1687,820,48.6,24
Hither Green (London),1912,1033,54.0,85,1737,777,44.7,48,3649,1810,49.6,133
Hornchurch (London),1815,952,52.5,54,1651,820,49.7,45,3466,1772,51.1,99
Horsforth,2219,1165,52.5,34,1999,933,46.7,27,4220,2099,49.7,61
Huddersfield,1866,856,45.9,2,1643,662,40.3,10,3511,1518,43.2,12
Hull,2041,1038,50.9,71,1992,944,47.4,63,4033,1982,49.1,134
Huntly,65,34,52.3,3,68,34,50.0,2,133,68,51.1,5
Inveraray,30,27,90.0,3,22,19,86.4,2,52,46,88.5,5
Inverness (Seafield Road),695,367,52.8,20,705,330,46.8,18,1400,697,49.8,38
Inverurie,272,158,58.1,4,255,157,61.6,9,527,315,59.8,13
Ipswich,2690,1697,63.1,166,2293,1371,59.8,102,4984,3068,61.6,268
Irvine,1415,790,55.8,14,1349,660,48.9,13,2765,1451,52.5,27
Islay Island,12,9,75.0,1,18,11,61.1,2,30,20,66.7,3
Isle of Mull,..,..,80.0,0,..,..,83.3,1,16,13,81.3,1
Isle of Skye (Portree),39,26,66.7,1,28,20,71.4,0,67,46,68.7,1
Isle of Tiree,..,..,..,0,..,..,66.7,1,..,..,80.0,1
Isles of Scilly,..,..,..,0,..,..,..,0,..,..,50.0,0
Isleworth (Fleming Way),2564,1324,51.6,37,2235,1003,44.9,14,4799,2327,48.5,51
Kelso,61,43,70.5,0,104,82,78.8,2,165,125,75.8,2
Kendal (Oxenholme Road),481,339,70.5,27,528,364,68.9,31,1009,703,69.7,58
Kettering,2372,1137,47.9,48,1927,778,40.4,20,4300,1915,44.5,68
Kings Lynn,1785,970,54.3,35,1506,742,49.3,12,3294,1714,52.0,47
Kingussie,27,18,66.7,1,39,21,53.8,2,66,39,59.1,3
Kirkcaldy,1558,725,46.5,69,1373,627,45.7,48,2931,1352,46.1,117
Knaresborough,1569,901,57.4,44,1383,728,52.6,14,2953,1629,55.2,58
Kyle of Lochalsh,28,15,53.6,2,30,15,50.0,2,58,30,51.7,4
Lanark,450,253,56.2,8,475,285,60.0,10,925,538,58.2,18
Lancing,1615,956,59.2,75,1624,908,55.9,52,3239,1864,57.5,127
Launceston,571,236,41.3,1,563,209,37.1,2,1135,445,39.2,3
Lee On The Solent,2628,1769,67.3,152,2355,1419,60.3,99,4983,3188,64.0,251
Leeds,2058,961,46.7,16,1657,662,40.0,7,3715,1623,43.7,23
Leicester (Cannock Street),2634,1118,42.4,67,1920,609,31.7,29,4555,1728,37.9,96
Leicester (Wigston),3475,1454,41.8,29,2665,1036,38.9,29,6140,2490,40.6,58
Leighton Buzzard (Stanbridge Road),1329,690,51.9,52,1342,622,46.3,34,2671,1312,49.1,86
Lerwick,112,69,61.6,2,112,77,68.8,3,224,146,65.2,5
Letchworth,1528,856,56.0,28,1480,765,51.7,27,3008,1621,53.9,55
Lichfield,1783,838,47.0,12,1730,750,43.4,7,3513,1588,45.2,19
Lincoln,1923,1030,53.6,52,1612,770,47.8,36,3535,1800,50.9,88
Livingston,1213,669,55.2,29,1149,579,50.4,20,2362,1248,52.8,49
Llanelli,698,350,50.1,4,711,366,51.5,5,1409,716,50.8,9
Llantrisant,1399,814,58.2,37,1331,697,52.4,44,2731,1512,55.4,81
Lochgilphead,44,34,77.3,1,36,27,75.0,1,80,61,76.3,2
Loughborough,1129,512,45.3,23,1023,393,38.4,15,2152,905,42.1,38
Loughton (London),919,412,44.8,19,719,340,47.3,22,1638,752,45.9,41
Louth,183,103,56.3,3,197,109,55.3,1,380,212,55.8,4
Lowestoft(Mobbs Way),1282,581,45.3,27,1086,464,42.7,15,2368,1045,44.1,42
Ludlow,808,478,59.2,18,692,393,56.8,14,1500,871,58.1,32
Luton,3071,1292,42.1,35,2104,758,36.0,23,5175,2050,39.6,58
Macclesfield,1067,464,43.5,2,925,351,37.9,4,1992,815,40.9,6
Maidstone,1476,830,56.2,40,1322,692,52.3,44,2798,1522,54.4,84
Mallaig,18,15,83.3,2,25,21,84.0,2,43,36,83.7,4
Malton,93,59,63.4,3,155,91,58.7,5,248,150,60.5,8
Melton Mowbray,588,364,61.9,25,615,380,61.8,18,1203,744,61.8,43
Merthyr Tydfil,923,506,54.8,10,867,425,49.0,12,1790,931,52.0,22
Middlesbrough,2721,1388,51.0,108,2191,1029,47.0,75,4913,2418,49.2,183
"Mill Hill (Churchill House, London)",130,63,48.5,1,117,55,47.0,2,247,118,47.8,3
Mill Hill (London),2664,1239,46.5,60,2173,863,39.7,22,4838,2102,43.4,82
Mitcham (London),2865,1326,46.3,32,2315,973,42.0,35,5180,2299,44.4,67
Monmouth,634,329,51.9,16,582,309,53.1,15,1216,638,52.5,31
Montrose,126,86,68.3,14,130,101,77.7,27,256,187,73.0,41
Morden (London),3720,1800,48.4,38,3486,1500,43.0,27,7207,3300,45.8,65
Nelson,1307,749,57.3,37,1201,607,50.5,13,2508,1356,54.1,50
Newbury (Hambridge Lane),867,458,52.8,12,835,428,51.3,21,1702,886,52.1,33
Newport (Gwent),1543,712,46.1,37,1363,650,47.7,28,2906,1362,46.9,65
Newport (Isle of Wight),949,477,50.3,6,768,388,50.5,9,1717,865,50.4,15
Newton Abbot,1494,783,52.4,33,1450,629,43.4,24,2944,1412,48.0,57
Newton Stewart,56,33,58.9,0,44,31,70.5,2,100,64,64.0,2
Newtown,367,229,62.4,2,364,189,51.9,1,731,418,57.2,3
Norris Green (Liverpool),2683,1011,37.7,17,2675,934,34.9,12,5362,1949,36.3,29
Northallerton,842,419,49.8,22,858,427,49.8,24,1700,846,49.8,46
Northampton,2978,1427,47.9,107,2536,1146,45.2,86,5514,2573,46.7,193
Northwich,837,460,55.0,13,878,487,55.5,25,1715,947,55.2,38
Norwich (Jupiter Road),1115,491,44.0,18,748,293,39.2,10,1863,784,42.1,28
Norwich (Peachman Way),2696,1683,62.4,175,2588,1450,56.0,116,5284,3133,59.3,291
Nottingham (Chilwell),1951,849,43.5,39,1561,656,42.0,28,3512,1505,42.9,67
Nottingham (Colwick),2395,1178,49.2,25,2043,960,47.0,20,4441,2139,48.2,45
Nuneaton,1804,1014,56.2,62,1361,699,51.4,39,3167,1714,54.1,101
Oban,99,72,72.7,4,81,44,54.3,1,180,116,64.4,5
Orkney,92,56,60.9,4,88,48,54.5,2,180,104,57.8,6
Oswestry,543,250,46.0,8,487,236,48.5,9,1030,486,47.2,17
Oxford (Cowley),1973,938,47.5,26,1912,775,40.5,7,3885,1713,44.1,33
Paisley,1282,632,49.3,5,1415,641,45.3,6,2697,1273,47.2,11
Peebles,97,78,80.4,3,104,79,76.0,3,201,157,78.1,6
Pembroke Dock,552,353,63.9,9,568,365,64.3,9,1120,718,64.1,18
Penzance,190,95,50.0,0,241,86,35.7,0,431,181,42.0,0
Perth (Arran Road),815,441,54.1,14,707,333,47.1,2,1523,775,50.9,16
Peterborough,2449,1307,53.4,35,2093,966,46.2,27,4542,2273,50.0,62
Peterhead,466,255,54.7,22,357,207,58.0,22,823,462,56.1,44
Pinner (London),3712,1941,52.3,61,3286,1393,42.4,27,7000,3334,47.6,88
Pitlochry,18,14,77.8,4,33,20,60.6,6,51,34,66.7,10
Plymouth,1754,663,37.8,16,1716,554,32.3,8,3470,1217,35.1,24
Plymouth LGV,..,..,..,0,..,..,..,0,..,..,0.0,0
Pontefract,1366,627,45.9,16,1320,469,35.5,9,2686,1096,40.8,25
Poole,2988,1501,50.2,65,2665,1293,48.5,52,5654,2794,49.4,117
Portsmouth,3298,1591,48.2,61,2618,1175,44.9,35,5916,2766,46.8,96
Preston,2922,1844,63.1,173,2402,1427,59.4,115,5324,3271,61.4,288
Pwllheli,145,80,55.2,3,172,99,57.6,2,317,179,56.5,5
Reading,2401,1308,54.5,44,2431,1304,53.6,46,4832,2612,54.1,90
Redditch,1169,529,45.3,22,1026,446,43.5,16,2195,975,44.4,38
Redhill Aerodrome,1374,716,52.1,28,1142,580,50.8,32,2516,1296,51.5,60
Rhyl,893,513,57.4,26,901,435,48.3,23,1794,948,52.8,49
Rochdale (Manchester),1406,574,40.8,3,1355,381,28.1,1,2761,955,34.6,4
Rotherham,1815,945,52.1,53,1480,637,43.0,37,3295,1582,48.0,90
Rothesay,26,22,84.6,1,28,20,71.4,1,54,42,77.8,2
Rugby,1333,780,58.5,37,1237,713,57.6,35,2570,1493,58.1,72
Sale (Manchester),2407,1227,51.0,47,1972,931,47.2,34,4379,2158,49.3,81
Salisbury,1016,575,56.6,68,949,527,55.5,65,1965,1102,56.1,133
Scarborough,730,329,45.1,12,634,244,38.5,7,1364,573,42.0,19
Scunthorpe,1570,654,41.7,15,1342,537,40.0,15,2913,1191,40.9,30
Sevenoaks,1349,735,54.5,40,1264,677,53.6,32,2613,1412,54.0,72
Sheffield (Handsworth),1845,895,48.5,29,1669,736,44.1,22,3515,1632,46.4,51
Sheffield (Middlewood Road),1799,832,46.2,33,1707,713,41.8,18,3506,1545,44.1,51
Shrewsbury,973,467,48.0,26,847,378,44.6,15,1820,845,46.4,41
Sidcup (London),2283,1347,59.0,83,2199,1147,52.2,57,4482,2494,55.6,140
Skegness,430,256,59.5,9,371,218,58.8,2,801,474,59.2,11
Skipton,761,409,53.7,11,768,362,47.1,10,1529,771,50.4,21
Slough (London),3701,1862,50.3,110,2934,1237,42.2,50,6636,3100,46.7,160
Southall (London),1846,787,42.6,17,1211,418,34.5,6,3059,1206,39.4,23
Southampton (Maybush),3286,1459,44.4,24,2730,1068,39.1,18,6017,2528,42.0,42
Southend-on-Sea,1088,601,55.2,15,1113,539,48.4,7,2201,1140,51.8,22
Southport (Liverpool),1462,813,55.6,17,1494,781,52.3,18,2957,1595,53.9,35
Speke (Liverpool),1454,384,26.4,4,1192,337,28.3,4,2648,722,27.3,8
St Albans,1353,574,42.4,10,1217,492,40.4,25,2570,1066,41.5,35
St Helens (Liverpool),1929,738,38.3,7,1688,598,35.4,10,3618,1336,36.9,17
Stafford,680,330,48.5,9,644,272,42.2,1,1324,602,45.5,10
Steeton,1070,554,51.8,14,915,406,44.4,10,1985,960,48.4,24
Stevenage,992,482,48.6,6,930,420,45.2,3,1923,902,46.9,9
Stirling,946,443,46.8,14,883,402,45.5,21,1832,846,46.2,35
Stoke-On-Trent (Cobridge),1014,447,44.1,6,865,318,36.8,2,1880,766,40.7,8
Stoke-on-Trent (Newcastle-Under-Lyme),1121,512,45.7,5,1087,449,41.3,4,2208,961,43.5,9
Stornoway,92,60,65.2,2,111,64,57.7,2,203,124,61.1,4
Stranraer,86,52,60.5,6,117,78,66.7,4,203,130,64.0,10
Sunderland,2270,1116,49.2,66,2271,955,42.1,53,4542,2071,45.6,119
Swansea,2024,1102,54.4,27,1912,994,52.0,20,3937,2096,53.2,47
Swindon,2060,951,46.2,49,1893,822,43.4,44,3953,1773,44.9,93
Swindon LGV,..,..,18.3,0,..,..,..,0,75,12,16.0,0
Taunton,1712,927,54.1,43,1588,872,54.9,21,3300,1799,54.5,64
Telford,1093,438,40.1,7,1140,466,40.9,4,2234,905,40.5,11
Thurso,54,25,46.3,2,54,24,44.4,2,108,49,45.4,4
Tilbury,942,415,44.1,3,917,385,42.0,2,1859,800,43.0,5
Tolworth (London),2548,1344,52.7,44,2300,1132,49.2,29,4848,2476,51.1,73
Tottenham,1728,818,47.3,13,1199,476,39.7,3,2927,1294,44.2,16
Trowbridge,726,368,50.7,22,758,392,51.7,15,1484,760,51.2,37
Tunbridge Wells,976,581,59.5,51,967,549,56.8,24,1943,1130,58.2,75
Ullapool,24,17,70.8,1,19,13,68.4,0,43,30,69.8,1
Upton,2061,1022,49.6,20,1705,779,45.7,16,3768,1802,47.8,36
Uxbridge (London),2156,945,43.8,31,1356,615,45.4,21,3513,1560,44.4,52
Wakefield,1399,730,52.2,54,1468,691,47.1,34,2867,1421,49.6,88
Wallasey,631,270,42.8,2,499,178,35.7,1,1131,448,39.6,3
Walton LGV,392,236,60.2,16,331,186,56.2,10,724,422,58.3,26
Wanstead (London),2107,855,40.6,29,1479,484,32.7,10,3586,1339,37.3,39
Warrington,1513,834,55.1,59,1502,771,51.3,35,3015,1605,53.2,94
Warwick (Wedgenock House),2628,1337,50.9,24,2097,905,43.2,14,4725,2242,47.4,38
Watford,2639,1303,49.4,57,1747,844,48.3,42,4388,2147,48.9,99
Watnall,884,525,59.4,36,913,524,57.4,28,1798,1050,58.4,64
Wednesbury,1563,614,39.3,11,1355,405,29.9,5,2918,1019,34.9,16
Wellingborough,282,160,56.7,5,332,175,52.7,6,614,335,54.6,11
West Didsbury (Manchester),3875,2050,52.9,133,3342,1602,47.9,88,7223,3655,50.6,221
West Wickham (London),1683,896,53.2,22,1697,769,45.3,19,3380,1665,49.3,41
Weston-super-Mare,1539,897,58.3,66,1441,781,54.2,60,2980,1678,56.3,126
Whitby,102,54,52.9,0,107,50,46.7,0,209,104,49.8,0
Wick,79,41,51.9,3,82,48,58.5,3,161,89,55.3,6
Widnes,1246,531,42.6,8,1107,424,38.3,4,2354,956,40.6,12
Winchester,1808,892,49.3,58,1493,733,49.1,55,3301,1625,49.2,113
Wolverhampton,2995,1076,35.9,36,2076,636,30.6,16,5072,1713,33.8,52
Wood Green (London),3107,1474,47.4,36,2123,812,38.2,22,5231,2286,43.7,58
Worcester,2514,1257,50.0,33,2317,1114,48.1,9,4831,2371,49.1,42
Workington,799,461,57.7,21,737,401,54.4,22,1536,862,56.1,43
Worksop,1342,816,60.8,56,1206,689,57.1,27,2548,1505,59.1,83
Wrexham,840,423,50.4,5,745,348,46.7,10,1585,771,48.6,15
Yeading (London),1558,634,40.7,31,780,276,35.4,20,2338,910,38.9,51
Yeovil,1594,973,61.0,30,1566,871,55.6,22,3160,1844,58.4,52
York,1471,783,53.2,58,1558,805,51.7,50,3029,1588,52.4,108
ZAshford (London Middlesex),32,14,43.8,0,17,7,41.2,0,49,21,42.9,0
ZCroydon (London),35,11,31.4,0,19,9,47.4,0,54,20,37.0,0
ZElswick,..,..,30.0,0,..,..,18.2,1,..,..,23.8,1
ZHigh Wycombe,50,27,54.0,2,67,28,41.8,1,117,55,47.0,3
ZHyde (Manchester),..,..,50.0,0,..,..,33.3,0,27,12,44.4,0
ZSouth Shields,32,14,43.8,1,34,17,50.0,1,66,31,47.0,2
ZSouthampton (Forest Hills),16,12,75.0,1,35,16,45.7,0,51,28,54.9,1
ZWhitchurch,..,..,41.7,0,..,..,42.9,0,19,8,42.1,0
National Totals,432022,216957,50.2,10027,377992,174000,46.0,7102,810160,391022,48.3,17131
