city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault
Aberdeen North,1054,492,46.7,19,975,467,47.9,28,2030,959,47.2,47
Aberdeen South (Cove),1028,583,56.7,58,985,522,53.0,53,2014,1105,54.9,111
Aberfeldy,25,18,72.0,1,25,14,56.0,0,50,32,64.0,1
Abergavenny,1458,958,65.7,93,1371,788,57.5,53,2830,1747,61.7,146
Aberystwyth (Park Avenue),322,203,63.0,13,332,186,56.0,8,655,390,59.5,21
Airdrie,1380,644,46.7,22,1184,587,49.6,13,2565,1232,48.0,35
Alness,245,163,66.5,14,219,130,59.4,2,464,293,63.1,16
Alnwick,296,212,71.6,19,262,174,66.4,17,558,386,69.2,36
Arbroath,120,94,78.3,22,160,111,69.4,11,280,205,73.2,33
Ashfield,2305,1386,60.1,118,2154,1193,55.4,75,4459,2579,57.8,193
Ashford (Kent),1569,748,47.7,50,1215,600,49.4,42,2785,1348,48.4,92
Atherton (Manchester),1687,830,49.2,29,1545,706,45.7,16,3233,1537,47.5,45
Aylesbury,1220,585,48.0,7,1055,448,42.5,5,2275,1033,45.4,12
Ayr,487,255,52.4,7,519,268,51.6,10,1006,523,52.0,17
Bala,128,57,44.5,0,152,72,47.4,0,280,129,46.1,0
Ballater,40,30,75.0,4,33,24,72.7,3,73,54,74.0,7
Banbury,1568,670,42.7,43,1445,592,41.0,41,3013,1262,41.9,84
Banff,68,41,60.3,3,74,34,45.9,2,142,75,52.8,5
Bangor,911,520,57.1,30,893,499,55.9,33,1804,1019,56.5,63
Barking (Tanner Street),1465,586,40.0,29,992,303,30.5,6,2457,889,36.2,35
Barnet (London),2073,997,48.1,27,1347,628,46.6,15,3421,1625,47.5,42
Barnsley,1754,999,57.0,35,1619,755,46.6,25,3373,1754,52.0,60
Barnstaple,835,463,55.4,26,830,394,47.5,17,1665,857,51.5,43
Barra,..,..,80.0,0,..,..,50.0,0,..,..,71.4,0
Barrow In Furness,589,383,65.0,54,504,297,58.9,38,1093,680,62.2,92
Barry,374,225,60.2,5,427,255,59.7,8,801,480,59.9,13
Basildon,1347,669,49.7,14,1131,531,46.9,11,2478,1200,48.4,25
Basingstoke,1265,821,64.9,68,1151,697,60.6,60,2416,1518,62.8,128
Bedford,1434,804,56.1,65,1386,741,53.5,55,2820,1545,54.8,120
Belvedere (London),626,214,34.2,4,524,167,31.9,1,1150,381,33.1,5
Benbecula Island,26,24,92.3,1,28,26,92.9,2,54,50,92.6,3
Berwick-On-Tweed,158,87,55.1,8,126,57,45.2,2,284,144,50.7,10
Beverley LGV,24,13,54.2,2,36,25,69.4,2,60,38,63.3,4
Birmingham (Cocks Moors Woods),82,41,50.0,0,51,15,29.4,0,133,56,42.1,0
Birmingham (Garretts Green),2526,1168,46.2,40,2281,811,35.6,18,4808,1979,41.2,58
Birmingham (Kings Heath),1383,665,48.1,0,1189,482,40.5,2,2572,1147,44.6,2
Birmingham (Kingstanding),1340,557,41.6,13,1325,464,35.0,22,2665,1021,38.3,35
Birmingham (Shirley),1219,641,52.6,34,1066,523,49.1,24,2285,1164,50.9,58
Birmingham (South Yardley),2271,951,41.9,22,1818,599,32.9,6,4089,1550,37.9,28
Birmingham (Sutton Coldfield),2659,1221,45.9,34,1897,694,36.6,14,4556,1915,42.0,48
Birmingham (Wyndley),1045,453,43.3,29,753,300,39.8,13,1799,753,41.9,42
Bishopbriggs,1046,534,51.1,3,1025,530,51.7,7,2071,1064,51.4,10
Bishops Stortford,1317,668,50.7,38,1273,622,48.9,31,2590,1290,49.8,69
Blackburn with Darwen,1614,721,44.7,13,1409,616,43.7,14,3023,1337,44.2,27
Blackpool,1803,844,46.8,24,1524,631,41.4,9,3329,1476,44.3,33
Bletchley,1697,818,48.2,13,1664,721,43.3,17,3361,1539,45.8,30
Blyth,2312,1368,59.2,113,2110,1201,56.9,81,4423,2569,58.1,194
Bodmin,1044,437,41.9,19,1046,379,36.2,11,2091,816,39.0,30
Bolton (Manchester),3088,1942,62.9,157,2689,1432,53.3,125,5777,3374,58.4,282
Borehamwood (London),1523,782,51.3,42,1102,544,49.4,14,2626,1326,50.5,56
Boston,1122,630,56.1,16,1028,509,49.5,15,2150,1139,53.0,31
Bradford (Heaton),1569,915,58.3,15,1652,718,43.5,4,3221,1633,50.7,19
Bradford (Thornbury),2036,1061,52.1,25,1462,665,45.5,8,3498,1726,49.3,33
Brecon,402,247,61.4,20,414,229,55.3,14,816,476,58.3,34
Bredbury (Manchester),2377,1320,55.5,65,2051,1099,53.6,53,4428,2419,54.6,118
Brentwood (London),1194,528,44.2,9,859,409,47.6,9,2053,937,45.6,18
Bridgend,1614,864,53.5,27,1251,609,48.7,16,2865,1473,51.4,43
Bridlington,779,543,69.7,18,823,490,59.5,8,1602,1033,64.5,26
Bristol (Avonmouth),1935,1161,60.0,69,1904,1040,54.6,47,3840,2202,57.3,116
Bristol (Kingswood),2890,1555,53.8,115,2593,1394,53.8,108,5483,2949,53.8,223
Brodick (Isle of Arran),28,16,57.1,1,19,9,47.4,1,47,25,53.2,2
Bromley (London),1938,1109,57.2,72,1774,896,50.5,43,3712,2005,54.0,115
Buckie,57,33,57.9,3,73,32,43.8,1,130,65,50.0,4
Burgess Hill,1948,893,45.8,41,1659,730,44.0,37,3607,1623,45.0,78
